From_District,To_District,Proportion
AUGUSTOWSKI,AUGUSTOWSKI,1.0
BARANOWICKI,NOWOGRÓDZKI,0.0
BARANOWICKI,STOŁPECKI,0.0003857720062689627
BARANOWICKI,BARANOWICKI,0.9996142279937311
BIALSKI (BIAŁA KRAKOWSKA),BIALSKI (BIAŁA KRAKOWSKA),1.0
BIALSKI (BIAŁA PODLASKA),BRZESKI (BRZEŚĆ N.BUG.),7.691967603581777e-12
BIALSKI (BIAŁA PODLASKA),BIALSKI (BIAŁA PODLASKA),0.999999999992308
BIAŁOSTOCKI,BIAŁYSTOK (MIASTO),0.014161459595936527
BIAŁOSTOCKI,BIAŁOSTOCKI,0.9858385404040635
BIELSKI (BIELSK PODLASKI),BIELSKI (BIELSK PODLASKI),1.0
BIELSKI (BIELSKO),BIELSKI (BIELSKO),1.0
BIELSKO (MIASTO),BIELSKO (MIASTO),1.0
BIŁGORAJSKI,BIŁGORAJSKI,1.0
BOCHEŃSKI,BOCHEŃSKI,1.0
BOHORODCZAŃSKI,KOŁOMYJSKI,0.0
BOHORODCZAŃSKI,NADWÓRNIAŃSKI,0.5863411166946917
BOHORODCZAŃSKI,BRZEŻAŃSKI,0.0
BOHORODCZAŃSKI,STANISŁAWOWSKI,0.4136588833053084
BOHORODCZAŃSKI,PODHAJECKI,0.0
BORSZCZOWSKI,CZORTKOWSKI,0.01351992046606843
BORSZCZOWSKI,BORSZCZOWSKI,0.9864800795339316
BRASŁAWSKI,WILEJSKI,0.0
BRASŁAWSKI,DZIŚNIEŃSKI,0.0
BRASŁAWSKI,POSTAWSKI,0.0
BRASŁAWSKI,WILEŃSKO-TROCKI,0.0
BRASŁAWSKI,OSZMIAŃSKI,0.0
BRASŁAWSKI,ŚWIĘCIAŃSKI,0.005689909049763089
BRASŁAWSKI,BRASŁAWSKI,0.9943100909502369
BRODNICKI,BRODNICKI,1.0
BRODZKI,BRODZKI,1.0
BRZESKI (BRZESKO),BRZESKI (BRZESKO),1.0
BRZESKI (BRZEŚĆ N.BUG.),PRUŻAŃSKI,0.0
BRZESKI (BRZEŚĆ N.BUG.),KOSZYRSKI,0.0
BRZESKI (BRZEŚĆ N.BUG.),KOBRYŃSKI,2.381081851628114e-09
BRZESKI (BRZEŚĆ N.BUG.),BRZESKI (BRZEŚĆ N.BUG.),0.9999999976189181
BRZEZIŃSKI,BRZEZIŃSKI,1.0
BRZEŻAŃSKI,TREMBOWELSKI,0.0
BRZEŻAŃSKI,TARNOPOLSKI,0.06451487135690047
BRZEŻAŃSKI,BRZEŻAŃSKI,0.9354851286430995
BRZOZOWSKI,BRZOZOWSKI,1.0
BUCZACKI,CZORTKOWSKI,0.0
BUCZACKI,BUCZACKI,1.0
BYDGOSKI,BYDGOSZCZ (MIASTO),0.00043210750650510017
BYDGOSKI,BYDGOSKI,0.999567892493495
BYDGOSZCZ (MIASTO),BYDGOSZCZ (MIASTO),1.0
BÓBRECKI,BÓBRECKI,1.0
BĘDZIŃSKI,CZĘSTOCHOWSKI,3.4919017927923e-11
BĘDZIŃSKI,ZAWIERCIAŃSKI,0.6572101723347009
BĘDZIŃSKI,SOSNOWIEC,0.021455669637456366
BĘDZIŃSKI,BĘDZIŃSKI,0.32133415799292364
BŁOŃSKI,BŁOŃSKI,1.0
CHEŁMIŃSKI,CHEŁMIŃSKI,0.9639412332361315
CHEŁMIŃSKI,TORUŃ (MIASTO),0.0
CHEŁMIŃSKI,TORUŃSKI,0.03605876676386852
CHEŁMSKI,CHEŁMSKI,1.0
CHODZIESKI,CHODZIESKI,1.0
CHOJNICKI,CHOJNICKI,0.9870469075238846
CHOJNICKI,STAROGARDZKI,0.0
CHOJNICKI,KOŚCIERSKI,1.827867992750983e-06
CHOJNICKI,ŚWIECKI,0.0
CHOJNICKI,SĘPOLEŃSKI,0.0
CHOJNICKI,TUCHOLSKI,0.012951264608122699
CHRZANOWSKI,CHRZANOWSKI,1.0
CIECHANOWSKI,CIECHANOWSKI,1.0
CIESZYŃSKI,CIESZYŃSKI,1.0
CZARNKOWSKI,CZARNKOWSKI,1.0
CZORTKOWSKI,CZORTKOWSKI,1.0
CZĘSTOCHOWSKI,CZĘSTOCHOWA (MIASTO),0.02492110523132237
CZĘSTOCHOWSKI,CZĘSTOCHOWSKI,0.9750788947686776
DOBROMILSKI,DOBROMILSKI,1.0
DOLIŃSKI,STRYJSKI,0.03525139051880898
DOLIŃSKI,DOLIŃSKI,0.964748609481191
DROHICKI,ŁUNINIECKI,0.0
DROHICKI,PIŃSKI,0.0020840354911262644
DROHICKI,DROHICKI,0.9979159645088738
DROHOBYCKI,DROHOBYCKI,1.0
DUBIEŃSKI,RÓWIEŃSKI,2.2300061209978726e-05
DUBIEŃSKI,ZDOŁBUNOWSKI,0.1029384612229808
DUBIEŃSKI,ŁUCKI,0.06853758910072677
DUBIEŃSKI,HOROCHOWSKI,0.007606135679607424
DUBIEŃSKI,DUBIEŃSKI,0.820895513935475
DUNIŁOWICKI,WILEJSKI,0.059945319376341545
DUNIŁOWICKI,DZIŚNIEŃSKI,0.24177948104244112
DUNIŁOWICKI,POSTAWSKI,0.6982751995812173
DZIAŁDOWSKI,BRODNICKI,0.0
DZIAŁDOWSKI,LUBAWSKI,0.0
DZIAŁDOWSKI,DZIAŁDOWSKI,1.0
DZIŚNIEŃSKI,BRASŁAWSKI,0.4170669451602428
DZIŚNIEŃSKI,DZIŚNIEŃSKI,0.5829330548397572
DĄBROWSKI,DĄBROWSKI,1.0
GARWOLIŃSKI,GARWOLIŃSKI,1.0
GNIEWSKI,CHOJNICKI,0.0
GNIEWSKI,STAROGARDZKI,0.21395164991983837
GNIEWSKI,CHEŁMIŃSKI,0.0
GNIEWSKI,TCZEWSKI,0.662375939078694
GNIEWSKI,ŚWIECKI,0.12367241100146766
GNIEWSKI,SĘPOLEŃSKI,0.0
GNIEWSKI,TUCHOLSKI,0.0
GNIEŹNIEŃSKI,GNIEZNO (MIASTO),0.02556915890301986
GNIEŹNIEŃSKI,WĄGROWIECKI,2.871554646906934e-11
GNIEŹNIEŃSKI,KALISKI,0.0
GNIEŹNIEŃSKI,MOGILEŃSKI,0.0
GNIEŹNIEŃSKI,WRZESIŃSKI,0.0
GNIEŹNIEŃSKI,GNIEŹNIEŃSKI,0.9744308410668002
GNIEŹNIEŃSKI,ŻNIŃSKI,1.4642839919964635e-12
GORLICKI,GORLICKI,1.0
GOSTYNIŃSKI,GOSTYNIŃSKI,1.0
GOSTYŃSKI,GOSTYŃSKI,0.9810119055636268
GOSTYŃSKI,RAWICKI,0.018988094436373153
GRODZIEŃSKI,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.007092403679532265
GRODZIEŃSKI,GRODZIEŃSKI,0.9929075963204677
GRODZISKI,GNIEZNO (MIASTO),0.0
GRODZISKI,WĄGROWIECKI,0.0
GRODZISKI,KALISKI,0.0
GRODZISKI,MOGILEŃSKI,0.0
GRODZISKI,WRZESIŃSKI,0.0
GRODZISKI,GNIEŹNIEŃSKI,0.0
GRODZISKI,OBORNICKI,0.0
GRODZISKI,ŚREMSKI,0.0
GRODZISKI,POZNAŃSKI,0.0
GRODZISKI,NOWOTOMYSKI,1.0
GRUDZIĄDZ (MIASTO),GRUDZIĄDZ (MIASTO),1.0
GRUDZIĄDZKI,GRUDZIĄDZ (MIASTO),0.0
GRUDZIĄDZKI,BRODNICKI,0.010570489998429342
GRUDZIĄDZKI,CHEŁMIŃSKI,0.0
GRUDZIĄDZKI,GRUDZIĄDZKI,0.9894295100015706
GRYBOWSKI,GORLICKI,0.28714302158163435
GRYBOWSKI,NOWOSĄDECKI,0.526250792063662
GRYBOWSKI,TARNOWSKI,0.18660618635470366
GRÓDECKI,GRÓDECKI,1.0
GRÓJECKI,GRÓJECKI,1.0
HOROCHOWSKI,HOROCHOWSKI,1.0
HORODEŃSKI,KOŁOMYJSKI,0.0
HORODEŃSKI,HORODEŃSKI,1.0
HRUBIESZOWSKI,ZAMOJSKI,0.0009865947486288212
HRUBIESZOWSKI,HRUBIESZOWSKI,0.9990134052513712
HUSIATYŃSKI,TREMBOWELSKI,0.05068013164297348
HUSIATYŃSKI,KOPYCZYNIECKI,0.9493198683570264
INOWROCŁAWSKI,INOWROCŁAW (MIASTO),0.03490550708863634
INOWROCŁAWSKI,INOWROCŁAWSKI,0.9650944929113636
IŁŻECKI,IŁŻECKI,1.0
JANOWSKI,JANOWSKI,1.0
JAROCIŃSKI,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0
JAROCIŃSKI,KROTOSZYŃSKI,0.0
JAROCIŃSKI,KĘPIŃSKI,0.0
JAROCIŃSKI,JAROCIŃSKI,1.0
JAROSŁAWSKI,JAROSŁAWSKI,1.0
JAROSŁAWSKI,LUBACZOWSKI,0.0
JAROSŁAWSKI,JAWOROWSKI,0.0
JASIELSKI,JASIELSKI,1.0
JAWOROWSKI,GRÓDECKI,1.0236781696797145e-09
JAWOROWSKI,LUBACZOWSKI,0.033351021149557555
JAWOROWSKI,JAWOROWSKI,0.9666489778267643
JĘDRZEJOWSKI,JĘDRZEJOWSKI,1.0
KALISKI,TURECKI,0.01001476533523415
KALISKI,KALISKI,0.9850223882915137
KALISKI,SIERADZKI,0.004962846373252261
KAMIONECKI,ZŁOCZOWSKI,0.012829124675592152
KAMIONECKI,KAMIONECKI,0.9871708753244078
KARTUSKI,CHOJNICKI,0.0
KARTUSKI,STAROGARDZKI,0.0
KARTUSKI,KOŚCIERSKI,0.021970524024644906
KARTUSKI,MORSKI,0.0
KARTUSKI,KARTUSKI,0.9780294759753552
KATOWICE (MIASTO),KATOWICE (MIASTO),1.0
KATOWICKI,CHORZÓW,0.016103487307677255
KATOWICKI,KATOWICKI,0.9838965126923228
KAŁUSKI,KOŁOMYJSKI,0.0
KAŁUSKI,NADWÓRNIAŃSKI,0.022238210954890442
KAŁUSKI,BRZEŻAŃSKI,0.0
KAŁUSKI,STANISŁAWOWSKI,0.009946481045316133
KAŁUSKI,PODHAJECKI,0.0
KAŁUSKI,KAŁUSKI,0.9678153079997934
KIELECKI,IŁŻECKI,1.413067307316745e-18
KIELECKI,KIELECKI,1.0
KOBRYŃSKI,PRUŻAŃSKI,1.9960962259569923e-09
KOBRYŃSKI,KOSZYRSKI,0.0
KOBRYŃSKI,KOBRYŃSKI,0.9999999980039037
KOBRYŃSKI,BRZESKI (BRZEŚĆ N.BUG.),0.0
KOLBUSZOWSKI,KOLBUSZOWSKI,1.0
KOLNEŃSKI,ŁOMŻYŃSKI,0.5673747413874957
KOLNEŃSKI,OSTROŁĘCKI,0.43262525861250434
KOLSKI,KOLSKI,1.0
KONECKI,KONECKI,1.0
KONIŃSKI,KONIŃSKI,1.0
KONSTANTYNOWSKI,BRZESKI (BRZEŚĆ N.BUG.),1.3534802736861023e-12
KONSTANTYNOWSKI,BIALSKI (BIAŁA PODLASKA),0.525692203617377
KONSTANTYNOWSKI,SIEDLECKI,0.4743077963812696
KOSOWSKI (KOSÓW HUCULSKI),KOSOWSKI (KOSÓW HUCULSKI),1.0
KOSOWSKI (KOSÓW POLESKI),IWACEWICKI,1.0
KOSZYRSKI,PRUŻAŃSKI,0.0
KOSZYRSKI,KOSZYRSKI,0.7973732378571372
KOSZYRSKI,KOBRYŃSKI,0.20262676214286274
KOSZYRSKI,BRZESKI (BRZEŚĆ N.BUG.),0.0
KOWELSKI,KOWELSKI,1.0
KOZIENICKI,KOZIENICKI,1.0
KOŁOMYJSKI,KOŁOMYJSKI,1.0
KOŚCIAŃSKI,ŚREMSKI,0.02756681560778987
KOŚCIAŃSKI,KOŚCIAŃSKI,0.9299741381886915
KOŚCIAŃSKI,LESZCZYŃSKI,0.019375027900841946
KOŚCIAŃSKI,GOSTYŃSKI,0.023084018302676746
KOŚCIAŃSKI,RAWICKI,0.0
KOŚCIAŃSKI,POZNAŃSKI,0.0
KOŚCIERSKI,CHOJNICKI,0.0001899878593476985
KOŚCIERSKI,STAROGARDZKI,0.037821688380863944
