Region;District;Na 100 budynków było/Murowanych/Ogółem;Na 100 budynków było/Drewnianych/Ogółem;Na 100 budynków było/Z gliny innych materjałów/Ogółem;Na 100 budynków było/Z niewiadomego materiału/Ogółem;Na 100 budynków było/Murowanych/Wieś;Na 100 budynków było/Drewnianych/Wieś;Na 100 budynków było/Z gliny innych materjałów/Wieś;Na 100 budynków było/Z niewiadomego materiału/Wieś;Na 100 budynków było/Murowanych/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Drewnianych/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Z gliny innych materjałów/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Z niewiadomego materiału/Miasta poniżej 20 000 mieszk.;Na 100 budynków było/Murowanych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Drewnianych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Z gliny innych materjałów/Miasta powyżej 20 000 mieszkańców;Na 100 budynków było/Z niewiadomego materiału/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ogniotrwałe/Ogółem;Na 100 budynków miało pokrycie/Z drzewa/Ogółem;Na 100 budynków miało pokrycie/Ze słomy/Ogółem;Na 100 budynków miało pokrycie/Niewiadome/Ogółem;Na 100 budynków miało pokrycie/Ogniotrwałe/Wieś;Na 100 budynków miało pokrycie/Z drzewa/Wieś;Na 100 budynków miało pokrycie/Ze słomy/Wieś;Na 100 budynków miało pokrycie/Niewiadome/Wieś;Na 100 budynków miało pokrycie/Ogniotrwałe/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Z drzewa/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ze słomy/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Niewiadome/Miasta poniżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ogniotrwałe/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Z drzewa/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Ze słomy/Miasta powyżej 20 000 mieszkańców;Na 100 budynków miało pokrycie/Niewiadome/Miasta powyżej 20 000 mieszkańców
BIAŁOSTOCKIE;AUGUSTOWSKI;3,6;96,3;0,1;0;2,1;97,8;0,1;0,01;14,7;85;0,2;0,1;0;0;0;0;4;15,2;80,6;0,21;1,9;11,1;86,8;0,21;20,4;46,4;33,1;0,1;0;0;0;0
BIAŁOSTOCKIE;BIAŁOSTOCKI;11,7;87,7;0,5;0,1;5,9;93,6;0,5;0;9,5;90;0,5;0;27,5;71,9;0,6;0;55,3;6,7;37,5;0,5;34,7;8,4;56,2;0,7;70,5;9,3;20,1;0,1;98;1,3;0,4;0,3
BIAŁOSTOCKIE;BIAŁOWIESKI;0,4;99,6;0;0;0,4;99,6;0;0;0;0;0;0;0;0;0;0;4,5;30;64,4;1,1;4,5;30;64,4;1,1;0;0;0;0;0;0;0;0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);3,5;96,2;0,2;0,1;1,2;98,5;0,2;0,1;15,8;83,7;0,4;0,1;0;0;0;0;12,2;9;78;0,8;7,4;5,4;86,5;0,7;38,4;29,2;31,5;0,9;0;0;0;0
BIAŁOSTOCKIE;GRODZIEŃSKI;8,5;90,8;0,6;0,1;2,8;96,4;0,8;0;15,9;83,8;0,1;0,2;38,4;61,3;0,2;0,1;13,9;15,2;70,7;0,2;4,2;8,2;87,5;0,1;24,6;55,6;19,3;0,5;67,2;32,2;0,1;0,5
BIAŁOSTOCKIE;KOLNEŃSKI;8,8;90,9;0,3;0;7,8;91,9;0,3;0;21,4;78,6;0;0;0;0;0;0;12,2;1,1;86,7;0;5,9;0,9;93,2;0;90,5;2,3;7;0,2;0;0;0;0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);2,2;97,3;0,5;0;1,7;97,8;0,5;0;6;93,3;0,4;0,3;0;0;0;0;10,6;10,7;78,2;0,5;5,1;8,9;85,6;0,4;51,5;24,2;23,7;0,6;0;0;0;0
BIAŁOSTOCKIE;OSTROŁĘCKI;3,5;95,4;0,6;0,5;2,7;96,1;0,7;0,5;13,3;86,2;0,4;0,1;0;0;0;0;9,4;4,1;86;0,5;5,4;3,9;90,2;0,5;56,4;7,1;36,1;0,4;0;0;0;0
BIAŁOSTOCKIE;SEJNEŃSKI;1,8;97,8;0,4;0;0,5;99,1;0,3;0,1;12,7;86,4;0,9;0;0;0;0;0;1,8;14,9;83,2;0,1;0,3;7,7;91,9;0,1;14,7;74,3;10,2;0,8;0;0;0;0
BIAŁOSTOCKIE;SOKÓLSKI;3;96,7;0,2;0,1;2,4;97,3;0,2;0,1;6,8;93;0,1;0,1;0;0;0;0;19,8;10;68,8;1,4;19,3;6,8;72,3;1,6;22,6;28,5;48,7;0,2;0;0;0;0
