Region;District;Liczba budynków z przeznaczenia mieszkalnych na 1 km2;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Ogółem;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Wieś;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta poniżej 20 000 mieszkańców;Liczba budynków z przeznaczenia mieszkalnych i innych zamieszkanych na 1 nieruchomość/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Ogółem;Liczba ludności na 1 budynek/Wieś;Liczba ludności na 1 budynek/Miasta poniżej 20 000 mieszkańców;Liczba ludności na 1 budynek/Miasta powyżej 20 000 mieszkańców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta poniżej 20 000 mieszkanców;Liczba ludności na 1 nieruchomość zamieszkaną/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Ogółem;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Ogółem;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Ogółem;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Wieś;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Wieś;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Wieś;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Z przeznaczenia mieszkalnych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Służących głównie dla innych celów/Miasta powyżej 20 000 mieszkańców;Na 100 budynków zamieszkanych było/Gospodarczych, tymczasowych i ruchomych/Miasta powyżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Ogółem;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Wieś;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 budynków z przeznaczenia mieszkalnych było niezamieszkanych/Miasta powyżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Ogółem;Na 100 mieszkań było niezamieszkanych/Wieś;Na 100 mieszkań było niezamieszkanych/Miasta poniżej 20 000 mieszkańców;Na 100 mieszkań było niezamieszkanych/Miasta powyżej 20 000 mieszkańców
BIAŁOSTOCKIE;AUGUSTOWSKI;4,98;1,04;1,03;1,13;0;6,05;5,86;7,53;0;8,45;0;97,12;0,12;2,76;96,84;0,14;3,02;99,31;0;0,69;0;0;0;0,15;0,07;0,77;0;0,3;0,19;0,85;0
BIAŁOSTOCKIE;BIAŁOSTOCKI;7,73;1,1;1,02;1,05;1,4;7,91;6,11;6,61;13,11;6,9;18,23;99,35;0,27;0,38;99,29;0,14;0,57;99,13;0,71;0,16;99,61;0,37;0,02;1,73;1,89;1,36;1,54;2,03;1,96;2,12;2,07
BIAŁOSTOCKIE;BIAŁOWIESKI;1,91;1,03;1,03;0;0;6,02;6,02;0;0;0;0;99,12;0,2;0,68;99,12;0,2;0,68;0;0;0;0;0;0;3,57;3,57;0;0;3,65;3,65;0;0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);6,62;1,03;1,03;1,06;0;5,8;5,57;7,04;0;7,46;0;98,75;0,17;1,08;98,69;0,1;1,21;99,09;0,51;0,4;0;0;0;4,12;4,46;2,28;0;3,62;3,96;2,17;0
BIAŁOSTOCKIE;GRODZIEŃSKI;5,01;1,07;1,04;1,11;1,36;6,74;5,84;6,87;12,38;7,32;16,74;96,32;0,27;3,41;95,67;0,11;4,22;99,34;0,3;0,36;98,64;1,25;0,11;1,2;0,67;5,93;1,5;1,5;0,66;5,65;2,42
BIAŁOSTOCKIE;KOLNEŃSKI;6,06;1,03;1,02;1,16;0;6,45;6,12;10,82;0;12,52;0;93,62;0,16;6,22;93,15;0,16;6,69;99,86;0,14;0;0;0;0;0,23;0,19;0,72;0;0,26;0,22;0,51;0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);8,66;1,05;1,03;1,19;0;6,86;6,44;9,99;0;11,84;0;98,03;0,12;1,85;97,9;0,06;2,04;99,07;0,56;0,37;0;0;0;0,41;0,3;1,24;0;0,41;0,26;1,02;0
BIAŁOSTOCKIE;OSTROŁĘCKI;6,49;1,03;1,02;1,15;0;6,63;6,29;10,85;0;12,34;0;95,19;0,25;4,56;94,99;0,19;4,82;97,51;1,07;1,42;0;0;0;0,29;0,25;0,84;0;0,24;0,22;0,38;0
BIAŁOSTOCKIE;SEJNEŃSKI;4,16;1,04;1,02;1,34;0;5,94;5,87;6,57;0;8,67;0;99,28;0,18;0,54;99,29;0,1;0,61;99,13;0,87;0;0;0;0;0,57;0,17;3,95;0;0,6;0,16;2,97;0
BIAŁOSTOCKIE;SOKÓLSKI;6,67;1,02;1,01;1,04;0;5,64;5,58;5,99;0;6,2;0;98,48;0,12;1,4;98,29;0,07;1,64;99,58;0,42;0;0;0;0;0,57;0,49;1,01;0;0,59;0,49;1,07;0
BIAŁOSTOCKIE;SUWALSKI;7,18;1,09;1,02;1,62;0;6,72;6,15;9,55;0;15,18;0;98,11;0,14;1,75;97,82;0,08;2,1;99,54;0,46;0;0;0;0;0,5;0,14;2,24;0;2,76;0,13;8,31;0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);5,44;1,08;1,04;1,25;0;7,31;6,76;9,8;0;12,06;0;97,93;0,19;1,88;97,69;0,16;2,15;99,09;0,28;0,63;0;0;0;0,85;0,37;2,95;0;0,98;0,44;2,26;0
BIAŁOSTOCKIE;WOŁKOWYSKI;5,18;1,04;1,04;1,08;0;6,05;5,75;8,84;0;9,51;0;97,58;0,17;2,25;97,74;0,1;2,16;96,1;0,88;3,02;0;0;0;7,82;8,46;1,07;0;7,24;8,15;1;0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;7,47;1,03;1,03;1,07;0;6,74;6,54;8,59;0;9,18;0;96,9;0,17;2,93;96,64;0,13;3,23;99,39;0,61;0;0;0;0;0,14;0,12;0,31;0;0,13;0,12;0,23;0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;6,61;1,05;1,02;1,15;1,41;8,3;6,92;12,32;19,6;14,4;27,59;95,89;0,31;3,8;95,53;0,12;4,35;99,4;0;0,6;97,77;2,23;0;0,21;0,16;0,8;0,45;0,31;0,14;0,31;0,76
KIELECKIE;BĘDZIŃSKI;21,34;1,13;1,06;1,21;1,38;12,71;8,75;19,77;22,08;23,76;30,29;99,28;0,29;0,43;99,49;0,09;0,42;99,77;0,23;0;98,71;0,79;0,5;0,79;0,73;1,48;0,88;0,62;0,68;1,09;0,53
KIELECKIE;CZĘSTOCHOWSKI;13,07;1,11;1,04;1,06;1,57;9,27;7,21;8,73;19,44;9,28;30,55;98,78;0,16;1,06;98,61;0,05;1,34;99,72;0,19;0,09;99,33;0,67;0;0,53;0,53;0,56;0,51;0,4;0,41;0,65;0,37
KIELECKIE;IŁŻECKI;11,2;1,03;1,03;1,23;0;6,58;6,47;10,94;0;13,38;0;96,46;0,08;3,46;66,4;0,08;3,52;98,6;0,4;1;0;0;0;0,34;0,32;1,01;0;0,43;0,43;0,58;0
KIELECKIE;JĘDRZEJOWSKI;10,92;1,06;1,04;1,29;0;7,2;6,83;12,12;0;15,54;0;99,1;0,07;0,83;99,08;0,06;0,86;99,38;0,21;0,41;0;0;0;0,44;0,42;0,72;0;0,35;0,35;0,36;0
KIELECKIE;KIELECKI;12,32;1,06;1,03;1,02;1,57;7,46;6,25;9,36;18,65;9,57;29,18;99,36;0,14;0,5;99,43;0,05;0,52;99,26;0,37;0,37;98,65;0,95;0,4;0,48;0,5;0,37;0,32;0,41;0,47;0,2;0,26
KIELECKIE;KONECKI;11,52;1,06;1,04;1,26;0;6,65;5,9;13,02;0;16,37;0;99,51;0,07;0,42;99,58;0,01;0,41;98,94;0,53;0,53;0;0;0;0,6;0,63;0,31;0;0,56;0,61;0,38;0
KIELECKIE;KOZIENICKI;9,43;1,04;1,04;1,04;0;6,8;6,61;13,51;0;14,01;0;97,14;0,07;2,79;97,08;0,06;2,86;99,41;0,39;0,2;0;0;0;0,05;0,05;0;0;0,3;0,32;0;0
KIELECKIE;MIECHOWSKI;13,82;1,05;1,04;1,18;0;7,85;7,5;14,59;0;17,16;0;99,26;0,1;0,64;99,29;0,08;0,63;98,84;0,42;0,74;0;0;0;0,34;0,32;0,74;0;0,27;0,25;0,47;0
KIELECKIE;OLKUSKI;14,08;1,03;1,03;1,29;0;7,18;7;14,04;0;17,87;0;99,38;0,07;0,55;99,4;0,04;0,56;98,74;0,84;0,42;0;0;0;0,59;0,57;1,26;0;0,49;0,49;0,43;0
KIELECKIE;OPATOWSKI;12,56;1,06;1,05;1,16;0;7,81;7,01;16,96;0;19,66;0;99,48;0,09;0,43;99,48;0,06;0,46;99,41;0,47;0,12;0;0;0;0,27;0,25;0,54;0;0,3;0,22;0,62;0
