Region;District;Polish;% Polish;Belarusian;% Belarusian;Ruthenian;% Ruthenian;Local (Tutejszy);% Local (Tutejszy);German;% German;Jewish;% Jewish;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
BIA£OSTOCKIE;AUGUSTOWSKI;58896;0,944088228;92;0,001474737;4;0,000064119;;0;42;0,00067325;2789;0,044706976;561;0,00899269;3488;0,055911772
BIA£OSTOCKIE;BIA£OSTOCKI;129691;0,694448312;6016;0,0322135;49;0,000262377;;0;2043;0,010939525;47048;0,251924992;1907;0,010211294;57063;0,305551688
BIA£OSTOCKIE;BIA£OWIESKI;7955;0,444935399;8921;0,498965267;36;0,002013535;;0;5;0,000279658;841;0,047038425;121;0,006767716;9924;0,555064601
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);79154;0,612571199;35964;0,278324666;30;0,000232169;;0;45;0,000348254;13715;0,106140106;308;0,002383606;50062;0,387428801
BIA£OSTOCKIE;GRODZIE—SKI;83419;0,554489076;39511;0,26263103;24;0,000159529;;0;111;0,000737821;25316;0,168276357;2062;0,013706188;67024;0,445510924
BIA£OSTOCKIE;KOLNE—SKI;58340;0,916488626;2;3,14189E-05;10;0,000157094;;0;7;0,000109966;5202;0,081720498;95;0,001492397;5316;0,083511374
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);83427;0,883227289;23;0,000243497;9;9,52815E-05;;0;404;0,004277078;10493;0,111087585;101;0,00106927;11030;0,116772711
BIA£OSTOCKIE;OSTRO£ CKI;68814;0,931984398;2;2,70871E-05;1;1,35435E-05;;0;1;1,35435E-05;4957;0,067135273;61;0,000826155;5022;0,068015602
BIA£OSTOCKIE;SEJNE—SKI;14439;0,732795371;15;0,000761267;;0;;0;104;0,005278116;501;0,025426309;4645;0,235738936;5265;0,267204629
BIA£OSTOCKIE;SOK”LSKI;78889;0,873980768;4522;0,050097492;14;0,000155101;;0;5;5,53931E-05;6531;0,072354427;303;0,00335682;11375;0,126019232
BIA£OSTOCKIE;SUWALSKI;60754;0,86283588;24;0,000340851;4;5,68085E-05;;0;1013;0,014386752;5400;0,076691473;3217;0,045688235;9658;0,13716412
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);51031;0,877152876;19;0,000326584;7;0,00012032;;0;14;0,000240641;6996;0,120251642;111;0,001907938;7147;0,122847124
BIA£OSTOCKIE;WO£KOWYSKI;80198;0,695794761;23933;0,207641787;51;0,000442474;;0;25;0,000216899;10704;0,092867492;350;0,003036587;35063;0,304205239
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;63263;0,891342022;334;0,004705882;51;0,000718563;;0;9;0,000126805;7157;0,100838323;161;0,002268404;7712;0,108657978
BIA£OSTOCKIE;£OMØY—SKI;86100;0,845236342;14;0,000137437;14;0,000137437;;0;289;0,002837088;15262;0,14982575;186;0,001825946;15765;0,154763658
KIELECKIE;B DZI—SKI;343525;0,888966235;42;0,000108687;54;0,00013974;;0;199;0,000514968;41737;0,108006066;875;0,002264305;42907;0,111033765
KIELECKIE;CZ STOCHOWSKI;212600;0,90509681;19;8,08882E-05;501;0,002132895;;0;596;0,002537336;20801;0,088555592;375;0,001596478;22292;0,09490319
KIELECKIE;I£ØECKI;129802;0,945802973;1;7,28651E-06;3;2,18595E-05;;0;184;0,001340717;7217;0,052586709;33;0,000240455;7438;0,054197027
KIELECKIE;J DRZEJOWSKI;94384;0,940838724;1;9,9682E-06;1;9,9682E-06;;0;1;9,9682E-06;5923;0,059041657;9;8,97138E-05;5935;0,059161276
KIELECKIE;KIELECKI;160052;0,889840214;3;1,66791E-05;13;0,000072276;;0;606;0,003369175;19112;0,10625688;80;0,000444776;19814;0,110159786
KIELECKIE;KONECKI;129998;0,896810067;;0;4;2,75946E-05;;0;17;0,000117277;14897;0,102769116;40;0,000275946;14958;0,103189933
KIELECKIE;KOZIENICKI;116945;0,941154221;1;8,04784E-06;13;0,000104622;;0;1492;0,012007372;5787;0,046572829;19;0,000152909;7312;0,058845779
KIELECKIE;MIECHOWSKI;144521;0,967614724;4;2,67813E-05;2;1,33906E-05;;0;8;5,35626E-05;4783;0,032023728;40;0,000267813;4837;0,032385276
KIELECKIE;OLKUSKI;128256;0,941404444;;0;12;8,80805E-05;;0;15;0,000110101;7899;0,057978993;57;0,000418382;7983;0,058595556
KIELECKIE;OPATOWSKI;142203;0,874557196;;0;6;3,69004E-05;;0;4;2,46002E-05;20370;0,125276753;17;0,000104551;20397;0,125442804
KIELECKIE;OPOCZY—SKI;115426;0,941707255;;0;8;6,52683E-05;;0;202;0,001648024;6914;0,056408123;21;0,000171329;7145;0,058292745
KIELECKIE;PI—CZOWSKI;110067;0,914162555;;0;4;0,000033222;;0;6;4,98331E-05;10302;0,085563363;23;0,000191027;10335;0,085837445
KIELECKIE;RADOMSKI;168844;0,872853975;1;5,16959E-06;18;9,30526E-05;;0;115;0,000594503;24344;0,125848459;117;0,000604842;24595;0,127146025
KIELECKIE;SANDOMIERSKI;103407;0,924407534;2;0,000017879;4;0,000035758;;0;33;0,000295004;8402;0,075109732;15;0,000134093;8456;0,075592466
KIELECKIE;STOPNICKI;124865;0,887935203;;0;4;2,84446E-05;;0;166;0,001180453;15546;0,110550119;43;0,00030578;15759;0,112064797
KIELECKIE;W£OSZCZOWSKI;89367;0,985053404;5;5,51128E-05;;0;;0;11;0,000121248;1326;0,014615919;14;0,000154316;1356;0,014946596
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);72632;0,895243495;;0;35;0,000431401;;;6937;0,085503692;1420;0,017502558;107;0,001318855;8499;0,104756505
KRAKOWSKIE;BOCHE—SKI;104820;0,967197232;;0;24;0,000221453;;;39;0,000359862;3477;0,032083045;15;0,000138408;3555;0,032802768
KRAKOWSKIE;BRZESKI (BRZESKO);94486;0,982213583;3;0,000031186;19;0,000197511;;;9;0,000093558;1663;0,017287441;17;0,000176721;1711;0,017786417
KRAKOWSKIE;CHRZANOWSKI;112350;0,962988994;;0;63;0,000539994;;;164;0,001405698;4011;0,034379607;80;0,000685706;4318;0,037011006
KRAKOWSKIE;D•BROWSKI;61016;0,957609429;;0;13;0,000204027;;;2;3,13888E-05;2678;0,0420296;8;0,000125555;2701;0,042390571
KRAKOWSKIE;GORLICKI;57317;0,733995825;;0;17407;0,222912318;;;17;0,0002177;3291;0,04214422;57;0,000729936;20772;0,266004175
