Region;District;Liczba nieruchomości
BIAŁOSTOCKIE;AUGUSTOWSKI;9922.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;21808.0
BIAŁOSTOCKIE;BIAŁOWIESKI;2980.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);22477.0
BIAŁOSTOCKIE;GRODZIEŃSKI;21044.0
BIAŁOSTOCKIE;KOLNEŃSKI;9614.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);13212.0
BIAŁOSTOCKIE;OSTROŁĘCKI;10868.0
BIAŁOSTOCKIE;SEJNEŃSKI;3200.0
BIAŁOSTOCKIE;SOKÓLSKI;15852.0
BIAŁOSTOCKIE;SUWALSKI;9697.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);7461.0
BIAŁOSTOCKIE;WOŁKOWYSKI;19855.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;10202.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;11656.0
KIELECKIE;BĘDZIŃSKI;27022.0
KIELECKIE;CZĘSTOCHOWSKI;23017.0
KIELECKIE;IŁŻECKI;20290.0
KIELECKIE;JĘDRZEJOWSKI;13259.0
KIELECKIE;KIELECKI;22864.0
KIELECKIE;KONECKI;20744.0
KIELECKIE;KOZIENICKI;17637.0
KIELECKIE;MIECHOWSKI;18177.0
KIELECKIE;OLKUSKI;18445.0
KIELECKIE;OPATOWSKI;19756.0
KIELECKIE;OPOCZYŃSKI;17922.0
KIELECKIE;PIŃCZOWSKI;15954.0
KIELECKIE;RADOMSKI;21523.0
KIELECKIE;SANDOMIERSKI;14761.0
KIELECKIE;STOPNICKI;20723.0
KIELECKIE;WŁOSZCZOWSKI;12020.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);9924.0
KRAKOWSKIE;BOCHEŃSKI;18863.0
KRAKOWSKIE;BRZESKI (BRZESKO);18434.0
KRAKOWSKIE;CHRZANOWSKI;15926.0
KRAKOWSKIE;DĄBROWSKI;11956.0
KRAKOWSKIE;GORLICKI;14026.0
KRAKOWSKIE;GRYBOWSKI;8840.0
KRAKOWSKIE;JASIELSKI;14908.0
KRAKOWSKIE;KRAKOWSKI;1066.0
KRAKOWSKIE;KRAKÓW (MIASTO);5394.0
KRAKOWSKIE;LIMANOWSKI;13165.0
KRAKOWSKIE;MIELECKI;13298.0
KRAKOWSKIE;MYŚLENICKI;16144.0
KRAKOWSKIE;NOWOSĄDECKI;18980.0
KRAKOWSKIE;NOWOTARSKI;15784.0
KRAKOWSKIE;OŚWIĘCIMSKI;6508.0
KRAKOWSKIE;PILZNEŃSKI;8676.0
KRAKOWSKIE;PODGÓRSKI;5937.0
KRAKOWSKIE;ROPCZYCKI;14085.0
KRAKOWSKIE;SPISKO-ORAWSKI;5105.0
KRAKOWSKIE;TARNOWSKI;15068.0
KRAKOWSKIE;WADOWICKI;15091.0
KRAKOWSKIE;WIELICKI;10799.0
KRAKOWSKIE;ŻYWIECKI;19254.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);8608.0
LUBELSKIE;BIŁGORAJSKI;15941.0
LUBELSKIE;CHEŁMSKI;15398.0
LUBELSKIE;GARWOLIŃSKI;18255.0
LUBELSKIE;HRUBIESZOWSKI;14147.0
LUBELSKIE;JANOWSKI;18810.0
LUBELSKIE;KONSTANTYNOWSKI;8382.0
LUBELSKIE;KRASNOSTAWSKI;15832.0
LUBELSKIE;LUBARTOWSKI;13106.0
LUBELSKIE;LUBELSKI;17238.0
LUBELSKIE;LUBLIN (MIASTO);2551.0
LUBELSKIE;PUŁAWSKI;19155.0
LUBELSKIE;RADZYŃSKI;11763.0
LUBELSKIE;SIEDLECKI;10932.0
LUBELSKIE;SOKOŁOWSKI;9156.0
LUBELSKIE;TOMASZOWSKI;13622.0
LUBELSKIE;WĘGROWSKI;10131.0
LUBELSKIE;WŁODAWSKI;11669.0
LUBELSKIE;ZAMOJSKI;18556.0
LUBELSKIE;ŁUKOWSKI;16237.0
LWOWSKIE;BRZOZOWSKI;14508.0
LWOWSKIE;BÓBRECKI;13267.0
LWOWSKIE;CIESZANOWSKI;13887.0
LWOWSKIE;DOBROMILSKI;11460.0
LWOWSKIE;DROHOBYCKI;24126.0
LWOWSKIE;GRÓDECKI;12295.0
LWOWSKIE;JAROSŁAWSKI;22246.0
LWOWSKIE;JAWOROWSKI;14195.0
LWOWSKIE;KOLBUSZOWSKI;12740.0
LWOWSKIE;KROŚNIEŃSKI;14735.0
LWOWSKIE;LESKI;14448.0
LWOWSKIE;LWOWSKI;23830.0
LWOWSKIE;LWÓW (MIASTO);5890.0
LWOWSKIE;MOŚCISKI;14202.0
LWOWSKIE;NIŻAŃSKI;11078.0
LWOWSKIE;PRZEMYSKI;19338.0
LWOWSKIE;PRZEWORSKI;10341.0
LWOWSKIE;RAWSKI (RAWA RUSKA);18585.0
LWOWSKIE;RUDECKI;13015.0
LWOWSKIE;RZESZOWSKI;24372.0
LWOWSKIE;SAMBORSKI;17613.0
LWOWSKIE;SANOCKI;16871.0
LWOWSKIE;SOKALSKI;16064.0
LWOWSKIE;STAROSAMBORSKI;9561.0
LWOWSKIE;STRZYŻOWSKI;10395.0
LWOWSKIE;TARNOBRZESKI;13603.0
LWOWSKIE;ŁAŃCUCKI;17078.0
LWOWSKIE;ŻÓŁKIEWSKI;15891.0
M. ST. WARSZAWA;M. ST. WARSZAWA;10040.0
NOWOGRÓDZKIE;BARANOWICKI;14268.0
NOWOGRÓDZKIE;BRASŁAWSKI;10717.0
NOWOGRÓDZKIE;DUNIŁOWICKI;19250.0
NOWOGRÓDZKIE;DZIŚNIEŃSKI;28925.0
NOWOGRÓDZKIE;LIDZKI;32584.0
NOWOGRÓDZKIE;NIEŚWIESKI;18733.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;16742.0
NOWOGRÓDZKIE;STOŁPECKI;11952.0
NOWOGRÓDZKIE;SŁONIMSKI;20429.0
NOWOGRÓDZKIE;WILEJSKI;20834.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;20640.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);16618.0
POLESKIE;DROHICKI;11383.0
POLESKIE;KOBRYŃSKI;10496.0
POLESKIE;KOSOWSKI (KOSÓW POLESKI);8329.0
