Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture and forestry;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - F. Army;Indirect Occupation - G. Domestic service;Indirect Occupation - H. Unemployed;Indirect Occupation - N. Not further specified
BIA£OSTOCKIE;AUGUSTOWSKI;35438;31356;1725;467;212;489;70;285;368;466
BIA£OSTOCKIE;BIA£OSTOCKI;93825;53809;16921;5757;3814;3496;724;2619;4425;2260
BIA£OSTOCKIE;BIA£OWIESKI;10402;8947;883;108;58;166;1;83;34;122
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);74441;65054;4004;1579;436;991;37;629;1007;704
BIA£OSTOCKIE;GRODZIE—SKI;83041;62283;7370;3168;1436;2186;543;1552;2522;1981
BIA£OSTOCKIE;KOLNE—SKI;36562;33336;1331;482;103;443;13;248;325;281
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);49256;41068;3025;1362;506;685;131;514;949;1016
BIA£OSTOCKIE;OSTRO£ CKI;40538;35297;1869;679;739;528;157;284;520;465
BIA£OSTOCKIE;SEJNE—SKI;11317;9929;401;114;21;302;31;97;156;266
BIA£OSTOCKIE;SOK”LSKI;54076;49425;1870;732;244;547;38;294;460;466
BIA£OSTOCKIE;SUWALSKI;38602;31298;2067;1096;315;916;236;578;1204;892
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);29762;24588;1803;625;246;544;35;349;633;939
BIA£OSTOCKIE;WO£KOWYSKI;66993;58422;2526;1045;1567;883;339;784;921;506
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;39224;33694;2065;867;901;513;20;374;317;473
BIA£OSTOCKIE;£OMØY—SKI;52482;38897;4276;1823;439;1948;353;987;2178;1581
KIELECKIE;B DZI—SKI;157290;44817;76848;8862;5998;5332;423;6044;5407;3559
KIELECKIE;CZ STOCHOWSKI;111985;68243;22871;5852;2521;2891;339;2952;4211;2105
KIELECKIE;I£ØECKI;75196;64625;6074;1314;409;692;48;584;482;968
KIELECKIE;J DRZEJOWSKI;52783;45150;2528;1529;682;661;26;900;718;589
KIELECKIE;KIELECKI;96354;71993;8717;3927;2139;2411;788;2283;2659;1437
KIELECKIE;KONECKI;70267;52945;9006;2371;2329;926;39;1075;804;772
KIELECKIE;KOZIENICKI;71767;62275;4166;2379;435;765;54;577;668;448
KIELECKIE;MIECHOWSKI;81679;71756;3782;2067;560;999;135;1025;920;435
KIELECKIE;OLKUSKI;71660;56822;8702;2075;561;940;36;875;939;710
KIELECKIE;OPATOWSKI;80903;61968;8980;3437;569;1203;76;1590;1303;1777
KIELECKIE;OPOCZY—SKI;70305;63190;3371;1226;226;669;26;594;653;350
KIELECKIE;PI—CZOWSKI;63119;54186;3188;2217;175;868;49;1139;787;510
KIELECKIE;RADOMSKI;97609;69626;10690;4849;2691;2081;206;2695;2940;1831
KIELECKIE;SANDOMIERSKI;58853;48127;4214;2175;277;964;82;1076;1220;718
KIELECKIE;STOPNICKI;77148;68064;3435;2244;204;852;18;895;635;801
KIELECKIE;W£OSZCZOWSKI;48547;42640;2503;1248;173;516;37;667;349;414
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);44402;21797;15321;1376;800;1104;126;1230;1315;1333
KRAKOWSKIE;BOCHE—SKI;62794;52872;2775;1341;1563;1210;122;967;1382;562
KRAKOWSKIE;BRZESKI (BRZESKO);61219;56124;1846;818;463;794;14;542;438;180
KRAKOWSKIE;CHRZANOWSKI;52921;23182;20142;2163;2426;1326;63;1368;1350;901
KRAKOWSKIE;D•BROWSKI;41562;38342;974;926;129;506;22;333;268;62
KRAKOWSKIE;GORLICKI;48971;42391;3694;763;291;650;20;581;387;194
KRAKOWSKIE;GRYBOWSKI;32269;29393;707;486;455;439;19;408;281;81
KRAKOWSKIE;JASIELSKI;53360;45313;2546;1019;861;935;22;1026;1370;268
KRAKOWSKIE;KRAKOWSKI;39154;32570;2620;402;836;896;348;489;891;102
KRAKOWSKIE;KRAK”W (MIASTO);94082;1463;22262;16383;7408;12732;3879;12081;14306;3568
KRAKOWSKIE;LIMANOWSKI;48814;45465;1216;511;273;549;13;415;238;134
KRAKOWSKIE;MIELECKI;44936;40726;1194;1104;162;606;13;450;477;204
KRAKOWSKIE;MYåLENICKI;56595;52109;1638;555;270;631;18;602;452;320
KRAKOWSKIE;NOWOS•DECKI;74383;57511;3867;2697;2821;1918;319;1812;2310;1128
KRAKOWSKIE;NOWOTARSKI;50854;43686;1730;1307;289;1284;84;948;1156;370
KRAKOWSKIE;OåWI CIMSKI;26891;17477;3571;1070;1041;853;78;637;1625;539
KRAKOWSKIE;PILZNE—SKI;30808;28555;650;488;143;341;11;254;172;194
KRAKOWSKIE;PODG”RSKI;21567;14432;3449;638;741;549;199;383;1058;118
KRAKOWSKIE;ROPCZYCKI;48218;44159;1004;827;528;590;36;334;476;264
KRAKOWSKIE;SPISKO-ORAWSKI;16168;15650;147;93;17;139;3;64;47;8
KRAKOWSKIE;TARNOWSKI;62590;44831;4676;2944;1501;1957;351;1807;3160;1363
KRAKOWSKIE;WADOWICKI;54893;45986;3935;871;484;1100;168;839;935;575
KRAKOWSKIE;WIELICKI;37203;29268;3938;584;770;665;48;541;1014;375
KRAKOWSKIE;ØYWIECKI;64335;52412;6695;763;1157;812;75;761;715;945
LUBELSKIE;BIALSKI (BIA£A PODLASKA);32105;25524;2267;1221;486;686;210;414;576;721
LUBELSKIE;BI£GORAJSKI;57021;51629;2034;1880;162;509;5;407;325;70
LUBELSKIE;CHE£MSKI;66481;53643;4199;2427;1243;1225;239;1045;1261;1199
LUBELSKIE;GARWOLI—SKI;70616;60247;4429;2127;630;923;77;630;754;799
LUBELSKIE;HRUBIESZOWSKI;58885;50155;3737;1949;355;847;81;684;688;389
LUBELSKIE;JANOWSKI;73370;64506;3537;1792;302;869;47;721;689;907
LUBELSKIE;KONSTANTYNOWSKI;35351;31128;1739;695;173;554;12;397;436;217
LUBELSKIE;KRASNOSTAWSKI;64240;57467;2822;1466;163;659;39;597;487;540
LUBELSKIE;LUBARTOWSKI;52858;46978;2393;1354;148;685;23;400;441;436
LUBELSKIE;LUBELSKI;74800;67354;3454;1342;388;643;37;691;382;509
LUBELSKIE;LUBLIN (MIASTO);39171;1168;10785;7547;3033;4134;1263;3705;5319;2217
LUBELSKIE;PU£AWSKI;79596;65274;5462;2895;1263;1323;580;1068;936;795
LUBELSKIE;RADZY—SKI;47184;39373;3400;1437;308;701;34;610;644;677
LUBELSKIE;SIEDLECKI;49292;35328;4290;2336;1892;1477;238;999;1810;922
LUBELSKIE;SOKO£OWSKI;42677;37456;2235;994;179;586;16;378;451;382
LUBELSKIE;TOMASZOWSKI;51539;45312;2573;1703;123;619;19;510;387;293
LUBELSKIE;W GROWSKI;43377;37860;2648;923;249;652;16;356;455;218
LUBELSKIE;W£ODAWSKI;43119;37286;2280;1386;199;590;30;423;402;523
LUBELSKIE;ZAMOJSKI;76482;62679;5290;2568;697;1169;217;1371;1323;1168
LUBELSKIE;£UKOWSKI;65602;56980;3604;1523;553;846;48;673;695;680
LWOWSKIE;BRZOZOWSKI;50231;45906;1398;728;91;830;12;378;412;476
LWOWSKIE;B”BRECKI;47089;41931;1682;941;815;625;19;399;298;379
LWOWSKIE;CIESZANOWSKI;48084;43670;1499;999;186;567;7;324;226;606
LWOWSKIE;DOBROMILSKI;42819;39343;1220;899;167;492;13;384;203;98
LWOWSKIE;DROHOBYCKI;88367;57211;18256;3284;981;1980;33;2467;1707;2448
LWOWSKIE;GR”DECKI;42006;37230;1515;750;480;517;116;363;275;760
LWOWSKIE;JAROS£AWSKI;79547;67207;3185;2237;778;1523;336;1241;1302;1738
LWOWSKIE;JAWOROWSKI;49774;44942;1399;859;85;582;16;321;441;1129
LWOWSKIE;KOLBUSZOWSKI;43887;40789;1015;1027;50;412;9;217;284;84
LWOWSKIE;KROåNIE—SKI;48435;39688;4175;1024;244;927;35;724;1080;538
LWOWSKIE;LESKI;58453;53295;1856;1237;296;611;17;486;270;385
LWOWSKIE;LWOWSKI;84513;64712;6980;2281;2387;1875;255;983;2641;2399
LWOWSKIE;LW”W (MIASTO);103598;1240;21053;21159;8550;14865;3616;11768;15859;5488
LWOWSKIE;MOåCISKI;50264;46497;1038;867;392;547;15;371;224;313
LWOWSKIE;NIØA—SKI;37764;33630;1527;661;134;449;35;242;306;780
LWOWSKIE;PRZEMYSKI;80209;56048;5373;3931;2376;2757;1162;2422;4230;1910
LWOWSKIE;PRZEWORSKI;33674;29148;1361;791;369;455;18;370;310;852
LWOWSKIE;RAWSKI (RAWA RUSKA);61277;54486;1890;1420;600;699;39;501;310;1332
LWOWSKIE;RUDECKI;43624;40437;932;770;126;496;6;262;119;476
