Region;District;Total population
BIA£OSTOCKIE;AUGUSTOWSKI;62384
BIA£OSTOCKIE;BIA£OSTOCKI;186754
BIA£OSTOCKIE;BIA£OWIESKI;17879
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);129216
BIA£OSTOCKIE;GRODZIE—SKI;150443
BIA£OSTOCKIE;KOLNE—SKI;63656
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);94457
BIA£OSTOCKIE;OSTRO£ CKI;73836
BIA£OSTOCKIE;SEJNE—SKI;19704
BIA£OSTOCKIE;SOK”LSKI;90264
BIA£OSTOCKIE;SUWALSKI;70412
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);58178
BIA£OSTOCKIE;WO£KOWYSKI;115261
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;70975
BIA£OSTOCKIE;£OMØY—SKI;101865
KIELECKIE;B DZI—SKI;386432
KIELECKIE;CZ STOCHOWSKI;234892
KIELECKIE;I£ØECKI;137240
KIELECKIE;J DRZEJOWSKI;100319
KIELECKIE;KIELECKI;179866
KIELECKIE;KONECKI;144956
KIELECKIE;KOZIENICKI;124257
KIELECKIE;MIECHOWSKI;149358
KIELECKIE;OLKUSKI;136239
KIELECKIE;OPATOWSKI;162600
KIELECKIE;OPOCZY—SKI;122571
KIELECKIE;PI—CZOWSKI;120402
KIELECKIE;RADOMSKI;193439
KIELECKIE;SANDOMIERSKI;111863
KIELECKIE;STOPNICKI;140624
KIELECKIE;W£OSZCZOWSKI;90723
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);81131
KRAKOWSKIE;BOCHE—SKI;108375
KRAKOWSKIE;BRZESKI (BRZESKO);96197
KRAKOWSKIE;CHRZANOWSKI;116668
KRAKOWSKIE;D•BROWSKI;63717
KRAKOWSKIE;GORLICKI;78089
KRAKOWSKIE;GRYBOWSKI;51932
KRAKOWSKIE;JASIELSKI;85253
KRAKOWSKIE;KRAKOWSKI;66138
KRAKOWSKIE;KRAK”W (MIASTO);183706
KRAKOWSKIE;LIMANOWSKI;78126
KRAKOWSKIE;MIELECKI;72840
KRAKOWSKIE;MYåLENICKI;88766
KRAKOWSKIE;NOWOS•DECKI;130792
KRAKOWSKIE;NOWOTARSKI;78461
KRAKOWSKIE;OåWI CIMSKI;51931
KRAKOWSKIE;PILZNE—SKI;47355
KRAKOWSKIE;PODG”RSKI;39828
KRAKOWSKIE;ROPCZYCKI;75920
KRAKOWSKIE;SPISKO-ORAWSKI;22643
KRAKOWSKIE;TARNOWSKI;108365
KRAKOWSKIE;WADOWICKI;88646
KRAKOWSKIE;WIELICKI;68084
KRAKOWSKIE;ØYWIECKI;109847
LUBELSKIE;BIALSKI (BIA£A PODLASKA);59520
LUBELSKIE;BI£GORAJSKI;91016
LUBELSKIE;CHE£MSKI;121475
LUBELSKIE;GARWOLI—SKI;137777
LUBELSKIE;HRUBIESZOWSKI;103841
LUBELSKIE;JANOWSKI;131502
LUBELSKIE;KONSTANTYNOWSKI;65055
LUBELSKIE;KRASNOSTAWSKI;117080
LUBELSKIE;LUBARTOWSKI;96243
LUBELSKIE;LUBELSKI;139900
