District;Total population
AUGUSTOWSKI;62384
BIAŁOSTOCKI;110918
BIELSKI (BIELSK PODLASKI);141127
GRODZIEŃSKI;145585
ŁOMŻYŃSKI;145854
OSTROŁĘCKI;93503
OSTROWSKI (OSTRÓW MAZOWIECKA);87677
SOKÓLSKI;89308
SUWALSKI;90116
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);58178
WOŁKOWYSKI;115261
WYSOKOMAZOWIECKI;77755
BIAŁYSTOK (MIASTO);76792
BĘDZIŃSKI;188777
CZĘSTOCHOWSKI;145738
IŁŻECKI;137080
JĘDRZEJOWSKI;100319
KIELECKI;179866
KONECKI;145628
KOZIENICKI;124257
MIECHOWSKI;149358
OLKUSKI;136239
OPATOWSKI;162877
OPOCZYŃSKI;118377
PIŃCZOWSKI;120402
RADOMSKI;131840
SANDOMIERSKI;111863
STOPNICKI;140624
WŁOSZCZOWSKI;94245
ZAWIERCIAŃSKI;111418
CZĘSTOCHOWA (MIASTO);88894
SOSNOWIEC;86497
RADOM (MIASTO);61599
BIALSKI (BIAŁA KRAKOWSKA);0
BOCHEŃSKI;0
BRZESKI (BRZESKO);0
CHRZANOWSKI;0
DĄBROWSKI;0
GORLICKI;0
JASIELSKI;0
KRAKOWSKI;0
KRAKÓW (MIASTO);0
LIMANOWSKI;0
MIELECKI;0
MYŚLENICKI;0
NOWOSĄDECKI;0
NOWOTARSKI;0
ROPCZYCKI;0
TARNOWSKI;0
WADOWICKI;0
ŻYWIECKI;0
BIALSKI (BIAŁA PODLASKA);84599
BIŁGORAJSKI;99588
CHEŁMSKI;121475
GARWOLIŃSKI;145269
HRUBIESZOWSKI;103810
JANOWSKI;131502
KRASNOSTAWSKI;117080
LUBARTOWSKI;96474
LUBELSKI;139548
ŁUKOWSKI;115781
PUŁAWSKI;148894
RADZYŃSKI;88381
SIEDLECKI;133189
SOKOŁOWSKI;75985
TOMASZOWSKI;97713
WĘGROWSKI;80684
WŁODAWSKI;82062
ZAMOJSKI;129169
LUBLIN (MIASTO);94543
BÓBRECKI;0
BRZOZOWSKI;0
DOBROMILSKI;0
DROHOBYCKI;0
GRÓDECKI;0
JAROSŁAWSKI;0
JAWOROWSKI;0
KOLBUSZOWSKI;0
KROŚNIEŃSKI;0
LESKI;0
LWOWSKI;0
LWÓW (MIASTO);
ŁAŃCUCKI;0
MOŚCISKI;0
NIŻAŃSKI;0
PRZEMYSKI;0
PRZEWORSKI;0
RAWSKI (RAWA RUSKA);0
RUDECKI;0
RZESZOWSKI;0
SAMBORSKI;0
SANOCKI;0
SOKALSKI;0
TARNOBRZESKI;0
ŻÓŁKIEWSKI;0
LUBACZOWSKI;0
TURCZAŃSKI;0
BRZEZIŃSKI;125029
KALISKI;180320
KOLSKI;112029
KONIŃSKI;195400
ŁASKI;149404
ŁĘCZYCKI;122175
ŁÓDZKI;110381
ŁÓDŹ (MIASTO);451974
PIOTRKOWSKI;197319
RADOMSZCZAŃSKI;169813
SIERADZKI;155425
TURECKI;102139
WIELUŃSKI;181361
POŁUDNIOWO-WARSZAWSKI;936713
PÓŁNOCNO-WARSZAWSKI;
PRASKO-WARSZAWSKI;
ŚRÓDMIEJSKO-WARSZAWSKI;
BARANOWICKI;119518
BRASŁAWSKI;124036
LIDZKI;148073
NIEŚWIESKI;101361
NOWOGRÓDZKI;109150
SŁONIMSKI;79209
STOŁPECKI;81476
WOŁOŻYŃSKI;90786
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);81238
BRZESKI (BRZEŚĆ N.BUG.);118850
DROHICKI;63083
KOBRYŃSKI;72005
KOSZYRSKI;64947
ŁUNINIECKI;81376
PIŃSKI;134359
PRUŻAŃSKI;68127
STOLIŃSKI;96094
IWACEWICKI;48586
BRODNICKI;
CHEŁMIŃSKI;
CHOJNICKI;
DZIAŁDOWSKI;
GRUDZIĄDZ (MIASTO);
GRUDZIĄDZKI;
KARTUSKI;
KOŚCIERSKI;
LUBAWSKI;
SĘPOLEŃSKI;
STAROGARDZKI;
ŚWIECKI;
TCZEWSKI;
TORUŃ (MIASTO);
TORUŃSKI;
TUCHOLSKI;
WĄBRZESKI;
MORSKI;
GDYNIA (MIASTO);
BYDGOSKI;
BYDGOSZCZ (MIASTO);
CHODZIESKI;
CZARNKOWSKI;
GNIEŹNIEŃSKI;
GOSTYŃSKI;
INOWROCŁAWSKI;
JAROCIŃSKI;
KĘPIŃSKI;
KOŚCIAŃSKI;
KROTOSZYŃSKI;
LESZCZYŃSKI;
MIĘDZYCHODZKI;
MOGILEŃSKI;
NOWOTOMYSKI;
OBORNICKI;
OSTROWSKI (OSTRÓW WIELKOPOLSKI);
POZNAŃ (MIASTO);
RAWICKI;
SZAMOTULSKI;
SZUBIŃSKI;
ŚREDZKI;
ŚREMSKI;
WĄGROWIECKI;
WOLSZTYŃSKI;
WRZESIŃSKI;
WYRZYSKI;
ŻNIŃSKI;
POZNAŃSKI;
GNIEZNO (MIASTO);
INOWROCŁAW (MIASTO);
DOLIŃSKI;
HORODEŃSKI;
KAŁUSKI;
KOŁOMYJSKI;
KOSOWSKI (KOSÓW HUCULSKI);
NADWÓRNIAŃSKI;
ROHATYŃSKI;
STANISŁAWOWSKI;
STRYJSKI;
ŚNIATYŃSKI;
TŁUMACKI;
ŻYDACZOWSKI;
BIELSKI (BIELSKO);
BIELSKO (MIASTO);
CIESZYŃSKI;
TARNOGÓRSKI;
KATOWICE (MIASTO);
KATOWICKI;
KRÓLEWSKA HUTA;
LUBLINIECKI;
PSZCZYŃSKI;
RYBNICKI;
ŚWIĘTOCHŁOWICKI;
BORSZCZOWSKI;
BRODZKI;
BRZEŻAŃSKI;
BUCZACKI;
CZORTKOWSKI;
KAMIONECKI;
PODHAJECKI;
PRZEMYŚLAŃSKI;
RADZIECHOWSKI;
SKAŁACKI;
TARNOPOLSKI;
TREMBOWELSKI;
ZALESZCZYCKI;
ZBARASKI;
ZBOROWSKI;
ZŁOCZOWSKI;
KOPYCZYNIECKI;
BŁOŃSKI;115594
CIECHANOWSKI;68398
GOSTYNIŃSKI;78291
GRÓJECKI;127058
KUTNOWSKI;99403
LIPNOWSKI;91911
ŁOWICKI;99026
MAKOWSKI (MAKÓW MAZOWIECKI);58115
MIŃSKI;97985
MŁAWSKI;88860
NIESZAWSKI;101987
PŁOCKI;111749
PŁOŃSKI;74466
PRZASNYCKI;56500
PUŁTUSKI;106511
RADZYMIŃSKI;72609
RAWSKI (RAWA MAZOWIECKA);83487
RYPIŃSKI;75081
SIERPECKI;72463
SKIERNIEWICKI;64942
SOCHACZEWSKI;62806
WARSZAWSKI;181585
WŁOCŁAWSKI;126059
DUBIEŃSKI;177083
HOROCHOWSKI;91631
KOWELSKI;170020
KRZEMIENIECKI;208873
LUBOMELSKI;56264
ŁUCKI;210123
RÓWIEŃSKI;203823
WŁODZIMIERSKI;101412
KOSTOPOLSKI;117950
ZDOŁBUNOWSKI;100390
SARNEŃSKI;131990
OSZMIAŃSKI;70021
ŚWIĘCIAŃSKI;118819
WILNO (MIASTO);128954
DZIŚNIEŃSKI;139569
WILEJSKI;103914
WILEŃSKO-TROCKI;159229
POSTAWSKI;83466
MOŁODECZAŃSKI;74907
