Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
BIAŁOSTOCKIE;AUGUSTOWSKI;539;15 500;2 765;10 148;7 604
BIAŁOSTOCKIE;BIAŁOSTOCKI;1 102;27 182;3 888;14 365;10 320
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);2 121;26 826;8 711;21 198;15 488
BIAŁOSTOCKIE;GRODZIEŃSKI;3 145;62 948;6 330;22 875;17 104
BIAŁOSTOCKIE;KOLNEŃSKI;2 054;16 655;2 223;7 382;8 226
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);2 716;21 682;2 093;12 090;7 537
BIAŁOSTOCKIE;OSTROŁĘCKI;2 114;22 570;1 781;5 458;9 244
BIAŁOSTOCKIE;SEJNEŃSKI;146;7 587;896;2 913;3 853
BIAŁOSTOCKIE;SOKÓLSKI;434;29 248;5 513;14 862;11 841
BIAŁOSTOCKIE;SUWALSKI;619;25 118;3 040;13 495;12 009
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);1 594;12 014;1 970;7 040;6 589
BIAŁOSTOCKIE;WOŁKOWYSKI;1 291;48 012;7 539;22 482;13 607
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;2 883;18 972;3 265;14 868;9 882
BIAŁOSTOCKIE;ŁOMŻYŃSKI;3 397;19 164;2 742;10 079;9 048
KIELECKIE;BĘDZIŃSKI;2 637;20 765;5 165;10 350;18 019
KIELECKIE;CZĘSTOCHOWSKI;2 979;26 366;6 770;15 050;20 659
KIELECKIE;IŁŻECKI;4 099;30 897;10 411;18 340;17 022
KIELECKIE;JĘDRZEJOWSKI;8 640;22 709;9 573;12 133;14 285
KIELECKIE;KIELECKI;3 039;25 579;5 262;11 322;13 286
KIELECKIE;KONECKI;1 610;15 804;3 800;8 454;10 260
KIELECKIE;KOZIENICKI;1 571;28 714;7 457;15 629;11 064
KIELECKIE;MIECHOWSKI;14 513;17 342;14 226;16 052;12 026
KIELECKIE;OLKUSKI;1 967;13 616;9 531;12 943;13 220
KIELECKIE;OPATOWSKI;7 142;21 629;13 898;19 423;12 440
KIELECKIE;OPOCZYŃSKI;3 006;28 651;4 772;13 186;15 045
KIELECKIE;PIŃCZOWSKI;7 496;17 408;8 493;9 688;10 603
KIELECKIE;RADOMSKI;5 565;36 454;8 277;20 681;18 443
KIELECKIE;SANDOMIERSKI;7 230;15 162;9 539;12 318;8 580
KIELECKIE;STOPNICKI;6 997;17 891;12 963;15 224;13 410
KIELECKIE;WŁOSZCZOWSKI;6 260;13 828;5 653;7 814;11 072
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);1 354;2 113;1 508;8 198;5 012
KRAKOWSKIE;BOCHEŃSKI;5 322;8 764;4 336;9 188;7 245
KRAKOWSKIE;BRZESKI (BRZESKO);8 007;7 649;6 592;9 725;9 700
KRAKOWSKIE;CHRZANOWSKI;1 027;6 429;2 556;6 243;7 077
KRAKOWSKIE;DĄBROWSKI;6 392;7 366;3 894;6 484;6 907
KRAKOWSKIE;GORLICKI;5 422;3 826;2 969;2 497;7 538
KRAKOWSKIE;GRYBOWSKI;5 092;3 112;2 562;7 872;4 742
KRAKOWSKIE;JASIELSKI;6 626;5 909;6 395;10 973;5 840
KRAKOWSKIE;KRAKOWSKI;4 979;10 044;3 677;10 460;7 577
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;
KRAKOWSKIE;LIMANOWSKI;3 286;3 964;4 116;10 053;6 580
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);3 203;4 761;3 300;13 563;6 536
KRAKOWSKIE;MIELECKI;6 295;12 852;5 353;8 883;9 227
KRAKOWSKIE;MYŚLENICKI;1 762;1 967;1 439;6 419;2 753
KRAKOWSKIE;NOWOSĄDECKI;4 895;4 224;8 115;8 795;9 158
KRAKOWSKIE;NOWOTARSKI;1 162;3 097;3 764;26 418;7 618
KRAKOWSKIE;OŚWIĘCIMSKI;1 215;3 772;2 465;5 681;3 633
KRAKOWSKIE;PILZNEŃSKI;3 949;3 916;4 326;7 466;4 162
KRAKOWSKIE;ROPCZYCKI;5 449;8 390;5 757;9 462;10 148
