Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
BIAŁOSTOCKIE;AUGUSTOWSKI;5 294;115 272;26 362;98 682;721 310
BIAŁOSTOCKIE;BIAŁOSTOCKI;8 106;188 405;22 606;122 008;1 081 134
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);19 193;158 219;76 891;117 407;1 881 605
BIAŁOSTOCKIE;GRODZIEŃSKI;28 529;496 217;51 831;147 104;1 694 668
BIAŁOSTOCKIE;KOLNEŃSKI;22 732;156 401;26 848;78 379;1 074 008
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);25 491;102 661;18 361;102 641;764 147
BIAŁOSTOCKIE;OSTROŁĘCKI;23 672;204 623;19 246;63 880;1 305 479
BIAŁOSTOCKIE;SEJNEŃSKI;1 488;69 353;9 950;31 461;212 958
BIAŁOSTOCKIE;SOKÓLSKI;3 968;191 224;43 360;86 345;857 028
BIAŁOSTOCKIE;SUWALSKI;6 879;222 802;29 144;141 682;1 140 926
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);20 661;125 769;19 708;68 288;699 875
BIAŁOSTOCKIE;WOŁKOWYSKI;8 867;395 630;55 585;150 186;1 798 522
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;31 544;166 277;33 039;105 620;892 874
BIAŁOSTOCKIE;ŁOMŻYŃSKI;36 726;199 032;51 469;79 093;1 229 430
KIELECKIE;BĘDZIŃSKI;20 277;130 515;53 862;115 564;1 469 701
KIELECKIE;CZĘSTOCHOWSKI;26 671;182 460;63 556;182 291;2 023 050
KIELECKIE;IŁŻECKI;27 103;274 083;106 705;185 858;2 035 923
KIELECKIE;JĘDRZEJOWSKI;64 043;173 185;94 438;100 534;1 738 451
KIELECKIE;KIELECKI;18 369;229 428;49 140;81 519;1 586 479
KIELECKIE;KONECKI;14 060;107 050;35 825;72 373;993 124
KIELECKIE;KOZIENICKI;14 395;192 626;68 850;140 495;1 480 344
KIELECKIE;MIECHOWSKI;143 087;164 110;156 887;163 210;1 323 763
KIELECKIE;OLKUSKI;20 251;134 475;108 666;174 681;1 188 121
KIELECKIE;OPATOWSKI;49 834;192 370;164 164;220 483;1 992 712
KIELECKIE;OPOCZYŃSKI;22 496;247 104;44 873;139 383;1 802 980
KIELECKIE;PIŃCZOWSKI;46 942;118 949;68 430;58 667;972 379
KIELECKIE;RADOMSKI;43 068;362 015;91 545;179 971;2 401 856
KIELECKIE;SANDOMIERSKI;41 420;111 084;77 851;89 647;1 184 283
KIELECKIE;STOPNICKI;27 330;94 099;76 968;65 949;1 407 204
KIELECKIE;WŁOSZCZOWSKI;55 972;109 886;67 295;89 639;1 086 764
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);9 701;12 159;12 788;94 020;255 612
KRAKOWSKIE;BOCHEŃSKI;24 133;48 275;29 361;71 562;590 310
KRAKOWSKIE;BRZESKI (BRZESKO);39 869;28 255;47 913;64 511;1 035 450
KRAKOWSKIE;CHRZANOWSKI;5 393;35 923;23 588;76 269;559 879
KRAKOWSKIE;DĄBROWSKI;28 777;37 187;23 127;29 759;712 455
KRAKOWSKIE;GORLICKI;16 376;9 458;19 172;18 470;815 410
KRAKOWSKIE;GRYBOWSKI;13 248;7 022;33 619;85 416;261 878
KRAKOWSKIE;JASIELSKI;28 553;24 653;47 983;106 438;711 455
KRAKOWSKIE;KRAKOWSKI;44 372;72 819;41 811;109 364;448 076
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;
KRAKOWSKIE;LIMANOWSKI;10 633;19 696;27 742;112 852;385 690
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);8 478;17 572;28 804;114 516;403 155
KRAKOWSKIE;MIELECKI;32 364;76 791;34 258;56 849;953 579
KRAKOWSKIE;MYŚLENICKI;10 640;10 102;10 154;50 900;158 520
KRAKOWSKIE;NOWOSĄDECKI;30 630;24 667;54 699;78 495;803 013
KRAKOWSKIE;NOWOTARSKI;3 954;14 623;44 173;148 389;690 036
KRAKOWSKIE;OŚWIĘCIMSKI;9 626;14 343;14 192;45 822;213 308
KRAKOWSKIE;PILZNEŃSKI;12 417;15 632;38 288;59 742;412 566
KRAKOWSKIE;ROPCZYCKI;28 051;34 047;41 829;62 415;1 186 512
KRAKOWSKIE;SPISKO-ORAWSKI;325;2 873;27 008;86 310;308 620
KRAKOWSKIE;TARNOWSKI;28 222;42 513;16 008;60 134;482 118
KRAKOWSKIE;WADOWICKI;20 442;23 617;21 787;96 409;432 215
KRAKOWSKIE;WIELICKI;24 801;21 963;47 108;45 569;139 910
KRAKOWSKIE;ŻYWIECKI;1 243;5 682;19 788;87 566;435 617
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);10 332;136 646;27 879;64 692;1 141 109
LUBELSKIE;BIŁGORAJSKI;28 107;104 933;39 017;68 013;598 420
LUBELSKIE;CHEŁMSKI;185 496;261 179;89 211;173 529;1 614 652
LUBELSKIE;GARWOLIŃSKI;52 043;161 837;63 219;136 997;2 196 780
LUBELSKIE;HRUBIESZOWSKI;100 569;94 712;44 944;88 492;1 188 694
LUBELSKIE;JANOWSKI;52 904;96 445;78 154;171 079;1 714 582
LUBELSKIE;KONSTANTYNOWSKI;15 749;164 123;44 274;113 579;1 597 121
LUBELSKIE;KRASNOSTAWSKI;183 244;136 026;105 975;217 906;1 186 370
LUBELSKIE;LUBARTOWSKI;29 908;204 891;45 892;134 372;1 415 772
LUBELSKIE;LUBELSKI;140 409;227 855;139 787;224 121;2 276 285
LUBELSKIE;PUŁAWSKI;39 878;186 121;115 937;119 788;1 731 240
LUBELSKIE;RADZYŃSKI;33 198;154 035;25 325;165 797;1 765 260
LUBELSKIE;SIEDLECKI;21 096;179 285;26 537;86 152;1 570 593
LUBELSKIE;SOKOŁOWSKI;45 623;118 320;23 705;73 860;1 143 222
LUBELSKIE;TOMASZOWSKI;95 040;104 354;93 591;145 422;1 139 703
LUBELSKIE;WĘGROWSKI;15 318;94 160;29 425;98 938;905 763
LUBELSKIE;WŁODAWSKI;31 754;246 047;43 748;152 204;1 911 040
LUBELSKIE;ZAMOJSKI;129 171;169 746;102 274;226 589;1 136 172
LUBELSKIE;ŁUKOWSKI;36 523;229 567;69 500;223 866;1 885 200
LWOWSKIE;BRZOZOWSKI;9 281;27 378;30 149;35 740;1 207 283
LWOWSKIE;BÓBRECKI;33 432;34 050;22 308;40 556;811 352
LWOWSKIE;DOBROMILSKI;20 101;28 627;10 729;30 740;404 743
LWOWSKIE;DROHOBYCKI;9 469;23 421;15 066;41 419;900 432
LWOWSKIE;GRÓDECKI;26 716;24 500;46 708;37 893;681 200
LWOWSKIE;JAROSŁAWSKI;33 446;65 027;69 900;160 142;937 989
LWOWSKIE;JAWOROWSKI;15 014;40 665;21 718;38 644;301 699
LWOWSKIE;KOLBUSZOWSKI;12 526;58 751;19 786;60 343;580 252
LWOWSKIE;KROŚNIEŃSKI;15 938;19 040;52 241;77 271;871 855
LWOWSKIE;LESKI;14 095;17 253;12 696;224 531;497 590
