Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Białostocka;AUGUSTOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;28.0;3.0;222.0;48.0
Poleska;BARANOWICKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;12.0;2.0;10.0;1.0;72.0;4.0;292.0;136.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0.0;0.0;7.0;0.0;10.0;0.0;46.0;0.0;30.0;0.0;38.0;0.0;94.0;3.0;904.0;25.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;9.0;0.0;37.0;1.0;633.0;18.0
Białostocka;BIAŁOSTOCKI;1.0;0.0;4.0;0.0;15.0;0.0;71.0;0.0;74.0;4.0;60.0;5.0;178.0;3.0;1426.0;83.0
Białostocka;BIELSKI (BIELSK PODLASKI);0.0;1.0;2.0;0.0;2.0;0.0;12.0;1.0;16.0;0.0;19.0;5.0;72.0;4.0;691.0;99.0
;BIELSKI (BIELSKO);;;;;;;;;;;;;;;;
Śląska;BIELSKO (MIASTO);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lubelska;BIŁGORAJSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;0.0;32.0;3.0;574.0;59.0
Krakowska;BOCHEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;0.0;8.0;1.0;30.0;1.0;409.0;17.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;5.0;1.0;36.0;0.0;497.0;20.0
Lwowska;BORSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;12.0;0.0;19.0;1.0;576.0;30.0
Wileńska;BRASŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;14.0;0.0;199.0;65.0
Pomorska;BRODNICKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;19.0;0.0;24.0;0.0;48.0;2.0;394.0;39.0
Lwowska;BRODZKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;23.0;1.0;39.0;3.0;91.0;2.0;544.0;21.0
Krakowska;BRZESKI (BRZESKO);2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;8.0;0.0;8.0;0.0;283.0;6.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;13.0;2.0;28.0;5.0;56.0;9.0;472.0;125.0
Łódzka;BRZEZIŃSKI;1.0;0.0;4.0;0.0;10.0;0.0;15.0;0.0;42.0;0.0;148.0;2.0;1042.0;160.0;1286.0;162.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;2.0;4.0;3.0;13.0;0.0;235.0;15.0
Lwowska;BRZOZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;16.0;0.0;33.0;0.0;352.0;5.0
Lwowska;BUCZACKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;14.0;0.0;52.0;2.0;399.0;25.0
;BYDGOSKI;;;;;;;;;;;;;;;;
Wielkopolska;BYDGOSZCZ (MIASTO);1.0;0.0;2.0;0.0;14.0;0.0;106.0;0.0;105.0;0.0;128.0;5.0;134.0;9.0;1337.0;80.0
Lwowska;BÓBRECKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;1.0;27.0;1.0;56.0;0.0;299.0;11.0
Kielecka;BĘDZIŃSKI;4.0;0.0;8.0;0.0;10.0;0.0;40.0;2.0;76.0;3.0;65.0;4.0;131.0;8.0;2177.0;1019.0
Warrszawa Okręgowa;BŁOŃSKI;2.0;0.0;1.0;0.0;1.0;0.0;18.0;0.0;15.0;0.0;38.0;3.0;54.0;5.0;395.0;33.0
Pomorska;CHEŁMIŃSKI;1.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;10.0;1.0;18.0;0.0;49.0;2.0;336.0;17.0
Lubelska;CHEŁMSKI;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;20.0;0.0;31.0;7.0;205.0;9.0;713.0;87.0
Wielkopolska;CHODZIESKI;0.0;0.0;0.0;0.0;6.0;0.0;5.0;1.0;14.0;2.0;36.0;3.0;48.0;3.0;454.0;39.0
Pomorska;CHOJNICKI;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;21.0;0.0;39.0;1.0;59.0;0.0;509.0;29.0
Krakowska;CHRZANOWSKI;5.0;0.0;3.0;0.0;5.0;0.0;22.0;0.0;49.0;2.0;21.0;0.0;56.0;1.0;1009.0;30.0
Warrszawa Okręgowa;CIECHANOWSKI;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;11.0;0.0;74.0;0.0;414.0;23.0
Śląska;CIESZYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wielkopolska;CZARNKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;12.0;0.0;14.0;0.0;25.0;0.0;349.0;20.0
Lwowska;CZORTKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;14.0;0.0;33.0;0.0;360.0;17.0
Kielecka;CZĘSTOCHOWSKI;9.0;0.0;5.0;0.0;12.0;0.0;43.0;0.0;66.0;6.0;108.0;4.0;228.0;16.0;1637.0;212.0
Lwowska;DOBROMILSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;0.0;13.0;0.0;14.0;4.0;205.0;7.0
Lwowska;DOLIŃSKI;0.0;0.0;2.0;0.0;3.0;0.0;8.0;0.0;13.0;0.0;13.0;0.0;66.0;0.0;539.0;14.0
Poleska;DROHICKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;9.0;0.0;43.0;2.0;296.0;12.0
Lwowska;DROHOBYCKI;3.0;0.0;3.0;0.0;5.0;0.0;25.0;0.0;39.0;2.0;224.0;4.0;43.0;7.0;810.0;53.0
Wołyńska;DUBIEŃSKI;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;33.0;0.0;163.0;2.0;214.0;8.0;350.0;98.0
Wileńska;DUNIŁOWICKI;0.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;29.0;0.0;28.0;0.0;86.0;12.0;256.0;59.0
Pomorska;DZIAŁDOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;1.0;0.0;32.0;2.0;14.0;1.0;172.0;10.0
Wileńska;DZIŚNIEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;10.0;0.0;21.0;2.0;63.0;5.0;411.0;75.0
Krakowska;DĄBROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;17.0;0.0;243.0;16.0
Lubelska;GARWOLIŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;0.0;40.0;0.0;123.0;3.0;598.0;46.0
Pomorska;GNIEWSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;13.0;0.0;15.0;0.0;10.0;0.0;242.0;14.0
Wielkopolska;GNIEZNO (MIASTO);3.0;0.0;1.0;0.0;1.0;0.0;13.0;0.0;21.0;0.0;25.0;0.0;67.0;0.0;446.0;27.0
;GNIEŹNIEŃSKI;;;;;;;;;;;;;;;;
Krakowska;GORLICKI;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;34.0;0.0;19.0;0.0;506.0;5.0
Warrszawa Okręgowa;GOSTYNIŃSKI;0.0;0.0;1.0;0.0;1.0;1.0;5.0;1.0;16.0;0.0;28.0;3.0;106.0;5.0;469.0;49.0
Wielkopolska;GOSTYŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;20.0;0.0;9.0;0.0;65.0;0.0;395.0;31.0
Białostocka;GRODZIEŃSKI;0.0;0.0;1.0;0.0;2.0;1.0;28.0;0.0;21.0;0.0;33.0;1.0;69.0;5.0;1352.0;162.0
Wielkopolska;GRODZISKI;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;14.0;0.0;28.0;1.0;50.0;0.0;448.0;37.0
Pomorska;GRUDZIĄDZ (MIASTO);1.0;0.0;1.0;0.0;4.0;0.0;18.0;1.0;28.0;2.0;35.0;0.0;107.0;7.0;766.0;72.0
;GRUDZIĄDZKI;;;;;;;;;;;;;;;;
Krakowska;GRYBOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;13.0;0.0;24.0;0.0;277.0;2.0
Lwowska;GRÓDECKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;13.0;1.0;14.0;1.0;203.0;27.0
Warrszawa Okręgowa;GRÓJECKI;0.0;0.0;1.0;0.0;0.0;0.0;11.0;0.0;16.0;0.0;55.0;0.0;202.0;1.0;677.0;10.0
Wołyńska;HOROCHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;3.0;48.0;1.0;78.0;5.0;281.0;47.0
Lwowska;HORODEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;24.0;1.0;408.0;10.0
Lubelska;HRUBIESZOWSKI;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;15.0;1.0;20.0;0.0;31.0;2.0;609.0;38.0
Wielkopolska;INOWROCŁAW (MIASTO);4.0;0.0;1.0;0.0;3.0;0.0;13.0;0.0;26.0;1.0;32.0;1.0;119.0;4.0;600.0;37.0
;INOWROCŁAWSKI;;;;;;;;;;;;;;;;
Kielecka;IŁŻECKI;0.0;0.0;2.0;0.0;2.0;0.0;5.0;0.0;7.0;1.0;25.0;0.0;86.0;2.0;399.0;34.0
Lubelska;JANOWSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;12.0;0.0;53.0;0.0;58.0;4.0;352.0;93.0
Wielkopolska;JAROCIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;8.0;0.0;28.0;0.0;68.0;2.0;322.0;24.0
Lwowska;JAROSŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;16.0;0.0;15.0;0.0;26.0;1.0;362.0;34.0
Krakowska;JASIELSKI;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;19.0;0.0;23.0;0.0;45.0;0.0;545.0;8.0
Lwowska;JAWOROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;16.0;0.0;28.0;0.0;314.0;16.0
Kielecka;JĘDRZEJOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;17.0;0.0;24.0;0.0;87.0;3.0;300.0;19.0
