Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
BIAŁOSTOCKIE;AUGUSTOWSKI;660;18 720;2 800;10 100;7 600
BIAŁOSTOCKIE;BIAŁOSTOCKI;1 180;29 260;4 240;15 800;11 800
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);2 120;31 160;8 600;18 500;14 600
BIAŁOSTOCKIE;GRODZIEŃSKI;3 140;68 020;6 700;25400;19 400
BIAŁOSTOCKIE;KOLNEŃSKI;2 250;18 190;2 200;7 300;8 500
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);2 700;21 900;2 100;12 100;7 500
BIAŁOSTOCKIE;OSTROŁĘCKI;2 580;22 320;1 300;5 300;9 100
BIAŁOSTOCKIE;SOKÓLSKI;470;29 330;5 400;15 000;12 300
BIAŁOSTOCKIE;SUWALSKI;800;32 550;3 800;16 500;17 500
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);1 730;13 970;2 000;7 100;6 600
BIAŁOSTOCKIE;WOŁKOWYSKI;1 330;48 530;8 000;22 200;14 400
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;2 870;20 570;3 300;13 500;9 800
BIAŁOSTOCKIE;ŁOMŻYŃSKI;3 480;22 250;2 700;10 200;9 400
KIELECKIE;BĘDZIŃSKI;2 710;22 940;5 300;10 700;19 100
KIELECKIE;CZĘSTOCHOWSKI;3 290;29 570;6 750;14 900;20 800
KIELECKIE;IŁŻECKI;4 190;33 330;10 600;18 500;17 400
KIELECKIE;JĘDRZEJOWSKI;9 270;25 490;9 720;12 500;15 200
KIELECKIE;KIELECKI;4 050;29 340;5 310;10 800;13 700
KIELECKIE;KONECKI;1 600;17 030;3 800;8 400;10 700
KIELECKIE;KOZIENICKI;1 700;31 710;7 500;15 400;11 500
KIELECKIE;MIECHOWSKI;14 670;17 300;14 000;16 200;12 400
KIELECKIE;OLKUSKI;2 030;17 470;9 590;12 700;12 600
KIELECKIE;OPATOWSKI;7 300;24 750;13 800;19 500;13 200
KIELECKIE;OPOCZYŃSKI;2 900;30 680;4 750;13 100;15 900
KIELECKIE;PIŃCZOWSKI;7 150;17 180;8 330;9 800;10 800
KIELECKIE;RADOMSKI;5 320;36 640;8 400;19 500;18 500
KIELECKIE;SANDOMIERSKI;7 340;16 340;9 900;12 700;9 400
KIELECKIE;STOPNICKI;7 000;19 900;12 800;14 800;13 500
KIELECKIE;WŁOSZCZOWSKI;5 970;14 270;5 700;7 600;11 500
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);1 290;3 500;1 540;8 100;4 900
KRAKOWSKIE;BOCHEŃSKI;5 100;10 980;4 300;9 200;7 300
KRAKOWSKIE;BRZESKI (BRZESKO);7 680;10 800;6 520;9 700;9 700
KRAKOWSKIE;CHRZANOWSKI;1 040;8 630;2 540;6 200;7 000
KRAKOWSKIE;DĄBROWSKI;6 410;8250;3 730;7 100;7 200
KRAKOWSKIE;GORLICKI;4 700;5 130;2 900;2 500;7 600
KRAKOWSKIE;GRYBOWSKI;5 540;3 550;2 610;8 300;4 900
KRAKOWSKIE;JASIELSKI;6 240;8 130;6 420;10 800;5 800
KRAKOWSKIE;KRAKOWSKI;4 910;11 200;3 600;10 600;7 500
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;
KRAKOWSKIE;LIMANOWSKI;3 620;6 110;4 000;10 000;6 200
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);2 700;5 310;3 530;14 200;6 800
KRAKOWSKIE;MIELECKI;6 100;13 600;5 260;8 900;9 100
KRAKOWSKIE;MYŚLENICKI;1 570;2 850;1 400;6 600;2 800
KRAKOWSKIE;NOWOSĄDECKI;5 270;8 170;7 800;8 500;9 100
KRAKOWSKIE;NOWOTARSKI;1 390;4 020;7 900;38 300;15 000
KRAKOWSKIE;OŚWIĘCIMSKI;1 300;5 500;2480;5 800;3 500
KRAKOWSKIE;PILZNEŃSKI;3 870;7 060;4 490;7 600;4 200
KRAKOWSKIE;ROPCZYCKI;5 340;10 330;5 600;9 300;9 900
KRAKOWSKIE;TARNOWSKI;5 360;8 610;2 730;11 000;6600
KRAKOWSKIE;WADOWICKI;3 560;7 700;3 000;10 600;7 800
KRAKOWSKIE;WIELICKI;3 760;5 120;4 900;4 500;1 900
KRAKOWSKIE;ŻYWIECKI;530;3 730;4 200;10 700;10 400
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);1 900;20 970;3 100;8 000;10 600
LUBELSKIE;BIŁGORAJSKI;6 240;15 950;5 700;11 300;7 700
LUBELSKIE;CHEŁMSKI;21 210;25 780;7 700;14 400;14 000
LUBELSKIE;GARWOLIŃSKI;5 100;28 400;6 510;14 300;13 400
LUBELSKIE;HRUBIESZOWSKI;14 010;11 900;6 770;14 900;8 700
LUBELSKIE;JANOWSKI;8 210;19 540;9 130;20 400;14 400
LUBELSKIE;KONSTANTYNOWSKI;2 020;22 000;4 700;12 500;12 000
LUBELSKIE;KRASNOSTAWSKI;16 650;14 700;8 200;18 600;9 800
LUBELSKIE;LUBARTOWSKI;3 800;29 900;4 440;11 900;9 700
LUBELSKIE;LUBELSKI;14 600;31 450;12 100;24 100;17 900
LUBELSKIE;PUŁAWSKI;5 810;23 020;11 050;13 400;13 900
LUBELSKIE;RADZYŃSKI;4 800;19 700;2 500;14 400;11 100
LUBELSKIE;SIEDLECKI;2 590;22 050;2 700;9 600;11 500
LUBELSKIE;SOKOŁOWSKI;6 180;20 600;3 400;10 500;10 900
LUBELSKIE;TOMASZOWSKI;11 020;14 300;8 200;14 800;5 900
LUBELSKIE;WĘGROWSKI;2 790;18 860;3 000;9 500;10 900
LUBELSKIE;WŁODAWSKI;4 070;30 500;4 500;14100;13 200
LUBELSKIE;ZAMOJSKI;12 350;17 100;6 840;14 900;9 900
LUBELSKIE;ŁUKOWSKI;3 470;32 790;5 640;18 100;14 200
LWOWSKIE;BRZOZOWSKI;2030;6 520;4 410;7 300;8 100
LWOWSKIE;BÓBRECKI;5 150;6 700;4240;7 500;8 000
LWOWSKIE;DOBROMILSKI;3 500;6 310;1 570;7 800;3 400
LWOWSKIE;DROHOBYCKI;3 610;6 000;3 390;11 100;8 000
LWOWSKIE;GRÓDECKI;4 780;5 500;5 470;7 100;6 800
LWOWSKIE;JAROSŁAWSKI;9 130;16 300;7 620;12 700;8 700
LWOWSKIE;JAWOROWSKI;3 180;10 200;3 680;8 800;5 000
LWOWSKIE;KOLBUSZOWSKI;3 300;17 300;3 800;9 200;6 500
LWOWSKIE;KROŚNIEŃSKI;4 850;7 900;6 080;9 000;8 000
LWOWSKIE;LESKI;3 140;5 280;1 860;31 500;7 100
LWOWSKIE;LUBACZOWSKI;6 310;12 000;4 640;9 900;7 800
LWOWSKIE;LWOWSKI;9 120;9 600;7 150;15 400;10 200
LWOWSKIE;LWÓW (MIASTO);;;;;
LWOWSKIE;MOŚCISKI;5 070;6 700;3 630;8 200;5 500
LWOWSKIE;NIŻAŃSKI;3 400;11 200;4 050;6 600;4 500
LWOWSKIE;PRZEMYSKI;12 040;10 900;3 500;10 200;7 800
LWOWSKIE;PRZEWORSKI;3 300;5 800;3 250;2 900;2 900
LWOWSKIE;RAWSKI (RAWA RUSKA);9 530;10 300;7 340;10 800;7 100
LWOWSKIE;RUDECKI;2 870;3 200;4 200;6 500;4 900
LWOWSKIE;RZESZOWSKI;7 200;16 100;7 170;12 700;8 200
LWOWSKIE;SAMBORSKI;6 870;9 600;7 500;9 400;5 500
LWOWSKIE;SANOCKI;5 000;8 000;4 720;17 800;10 400
LWOWSKIE;SOKALSKI;16 740;10 100;6 800;9 800;9 100
LWOWSKIE;STAROSAMBORSKI;4 460;7 700;1 670;9 700;3 900
LWOWSKIE;STRZYŻOWSKI;6 470;8 760;3 370;7 100;4 200
LWOWSKIE;TARNOBRZESKI;2 650;8 120;4 420;4 000;4 300
LWOWSKIE;ŁAŃCUCKI;6 520;10 030;3 990;8 000;4 900
LWOWSKIE;ŻÓŁKIEWSKI;6 520;9 000;4 000;6 800;6 400
M. ST. WARSZAWA;M. ST. WARSZAWA;;;;;
NOWOGRÓDZKIE;BARANOWICKI;810;11 630;2 900;5 700;3 800
NOWOGRÓDZKIE;LIDZKI;760;69 100;9 600;29 400;13 700
NOWOGRÓDZKIE;NIEŚWIESKI;690;18 650;2 700;8 200;5 100
NOWOGRÓDZKIE;NOWOGRÓDZKI;1 780;29 090;4 310;10 100;6 500
NOWOGRÓDZKIE;STOŁPECKI;960;23 800;3 200;12 400;6 300
NOWOGRÓDZKIE;SŁONIMSKI;1 260;31 420;3 800;11 500;7 700
NOWOGRÓDZKIE;WOŁOŻYŃSKI;720;50 230;11 000;24 900;12 900
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);2 000;38 480;3 900;16 600;12 900
POLESKIE;DROHICKI;670;11 710;1 200;7 000;4 200
POLESKIE;KOBRYŃSKI;640;22 260;1 700;8 300;6 800
POLESKIE;KOSOWSKI (KOSÓW POLESKI);710;31 470;3 900;12 100;9 100
POLESKIE;KOSZYRSKI;660;3 850;1 100;2 200;1 900
POLESKIE;PIŃSKI;410;24 390;2 800;7 500;8 000
POLESKIE;PRUŻAŃSKI;600;22 210;2 100;8 700;5 900
POLESKIE;SARNEŃSKI;900;12 950;3 700;6 500;5 700
POLESKIE;STOLIŃSKI;280;8 520;1 300;3 000;1 300
POLESKIE;ŁUNINIECKI;230;17 460;2 200;5 000;5 300
POMORSKIE;BRODNICKI;1 940;23 410;3 590;2 700;9 600
POMORSKIE;CHEŁMIŃSKI;4 310;12 080;4 560;3 600;6 200
POMORSKIE;CHOJNICKI;1 040;26 240;1 420;5 500;9 000
POMORSKIE;DZIAŁDOWSKI;170;9 870;1 050;1 900;4 800
POMORSKIE;GNIEWSKI;2 510;5 220;2 260;2 600;3 700
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;
POMORSKIE;GRUDZIĄDZKI;4 040;13 160;4 030;5 500;6 100
POMORSKIE;KARTUSKI;680;18 710;1 050;10 300;10 300
POMORSKIE;KOŚCIERSKI;690;20 470;920;6 100;9 800
