Region;District;Buraki Cukrowe - przeciętny zbiór (q z ha)
BIAŁOSTOCKIE;AUGUSTOWSKI;
BIAŁOSTOCKIE;BIAŁOSTOCKI;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);
BIAŁOSTOCKIE;GRODZIEŃSKI;
BIAŁOSTOCKIE;KOLNEŃSKI;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);42
BIAŁOSTOCKIE;OSTROŁĘCKI;175
BIAŁOSTOCKIE;SOKÓLSKI;
BIAŁOSTOCKIE;SUWALSKI;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);
BIAŁOSTOCKIE;WOŁKOWYSKI;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;
BIAŁOSTOCKIE;ŁOMŻYŃSKI;
KIELECKIE;BĘDZIŃSKI;
KIELECKIE;CZĘSTOCHOWSKI;34
KIELECKIE;IŁŻECKI;257
KIELECKIE;JĘDRZEJOWSKI;
KIELECKIE;KIELECKI;
KIELECKIE;KONECKI;
KIELECKIE;KOZIENICKI;981
KIELECKIE;MIECHOWSKI;1 439
KIELECKIE;OLKUSKI;
KIELECKIE;OPATOWSKI;1 169
KIELECKIE;OPOCZYŃSKI;
KIELECKIE;PIŃCZOWSKI;2 273
KIELECKIE;RADOMSKI;67
KIELECKIE;SANDOMIERSKI;941
KIELECKIE;STOPNICKI;216
KIELECKIE;WŁOSZCZOWSKI;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);
KRAKOWSKIE;BOCHEŃSKI;
KRAKOWSKIE;BRZESKI (BRZESKO);
KRAKOWSKIE;CHRZANOWSKI;
KRAKOWSKIE;DĄBROWSKI;46
KRAKOWSKIE;GORLICKI;
KRAKOWSKIE;GRYBOWSKI;
KRAKOWSKIE;JASIELSKI;
KRAKOWSKIE;KRAKOWSKI;1 631
KRAKOWSKIE;KRAKÓW (MIASTO);
KRAKOWSKIE;LIMANOWSKI;
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);
KRAKOWSKIE;MIELECKI;74
KRAKOWSKIE;MYŚLENICKI;
KRAKOWSKIE;NOWOSĄDECKI;
KRAKOWSKIE;NOWOTARSKI;
KRAKOWSKIE;OŚWIĘCIMSKI;
KRAKOWSKIE;PILZNEŃSKI;
KRAKOWSKIE;ROPCZYCKI;132
KRAKOWSKIE;TARNOWSKI;98
KRAKOWSKIE;WADOWICKI;
KRAKOWSKIE;WIELICKI;
KRAKOWSKIE;ŻYWIECKI;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);32
LUBELSKIE;BIŁGORAJSKI;
LUBELSKIE;CHEŁMSKI;591
LUBELSKIE;GARWOLIŃSKI;418
LUBELSKIE;HRUBIESZOWSKI;2 943
LUBELSKIE;JANOWSKI;925
LUBELSKIE;KONSTANTYNOWSKI;70
LUBELSKIE;KRASNOSTAWSKI;1 222
LUBELSKIE;LUBARTOWSKI;305
LUBELSKIE;LUBELSKI;4 441
LUBELSKIE;PUŁAWSKI;1 241
LUBELSKIE;RADZYŃSKI;224
LUBELSKIE;SIEDLECKI;
LUBELSKIE;SOKOŁOWSKI;525
LUBELSKIE;TOMASZOWSKI;1 750
LUBELSKIE;WĘGROWSKI;
LUBELSKIE;WŁODAWSKI;54
LUBELSKIE;ZAMOJSKI;1 179
LUBELSKIE;ŁUKOWSKI;
LWOWSKIE;BRZOZOWSKI;106
LWOWSKIE;BÓBRECKI;533
LWOWSKIE;DOBROMILSKI;63
LWOWSKIE;DROHOBYCKI;
LWOWSKIE;GRÓDECKI;132
LWOWSKIE;JAROSŁAWSKI;2 313
LWOWSKIE;JAWOROWSKI;32
LWOWSKIE;KOLBUSZOWSKI;
LWOWSKIE;KROŚNIEŃSKI;
LWOWSKIE;LESKI;5
LWOWSKIE;LUBACZOWSKI;7
LWOWSKIE;LWOWSKI;153
LWOWSKIE;LWÓW (MIASTO);
LWOWSKIE;MOŚCISKI;215
LWOWSKIE;NIŻAŃSKI;41
LWOWSKIE;PRZEMYSKI;729
LWOWSKIE;PRZEWORSKI;1 221
LWOWSKIE;RAWSKI (RAWA RUSKA);306
LWOWSKIE;RUDECKI;156
LWOWSKIE;RZESZOWSKI;176
LWOWSKIE;SAMBORSKI;78
LWOWSKIE;SANOCKI;76
LWOWSKIE;SOKALSKI;485
LWOWSKIE;STAROSAMBORSKI;
LWOWSKIE;STRZYŻOWSKI;49
LWOWSKIE;TARNOBRZESKI;386
LWOWSKIE;ŁAŃCUCKI;325
LWOWSKIE;ŻÓŁKIEWSKI;6
M. ST. WARSZAWA;M. ST. WARSZAWA;
NOWOGRÓDZKIE;BARANOWICKI;
NOWOGRÓDZKIE;LIDZKI;
NOWOGRÓDZKIE;NIEŚWIESKI;
NOWOGRÓDZKIE;NOWOGRÓDZKI;
NOWOGRÓDZKIE;STOŁPECKI;
NOWOGRÓDZKIE;SŁONIMSKI;
NOWOGRÓDZKIE;WOŁOŻYŃSKI;
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);60
POLESKIE;DROHICKI;
POLESKIE;KOBRYŃSKI;
POLESKIE;KOSOWSKI (KOSÓW POLESKI);
POLESKIE;KOSZYRSKI;
POLESKIE;PIŃSKI;
POLESKIE;PRUŻAŃSKI;
POLESKIE;SARNEŃSKI;
POLESKIE;STOLIŃSKI;
POLESKIE;ŁUNINIECKI;
POMORSKIE;BRODNICKI;459
POMORSKIE;CHEŁMIŃSKI;3 790
POMORSKIE;CHOJNICKI;72
POMORSKIE;DZIAŁDOWSKI;11
POMORSKIE;GNIEWSKI;1 794
