Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Białostocka;AUGUSTOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;3.0;0.0;32.0;1.0;381.0;28.0
Poleska;BARANOWICKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;13.0;2.0;13.0;2.0;61.0;7.0;619.0;78.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0.0;0.0;6.0;0.0;6.0;0.0;40.0;0.0;38.0;0.0;29.0;0.0;93.0;2.0;914.0;42.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;25.0;2.0;623.0;40.0
Białostocka;BIAŁOSTOCKI;0.0;0.0;4.0;0.0;11.0;0.0;34.0;1.0;53.0;4.0;26.0;2.0;106.0;4.0;1413.0;110.0
Białostocka;BIELSKI (BIELSK PODLASKI);1.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;7.0;0.0;18.0;0.0;62.0;2.0;1030.0;85.0
;BIELSKI (BIELSKO);;;;;;;;;;;;;;;;
Śląska;BIELSKO (MIASTO);6.0;0.0;9.0;0.0;17.0;0.0;79.0;1.0;87.0;1.0;71.0;11.0;150.0;6.0;1001.0;51.0
Lubelska;BIŁGORAJSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;1.0;28.0;7.0;602.0;32.0
Krakowska;BOCHEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;10.0;0.0;7.0;1.0;26.0;1.0;406.0;14.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;7.0;3.0;25.0;2.0;385.0;25.0
Lwowska;BORSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;14.0;1.0;27.0;1.0;454.0;9.0
Wileńska;BRASŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;1.0;15.0;1.0;227.0;42.0
Pomorska;BRODNICKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;17.0;0.0;28.0;2.0;52.0;2.0;541.0;37.0
Lwowska;BRODZKI;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;12.0;1.0;34.0;3.0;53.0;2.0;509.0;13.0
Krakowska;BRZESKI (BRZESKO);2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;0.0;7.0;1.0;233.0;3.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;8.0;1.0;21.0;4.0;37.0;6.0;602.0;106.0
Łódzka;BRZEZIŃSKI;1.0;0.0;1.0;0.0;5.0;0.0;14.0;0.0;31.0;1.0;99.0;4.0;1101.0;71.0;1282.0;77.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.0;0.0;19.0;0.0;18.0;0.0;247.0;10.0
Lwowska;BRZOZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;21.0;1.0;16.0;0.0;273.0;8.0
