Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Białostocka;AUGUSTOWSKI;0.0;0.0;71.0;4.0;401.0;47.0;92.0;16.0;12.0;3.0;21.0;0.0
Poleska;BARANOWICKI;4.0;1.0;94.0;10.0;803.0;107.0;384.0;96.0;37.0;5.0;4.0;0.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);3.0;0.0;144.0;2.0;661.0;29.0;574.0;35.0;0.0;1.0;30.0;2.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;39.0;0.0;417.0;35.0;405.0;100.0;50.0;0.0;43.0;0.0
Białostocka;BIAŁOSTOCKI;15.0;0.0;426.0;26.0;2293.0;154.0;647.0;113.0;12.0;5.0;166.0;39.0
Białostocka;BIELSKI (BIELSK PODLASKI);1.0;0.0;116.0;10.0;1098.0;63.0;430.0;73.0;8.0;0.0;39.0;9.0
;BIELSKI (BIELSKO);;;;;;;;;;;;
Śląska;BIELSKO (MIASTO);0.0;0.0;521.0;11.0;832.0;41.0;451.0;35.0;3.0;0.0;51.0;0.0
Lubelska;BIŁGORAJSKI;0.0;0.0;40.0;1.0;667.0;47.0;416.0;45.0;24.0;2.0;36.0;13.0
Krakowska;BOCHEŃSKI;0.0;0.0;21.0;0.0;437.0;2.0;1105.0;42.0;0.0;0.0;1.0;0.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;8.0;0.0;268.0;11.0;225.0;17.0;0.0;0.0;8.0;0.0
Lwowska;BORSZCZOWSKI;0.0;0.0;7.0;1.0;305.0;5.0;747.0;41.0;0.0;0.0;0.0;0.0
Wileńska;BRASŁAWSKI;2.0;0.0;44.0;3.0;305.0;20.0;213.0;50.0;15.0;3.0;1.0;0.0
Pomorska;BRODNICKI;1.0;0.0;139.0;8.0;463.0;37.0;131.0;19.0;6.0;2.0;10.0;0.0
Lwowska;BRODZKI;1.0;2.0;26.0;3.0;393.0;6.0;847.0;62.0;0.0;3.0;27.0;19.0
Krakowska;BRZESKI (BRZESKO);0.0;0.0;23.0;1.0;278.0;5.0;696.0;14.0;5.0;1.0;4.0;3.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);2.0;0.0;100.0;10.0;574.0;55.0;550.0;113.0;1.0;2.0;1.0;1.0
Łódzka;BRZEZIŃSKI;4.0;0.0;104.0;2.0;1011.0;59.0;1368.0;197.0;10.0;3.0;32.0;19.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;16.0;0.0;484.0;20.0;509.0;38.0;0.0;0.0;8.0;0.0
