Region;District;Pszenica;Żyto;Jęczmień;Owies;Gryka;Proso;Kukurydza;Mieszanki zbóż na ziarno (jęczmień i owies);Mieszanki zbóż na ziarno (inne);Groch;Fasola, Bób, Soczewica;Peluszka, wyka, bobik;Łubin;Seradela;Koniczyna;Pozostałe pastawne oraz mieszanki;Ziemniaki;Buraki Cukrowe;Len;Konopie;Rzepak i rzepik ozimy i jary;Chmiel;Cykoria
BIAŁOSTOCKIE;AUGUSTOWSKI;1564.0;14500.0;3181.0;11125.0;774.0;0.0;0.0;61.0;90.0;1533.0;158.0;370.0;1481.0;121.0;960.0;404.0;6913.0;0.0;565.0;37.0;3.0;0.0;0.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;3055.0;27591.0;5185.0;10128.0;798.0;21.0;1.0;328.0;169.0;3442.0;165.0;1490.0;4545.0;2181.0;2253.0;884.0;15525.0;0.0;1496.0;162.0;175.0;1.0;0.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);6737.0;51043.0;6117.0;15366.0;1885.0;69.0;0.0;349.0;451.0;4915.0;97.0;3130.0;4646.0;2902.0;1404.0;727.0;17908.0;0.0;2147.0;120.0;126.0;1.0;0.0
BIAŁOSTOCKIE;GRODZIEŃSKI;3907.0;47465.0;9873.0;14107.0;2296.0;9.0;6.0;247.0;157.0;3377.0;168.0;595.0;7232.0;2313.0;3160.0;502.0;17176.0;0.0;1216.0;149.0;36.0;0.0;0.0
BIAŁOSTOCKIE;KOLNEŃSKI;2590.0;24018.0;2905.0;6383.0;1382.0;181.0;0.0;28.0;77.0;2607.0;0.0;483.0;1729.0;1093.0;553.0;620.0;12841.0;0.0;685.0;26.0;144.0;0.0;0.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);3267.0;25036.0;1996.0;4614.0;1445.0;104.0;0.0;324.0;281.0;1131.0;64.0;959.0;1882.0;2840.0;1666.0;180.0;8762.0;272.0;536.0;19.0;100.0;0.0;0.0
BIAŁOSTOCKIE;OSTROŁĘCKI;2890.0;22641.0;1820.0;3774.0;1557.0;571.0;0.0;158.0;190.0;1882.0;11.0;771.0;1962.0;2628.0;1058.0;108.0;11609.0;229.0;996.0;79.0;46.0;0.0;0.0
BIAŁOSTOCKIE;SOKÓLSKI;1094.0;33028.0;3708.0;13716.0;1116.0;10.0;4.0;108.0;98.0;2406.0;243.0;805.0;4351.0;1760.0;1406.0;562.0;10433.0;0.0;1217.0;112.0;98.0;0.0;0.0
BIAŁOSTOCKIE;SUWALSKI;1645.0;25735.0;4122.0;21684.0;750.0;1.0;0.0;151.0;142.0;3182.0;898.0;487.0;1256.0;516.0;2590.0;46.0;10046.0;0.0;1146.0;109.0;2.0;0.0;0.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);3134.0;18922.0;2646.0;8392.0;1315.0;63.0;0.0;475.0;219.0;2887.0;1.0;459.0;1714.0;878.0;824.0;120.0;8940.0;0.0;351.0;15.0;98.0;0.0;0.0
BIAŁOSTOCKIE;WOŁKOWYSKI;3927.0;57181.0;12480.0;20669.0;2910.0;3.0;0.0;193.0;361.0;2956.0;77.0;944.0;7096.0;3028.0;2655.0;310.0;21644.0;0.0;1512.0;288.0;21.0;0.0;0.0
