Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
BIAŁOSTOCKIE;AUGUSTOWSKI;20051.0;165032;38275;136011.0;734875.0;0.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;30222.0;293161;48971;97538.0;1624136.0;0.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);56018.0;472296;52042;139111.0;1243657.0;0.0
BIAŁOSTOCKIE;GRODZIEŃSKI;33767.0;449855;104556;132816.0;2033380.0;0.0
BIAŁOSTOCKIE;KOLNEŃSKI;28406.0;262885;43762;69356.0;1340651.0;0.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);33095.0;252185;20973;45435.0;789520.0;41285.0
BIAŁOSTOCKIE;OSTROŁĘCKI;31883.0;233048;21145;72852.0;869176.0;33860.0
BIAŁOSTOCKIE;SOKÓLSKI;13158.0;394514;42901;150015.0;1468990.0;0.0
BIAŁOSTOCKIE;SUWALSKI;17302.0;223648;40419;252489.0;997951.0;0.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);37010.0;201482;32658;110888.0;1073092.0;0.0
BIAŁOSTOCKIE;WOŁKOWYSKI;34879.0;495625;112602;151406.0;3560204.0;0.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;65564.0;301236;33984;106374.0;1015784.0;29025.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;56977.0;369705;27599;143728.0;1244949.0;0.0
KIELECKIE;BĘDZIŃSKI;4357.0;129460;14717;20045.0;615875.0;0.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;
KIELECKIE;CZĘSTOCHOWSKI;12854.0;434815;25174;73392.0;2155519.0;10998.0
KIELECKIE;IŁŻECKI;58209.0;411036;180919;304503.0;2173904.0;44764.0
KIELECKIE;JĘDRZEJOWSKI;124793.0;219748;88625;100089.0;1123735.0;0.0
KIELECKIE;KIELECKI;42029.0;300461;72968;75191.0;2692098.0;0.0
KIELECKIE;KONECKI;9126.0;246916;24345;44442.0;1718723.0;0.0
KIELECKIE;KOZIENICKI;32216.0;335983;110645;150836.0;1189162.0;152532.0
KIELECKIE;MIECHOWSKI;275749.0;299052;195008;212031.0;1639403.0;364430.0
KIELECKIE;OLKUSKI;59278.0;252635;90152;104370.0;1356164.0;0.0
KIELECKIE;OPATOWSKI;167194.0;333247;192995;377754.0;2113207.0;317660.0
KIELECKIE;OPOCZYŃSKI;22891.0;473937;50592;145833.0;1970690.0;0.0
KIELECKIE;PIŃCZOWSKI;173842.0;285219;162087;135862.0;1130471.0;646502.0
KIELECKIE;RADOMSKI;29768.0;530117;114942;182429.0;2457628.0;5904.0
KIELECKIE;SANDOMIERSKI;133566.0;210204;135495;162932.0;1678646.0;281528.0
KIELECKIE;SOSNOWIEC;;;;;;
KIELECKIE;STOPNICKI;104533.0;294466;102363;135856.0;1715073.0;82698.0
KIELECKIE;WŁOSZCZOWSKI;86688.0;247364;49722;79085.0;1321929.0;0.0
KIELECKIE;ZAWIERCIAŃSKI;8579.0;146454;24122;27185.0;994170.0;0.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);8228.0;69364;4252;98050.0;591588.0;0.0
KRAKOWSKIE;BOCHEŃSKI;82721.0;118480;40379;75869.0;822142.0;0.0
KRAKOWSKIE;BRZESKI (BRZESKO);77303.0;147690;51372;90797.0;990718.0;7650.0
KRAKOWSKIE;CHRZANOWSKI;10651.0;107420;8815;39228.0;447086.0;0.0
KRAKOWSKIE;DĄBROWSKI;62206.0;82173;25885;37999.0;422710.0;28772.0
KRAKOWSKIE;GORLICKI;79971.0;93994;41322;137487.0;610143.0;0.0
KRAKOWSKIE;GRYBOWSKI;29437.0;34941;16839;49484.0;410928.0;0.0
KRAKOWSKIE;JASIELSKI;37101.0;56496;24745;39031.0;401786.0;1331.0
KRAKOWSKIE;KRAKOWSKI;71071.0;141006;27082;90210.0;736300.0;253675.0
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;
KRAKOWSKIE;LIMANOWSKI;33833.0;42229;33363;97140.0;495473.0;0.0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);14086.0;49089;27915;101726.0;471432.0;0.0
KRAKOWSKIE;MIELECKI;51756.0;102200;36781;63445.0;692320.0;3972.0
KRAKOWSKIE;MYŚLENICKI;16472.0;33004;7724;39496.0;278938.0;0.0
KRAKOWSKIE;NOWOSĄDECKI;28722.0;58546;36256;77138.0;435551.0;0.0
KRAKOWSKIE;NOWOTARSKI;865.0;33993;62626;249582.0;1194817.0;0.0
KRAKOWSKIE;OŚWIĘCIMSKI;8370.0;61798;11482;50777.0;405716.0;0.0
KRAKOWSKIE;PILZNEŃSKI;30623.0;63699;14962;34617.0;517936.0;0.0
KRAKOWSKIE;ROPCZYCKI;50667.0;102050;35866;52570.0;584806.0;43660.0
KRAKOWSKIE;TARNOWSKI;76755.0;132438;38014;89184.0;827554.0;32896.0
KRAKOWSKIE;WADOWICKI;35378.0;121043;10048;117409.0;755236.0;0.0
KRAKOWSKIE;WIELICKI;49578.0;72152;16751;51339.0;405771.0;0.0
KRAKOWSKIE;ŻYWIECKI;7349.0;41786;23693;112784.0;487833.0;0.0
