Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Ogółem R;Ogółem PR;Handel jarmarczny - hurt R;Handel jarmarczny - hurt PR;Handel jarmarczny - detal R;Handel jarmarczny - detal PR;Karty rejestracyjne R;Karty rejestracyjne PR
Białostocka;AUGUSTOWSKI;2;0;2;0;1;0;0;0;5;0;0;0;0;0;108;6
Poleska;BARANOWICKI;0;0;8;2;3;2;1;0;12;4;0;0;0;0;178;0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0;0;29;3;4;0;16;2;49;5;0;0;0;0;128;0
Lubelska;BIALSKI (BIAŁA PODLASKA);0;0;8;0;0;0;0;0;8;0;0;0;0;0;52;1
Białostocka;BIAŁOSTOCKI;9;2;18;3;10;2;0;0;37;7;0;0;0;0;359;25
Białostocka;BIELSKI (BIELSK PODLASKI);0;0;6;1;0;0;1;0;7;1;0;0;0;0;83;5
Śląska;BIELSKI (BIELSKO);0;0;78;12;22;1;38;8;138;21;0;0;0;0;191;13
;BIELSKO (MIASTO);;;;;;;;;;;;;;;;
Lubelska;BIŁGORAJSKI;0;0;0;1;0;0;0;2;0;3;0;0;0;0;49;16
Krakowska;BOCHEŃSKI;0;0;11;0;0;0;1;0;12;0;0;0;0;0;13;4
Lwowska;BOHORODCZAŃSKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Lwowska;BORSZCZOWSKI;0;0;2;0;0;0;0;0;2;0;0;0;0;0;8;0
Wileńska;BRASŁAWSKI;0;0;0;2;0;0;0;0;0;2;0;0;0;0;153;18
Pomorska;BRODNICKI;0;0;21;1;8;0;4;2;33;3;0;0;0;0;36;2
Lwowska;BRODZKI;0;0;5;0;7;0;0;0;12;0;0;0;0;0;93;0
Krakowska;BRZESKI (BRZESKO);0;0;3;0;0;0;1;0;4;0;0;0;0;0;13;0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0;0;21;0;0;0;0;0;21;0;0;0;0;0;241;18
Łódzka;BRZEZIŃSKI;0;0;10;0;1;0;27;3;38;3;0;0;0;0;48;3
Lwowska;BRZEŻAŃSKI;0;0;1;2;2;0;0;0;3;2;0;0;0;0;28;0
Lwowska;BRZOZOWSKI;0;0;0;0;1;0;0;0;1;0;0;0;0;0;37;0
Lwowska;BUCZACKI;0;0;0;0;4;0;1;0;5;0;0;0;0;0;20;0
Wielkopolska;BYDGOSKI;0;0;1;0;2;0;1;0;4;0;0;0;0;0;14;0
Wielkopolska;BYDGOSZCZ (MIASTO);0;0;27;5;10;0;124;14;161;19;0;0;0;0;105;6
Lwowska;BÓBRECKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
Kielecka;BĘDZIŃSKI;0;0;27;1;7;0;33;3;67;4;0;0;0;0;309;2
Warszawa Okręgowa;BŁOŃSKI;0;0;3;1;0;0;0;0;3;1;0;0;0;0;55;0
Pomorska;CHEŁMIŃSKI;0;0;3;0;1;0;1;0;5;0;0;0;0;0;15;7
Lubelska;CHEŁMSKI;0;0;5;0;3;0;1;2;9;2;0;0;0;0;78;8
Wielkopolska;CHODZIESKI;0;0;1;0;0;0;1;0;2;0;0;0;0;0;42;0
Pomorska;CHOJNICKI;0;0;16;0;12;0;7;0;35;0;0;0;0;0;45;0
Krakowska;CHRZANOWSKI;0;0;21;0;0;1;2;0;23;1;0;0;0;0;45;1
Warszawa Okręgowa;CIECHANOWSKI;0;0;5;2;0;0;1;0;6;2;0;0;0;0;7;0
Śląska;CIESZYŃSKI;1;0;25;3;11;0;7;8;44;11;0;0;0;0;109;4
Wielkopolska;CZARNKOWSKI;0;0;6;0;0;0;0;0;6;0;0;0;0;0;21;3
Lwowska;CZORTKOWSKI;0;0;3;0;4;0;0;0;7;0;0;0;8;0;15;0
Kielecka;CZĘSTOCHOWSKI;0;0;20;0;4;0;11;1;35;1;0;0;0;0;229;3
Lwowska;DOBROMILSKI;0;0;1;0;0;0;0;0;1;0;33;0;0;0;14;0
Lwowska;DOLIŃSKI;0;0;0;0;0;0;1;0;1;0;0;0;0;0;34;2
Poleska;DROHICKI;0;0;6;0;0;0;1;0;7;0;0;0;0;0;65;6
Lwowska;DROHOBYCKI;0;0;4;0;3;0;0;0;7;0;0;0;0;0;145;1
Wołyńska;DUBIEŃSKI;0;0;10;0;2;0;0;0;12;0;0;0;0;0;146;14
Pomorska;DZIAŁDOWSKI;0;0;7;5;0;0;0;1;7;6;0;0;0;0;6;0
Wileńska;DZIŚNIEŃSKI;0;0;7;0;0;0;0;0;7;0;0;0;0;0;306;18
Krakowska;DĄBROWSKI;0;0;23;12;0;0;0;0;23;12;0;0;0;0;3;0
Lubelska;GARWOLIŃSKI;0;0;6;0;0;0;0;0;6;0;0;0;0;0;24;1
