Region;District;Powierzchnia lasów (ha)
BIAŁOSTOCKIE;AUGUSTOWSKI;80 122
BIAŁOSTOCKIE;BIAŁOSTOCKI;70 765
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);706
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);147 695
BIAŁOSTOCKIE;GRODZIEŃSKI;118 097
BIAŁOSTOCKIE;KOLNEŃSKI;29 880
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);38 649
BIAŁOSTOCKIE;OSTROŁĘCKI;34 010
BIAŁOSTOCKIE;SOKÓLSKI;41 912
BIAŁOSTOCKIE;SUWALSKI;42 758
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);27 067
BIAŁOSTOCKIE;WOŁKOWYSKI;76 811
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;15 220
BIAŁOSTOCKIE;ŁOMŻYŃSKI;35 630
KIELECKIE;BĘDZIŃSKI;9 091
KIELECKIE;CZĘSTOCHOWA (MIASTO);19
KIELECKIE;CZĘSTOCHOWSKI;49 507
KIELECKIE;IŁŻECKI;44 202
KIELECKIE;JĘDRZEJOWSKI;19 550
KIELECKIE;KIELECKI;66 441
KIELECKIE;KONECKI;76 255
KIELECKIE;KOZIENICKI;47 287
KIELECKIE;MIECHOWSKI;10 304
KIELECKIE;OLKUSKI;35 482
KIELECKIE;OPATOWSKI;31 276
KIELECKIE;OPOCZYŃSKI;43 547
KIELECKIE;PIŃCZOWSKI;10 361
KIELECKIE;RADOMSKI;22 584
KIELECKIE;SANDOMIERSKI;15 335
KIELECKIE;SOSNOWIEC;60
KIELECKIE;STOPNICKI;21 053
KIELECKIE;WŁOSZCZOWSKI;45 222
KIELECKIE;ZAWIERCIAŃSKI;24 463
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);12 221
KRAKOWSKIE;BOCHEŃSKI;21 753
KRAKOWSKIE;BRZESKI (BRZESKO);15 673
KRAKOWSKIE;CHRZANOWSKI;26 590
KRAKOWSKIE;DĄBROWSKI;5 850
KRAKOWSKIE;GORLICKI;17 441
KRAKOWSKIE;GRYBOWSKI;13 470
KRAKOWSKIE;JASIELSKI;18 743
KRAKOWSKIE;KRAKOWSKI;6 041
KRAKOWSKIE;KRAKÓW (MIASTO);50
KRAKOWSKIE;LIMANOWSKI;27 981
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);26 564
KRAKOWSKIE;MIELECKI;19 110
KRAKOWSKIE;MYŚLENICKI;15 376
KRAKOWSKIE;NOWOSĄDECKI;38 070
KRAKOWSKIE;NOWOTARSKI;45 898
KRAKOWSKIE;OŚWIĘCIMSKI;2 694
KRAKOWSKIE;PILZNEŃSKI;13 210
KRAKOWSKIE;ROPCZYCKI;14 089
KRAKOWSKIE;TARNOWSKI;10 968
KRAKOWSKIE;WADOWICKI;12 790
KRAKOWSKIE;WIELICKI;1 444
KRAKOWSKIE;ŻYWIECKI;36 887
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);23 108
LUBELSKIE;BIŁGORAJSKI;63 464
LUBELSKIE;CHEŁMSKI;24 768
LUBELSKIE;GARWOLIŃSKI;40 353
LUBELSKIE;HRUBIESZOWSKI;21 757
LUBELSKIE;JANOWSKI;52 747
LUBELSKIE;KONSTANTYNOWSKI;16 222
LUBELSKIE;KRASNOSTAWSKI;25 609
LUBELSKIE;LUBARTOWSKI;19 593
LUBELSKIE;LUBELSKI;20 291
LUBELSKIE;LUBLIN (MIASTO);0
LUBELSKIE;PUŁAWSKI;30 700
LUBELSKIE;RADZYŃSKI;29 264
LUBELSKIE;SIEDLECKI;18 225
LUBELSKIE;SOKOŁOWSKI;18 444
LUBELSKIE;TOMASZOWSKI;28 476
LUBELSKIE;WĘGROWSKI;22 908
LUBELSKIE;WŁODAWSKI;39 654
LUBELSKIE;ZAMOJSKI;55 590
LUBELSKIE;ŁUKOWSKI;27 162
LWOWSKIE;BRZOZOWSKI;14 646
LWOWSKIE;BÓBRECKI;21 063
LWOWSKIE;DOBROMILSKI;31 340
LWOWSKIE;DROHOBYCKI;48 244
LWOWSKIE;GRÓDECKI;25 122
LWOWSKIE;JAROSŁAWSKI;24 086
LWOWSKIE;JAWOROWSKI;23 215
LWOWSKIE;KOLBUSZOWSKI;24 841
LWOWSKIE;KROŚNIEŃSKI;14 354
LWOWSKIE;LESKI;68 488
LWOWSKIE;LUBACZOWSKI;34 752
LWOWSKIE;LWOWSKI;23 721
LWOWSKIE;LWÓW (MIASTO);128
LWOWSKIE;MOŚCISKI;11 439
LWOWSKIE;NIŻAŃSKI;41 244
LWOWSKIE;PRZEMYSKI;21 795
LWOWSKIE;PRZEWORSKI;4 029
LWOWSKIE;RAWSKI (RAWA RUSKA);28 965
LWOWSKIE;RUDECKI;7 217
LWOWSKIE;RZESZOWSKI;16 647
LWOWSKIE;SAMBORSKI;12 897
LWOWSKIE;SANOCKI;33 733
LWOWSKIE;SOKALSKI;26 386
LWOWSKIE;STAROSAMBORSKI;15 482
LWOWSKIE;STRZYŻOWSKI;10 295
LWOWSKIE;TARNOBRZESKI;30 978
LWOWSKIE;ŁAŃCUCKI;17 692
LWOWSKIE;ŻÓŁKIEWSKI;25 961
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;
NOWOGRÓDZKIE;BARANOWICKI;80 442
NOWOGRÓDZKIE;LIDZKI;52 646
NOWOGRÓDZKIE;NIEŚWIESKI;36 584
NOWOGRÓDZKIE;NOWOGRÓDZKI;55 016
NOWOGRÓDZKIE;STOŁPECKI;38 090
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);47 850
NOWOGRÓDZKIE;SŁONIMSKI;82 014
NOWOGRÓDZKIE;WOŁOŻYŃSKI;108 787
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);76 942
POLESKIE;DROHICKI;41 134
POLESKIE;KOBRYŃSKI;39 755
POLESKIE;KOSOWSKI (KOSÓW POLESKI);132 122
POLESKIE;KOSZYRSKI;73 331
POLESKIE;PIŃSKI;165 419
POLESKIE;PRUŻAŃSKI;35 278
POLESKIE;SARNEŃSKI;209 308
POLESKIE;STOLIŃSKI;167 064
POLESKIE;ŁUNINIECKI;212 674
POMORSKIE;BRODNICKI;24 959
POMORSKIE;CHEŁMIŃSKI;7 065
POMORSKIE;CHOJNICKI;75 731
POMORSKIE;DZIAŁDOWSKI;5 313
POMORSKIE;GDYNIA (MIASTO);3
POMORSKIE;GNIEWSKI;5 770
POMORSKIE;GRUDZIĄDZ (MIASTO);0
POMORSKIE;GRUDZIĄDZKI;7 226
POMORSKIE;KARTUSKI;30 849
POMORSKIE;KOŚCIERSKI;32 050
POMORSKIE;LUBAWSKI;14 424
POMORSKIE;MORSKI;40 678
POMORSKIE;STAROGARDZKI;33 063
POMORSKIE;SĘPOLEŃSKI;10 382
POMORSKIE;TCZEWSKI;4 370
POMORSKIE;TORUŃ (MIASTO);281
POMORSKIE;TORUŃSKI;13 847
POMORSKIE;TUCHOLSKI;34 395
POMORSKIE;WĄBRZESKI;7 442
POMORSKIE;ŚWIECKI;56 578
POZNAŃSKIE;BYDGOSKI;48 892
POZNAŃSKIE;BYDGOSZCZ (MIASTO);176
POZNAŃSKIE;CHODZIESKI;23 853
POZNAŃSKIE;CZARNKOWSKI;36 643
POZNAŃSKIE;GNIEZNO (MIASTO);522
POZNAŃSKIE;GNIEŹNIEŃSKI;8 626
POZNAŃSKIE;GOSTYŃSKI;7 380
POZNAŃSKIE;GRODZISKI;6 521
POZNAŃSKIE;INOWROCŁAW (MIASTO);0
POZNAŃSKIE;INOWROCŁAWSKI;19 750
POZNAŃSKIE;JAROCIŃSKI;11 536
POZNAŃSKIE;KOŚCIAŃSKI;6 363
POZNAŃSKIE;KOŹMIŃSKI;3 060
POZNAŃSKIE;KROTOSZYŃSKI;10 102
POZNAŃSKIE;KĘPIŃSKI;12 582
POZNAŃSKIE;LESZCZYŃSKI;15 279
POZNAŃSKIE;MIĘDZYCHODZKI;25 424
POZNAŃSKIE;MOGILEŃSKI;2 978
POZNAŃSKIE;NOWOTOMYSKI;25 136
POZNAŃSKIE;OBORNICKI;25 513
POZNAŃSKIE;ODOLANOWSKI;22 580
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);9 373
POZNAŃSKIE;OSTRZESZOWSKI;14 068
POZNAŃSKIE;PLESZEWSKI;5 035
POZNAŃSKIE;POZNAŃ (MIASTO);76
POZNAŃSKIE;POZNAŃSKI;15 010
POZNAŃSKIE;RAWICKI;5 943
POZNAŃSKIE;STRZELNEŃSKI;6 814
POZNAŃSKIE;SZAMOTULSKI;31 549
POZNAŃSKIE;SZUBIŃSKI;16 324
POZNAŃSKIE;WOLSZTYŃSKI;17 627
POZNAŃSKIE;WRZESIŃSKI;5 830
POZNAŃSKIE;WYRZYSKI;11 658
POZNAŃSKIE;WĄGROWIECKI;11 705
POZNAŃSKIE;ŚMIGIELSKI;6 970
POZNAŃSKIE;ŚREDZKI;8 257
POZNAŃSKIE;ŚREMSKI;17 118
POZNAŃSKIE;ŻNIŃSKI;8 596
STANISŁAWOWSKIE;BOHORODCZAŃSKI;33 639
STANISŁAWOWSKIE;DOLIŃSKI;150 373
STANISŁAWOWSKIE;HORODEŃSKI;5 953
STANISŁAWOWSKIE;KAŁUSKI;43 552
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);65 321
STANISŁAWOWSKIE;KOŁOMYJSKI;29 157
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;106 420
STANISŁAWOWSKIE;ROHATYŃSKI;20 203
STANISŁAWOWSKIE;SKOLSKI;60 100
STANISŁAWOWSKIE;STANISŁAWOWSKI;14 911
STANISŁAWOWSKIE;STRYJSKI;12 448
STANISŁAWOWSKIE;TURCZAŃSKI;41 569
STANISŁAWOWSKIE;TŁUMACKI;15 243
STANISŁAWOWSKIE;ŚNIATYŃSKI;3 749
STANISŁAWOWSKIE;ŻYDACZOWSKI;21 550
TARNOPOLSKIE;BORSZCZOWSKI;15 270
