Region;District;Polish;% Polish;Ukrainian;% Ukrainian;Ruthenian;% Ruthenian;Belarusian;% Belarusian;Russian;% Russian;German;% German;Jewish;% Jewish;Hebrew;% Hebrew;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
BIAŁOSTOCKIE;AUGUSTOWSKI;68674;0,918703429;38;0,000508354;26;0,000347821;104;0,001391286;1478;0,019772311;45;0,000601999;4140;0,055383874;91;0,001217375;155;0,002073551;6077;0,081296571
BIAŁOSTOCKIE;BIAŁOSTOCKI;116709;0,833171519;62;0,000442611;46;0,000328388;9632;0,06876169;1833;0,013085567;642;0,004583161;8710;0,062179643;2204;0,015734091;240;0,001713331;23369;0,166828481
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);46386;0,50917114;87;0,000954984;13;0,000142699;518;0,005685997;3263;0,035817389;1948;0,021382861;33487;0,367581036;5303;0,058210118;96;0,001053775;44715;0,49082886
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);111377;0,550254434;1777;0,008779211;302;0,001492021;57817;0,285643002;12539;0,06194852;85;0,00041994;16365;0,080850748;1896;0,009367126;252;0,001244998;91033;0,449745566
BIAŁOSTOCKIE;GRODZIEŃSKI;101089;0,474362404;151;0,000708571;60;0,000281551;63731;0,299059149;6101;0,02862908;153;0,000717956;31822;0,14932545;3532;0,016573989;6466;0,03034185;112016;0,525637596
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);85925;0,861481236;45;0,000451169;3;3,00779E-05;21;0,000210545;39;0,000391013;1391;0,01394612;10435;0,104620968;1792;0,017966533;90;0,000902337;13816;0,138518764
BIAŁOSTOCKIE;OSTROŁĘCKI;104341;0,926758862;50;0,000444101;2;0,000017764;14;0,000124348;35;0,000310871;5;4,44101E-05;7855;0,069768268;158;0,001403359;127;0,001128017;8246;0,073241138
BIAŁOSTOCKIE;SOKÓLSKI;92816;0,899946672;28;0,000271489;28;0,000271489;1606;0,015571823;501;0,004857711;3;2,90881E-05;6581;0,06380957;1552;0,015048238;20;0,000193921;10319;0,100053328
BIAŁOSTOCKIE;SUWALSKI;85707;0,778277215;207;0,001879699;263;0,002388217;36;0,000326904;6253;0,056781446;2627;0,023854927;6921;0,062847336;1105;0,010034143;7005;0,063610112;24417;0,221722785
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);60935;0,893278604;19;0,000278531;4;5,86381E-05;28;0,000410467;89;0,001304698;18;0,000263872;6011;0,088118449;899;0,01317892;212;0,003107821;7280;0,106721396
BIAŁOSTOCKIE;WOŁKOWYSKI;83111;0,485101589;63;0,000367718;22;0,000128409;71984;0,420155609;2839;0,016570651;59;0,000344371;10375;0,060556713;2707;0,015800195;167;0,000974744;88216;0,514898411
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;78881;0,885278835;31;0,000347912;2;2,24459E-05;52;0,000583594;96;0,001077405;15;0,000168345;8990;0,10089447;801;0,008989596;235;0,002637397;10222;0,114721165
BIAŁOSTOCKIE;ŁOMŻYŃSKI;146308;0,870016115;74;0,000440039;2;1,18929E-05;47;0,000279484;82;0,000487611;299;0,001777994;20472;0,121736131;731;0,004346869;152;0,000903863;21859;0,129983885
KIELECKIE;BĘDZIŃSKI;199763;0,863615927;42;0,000181575;10;0,000043232;31;0,000134019;98;0,000423674;88;0,000380442;28228;0,122035364;2309;0,009982275;741;0,003203493;31547;0,136384073
KIELECKIE;CZĘSTOCHOWA (MIASTO);92429;0,78878468;64;0,000546173;;0;4;3,41358E-05;92;0,000785124;82;0,000699784;23852;0,203551831;366;0,003123427;290;0,002474846;24750;0,21121532
