Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
BIAŁOSTOCKIE;AUGUSTOWSKI;51080.0;2822.0;11012.0;19692.0;8743;6369;219;2223.0;9450.0;735.0;2313.0;3584.0;1444;952;51;371.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;92372.0;5284.0;22274.0;36279.0;14074;8768;259;5434.0;18765.0;1454.0;5011.0;7153.0;2533;1490;62;1062.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);1555.0;473.0;717.0;167.0;37;21;3;137.0;356.0;113.0;158.0;37.0;6;9;2;31.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);142555.0;12920.0;46235.0;50836.0;17093;7315;342;7814.0;30024.0;3234.0;10335.0;10198.0;3175;1318;88;1676.0
BIAŁOSTOCKIE;GRODZIEŃSKI;125405.0;7510.0;38687.0;46303.0;13758;9568;530;9049.0;25629.0;1895.0;8503.0;9059.0;2452;1634;123;1963.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);60765.0;6764.0;20622.0;20868.0;5897;3410;143;3061.0;12254.0;1716.0;4367.0;3863.0;1030;580;39;659.0
BIAŁOSTOCKIE;OSTROŁĘCKI;78904.0;5274.0;18878.0;30597.0;13461;6725;103;3866.0;15088.0;1289.0;3985.0;5643.0;2266;1059;27;819.0
BIAŁOSTOCKIE;SOKÓLSKI;83679.0;2854.0;15257.0;35799.0;16288;9508;252;3721.0;15953.0;771.0;3377.0;6779.0;2717;1511;54;744.0
BIAŁOSTOCKIE;SUWALSKI;68951.0;3532.0;10888.0;22077.0;16669;13066;200;2519.0;12211.0;891.0;2247.0;3955.0;2703;1973;45;397.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);41219.0;2671.0;10015.0;13799.0;6838;5687;234;1975.0;7375.0;597.0;1949.0;2423.0;1106;883;49;368.0
BIAŁOSTOCKIE;WOŁKOWYSKI;130975.0;7121.0;41587.0;48287.0;14768;8641;596;9975.0;26951.0;1821.0;9120.0;9546.0;2636;1508;149;2171.0
