Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
BIAŁOSTOCKIE;AUGUSTOWSKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁOSTOCKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;GRODZIEŃSKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROŁĘCKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SOKÓLSKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SUWALSKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;WOŁKOWYSKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;;;;;;;;;;;;;;;;
BIAŁOSTOCKIE;ŁOMŻYŃSKI;;;;;;;;;;;;;;;;
KIELECKIE;BĘDZIŃSKI;;;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;IŁŻECKI;;;;;;;;;;;;;;;;
KIELECKIE;JĘDRZEJOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;KIELECKI;;;;;;;;;;;;;;;;
KIELECKIE;KONECKI;;;;;;;;;;;;;;;;
KIELECKIE;KOZIENICKI;;;;;;;;;;;;;;;;
KIELECKIE;MIECHOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;OLKUSKI;;;;;;;;;;;;;;;;
KIELECKIE;OPATOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;OPOCZYŃSKI;;;;;;;;;;;;;;;;
KIELECKIE;PIŃCZOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;;;;;
KIELECKIE;RADOMSKI;;;;;;;;;;;;;;;;
KIELECKIE;SANDOMIERSKI;;;;;;;;;;;;;;;;
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI;;;;;;;;;;;;;;;;
KIELECKIE;WŁOSZCZOWSKI;;;;;;;;;;;;;;;;
KIELECKIE;ZAWIERCIAŃSKI;;;;;;;;;;;;;;;;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);34234.0;9934.0;13970.0;5285.0;652.0;237.0;87.0;4069.0;7414.0;2903.0;2952.0;938.0;112.0;46.0;23.0;440.0
KRAKOWSKIE;BOCHEŃSKI;70812.0;26840.0;29335.0;6015.0;435.0;102.0;38.0;8047.0;15247.0;6888.0;5805.0;1041.0;70.0;21.0;14.0;1408.0
KRAKOWSKIE;BRZESKI (BRZESKO);73581.0;27609.0;32369.0;5378.0;397.0;123.0;59.0;7646.0;16009.0;7193.0;6434.0;954.0;63.0;26.0;22.0;1317.0
KRAKOWSKIE;CHRZANOWSKI;28590.0;10669.0;9454.0;1227.0;52.0;28.0;37.0;7123.0;6272.0;3305.0;2053.0;235.0;10.0;5.0;9.0;655.0
KRAKOWSKIE;DĄBROWSKI;51226.0;14655.0;24625.0;8049.0;692.0;160.0;41.0;3004.0;11325.0;3919.0;5193.0;1426.0;118.0;40.0;16.0;613.0
KRAKOWSKIE;GORLICKI;74621.0;15832.0;31011.0;17104.0;5096.0;1571.0;75.0;3932.0;14892.0;3973.0;6148.0;3011.0;865.0;277.0;24.0;594.0
KRAKOWSKIE;JASIELSKI;85107.0;25516.0;41782.0;10642.0;1548.0;773.0;78.0;4768.0;17029.0;6196.0;7825.0;1762.0;262.0;134.0;28.0;822.0
KRAKOWSKIE;KRAKOWSKI;69184.0;30521.0;22678.0;3647.0;381.0;165.0;232.0;11560.0;15857.0;8493.0;4643.0;657.0;67.0;32.0;72.0;1893.0
KRAKOWSKIE;KRAKÓW (MIASTO);1363.0;568.0;277.0;52.0;12.0;47.0;162.0;245.0;403.0;158.0;63.0;18.0;4.0;13.0;72.0;75.0
KRAKOWSKIE;LIMANOWSKI;67867.0;22390.0;29034.0;9933.0;1338.0;366.0;33.0;4773.0;13030.0;5029.0;5234.0;1625.0;207.0;58.0;10.0;867.0
KRAKOWSKIE;MIELECKI;56363.0;13334.0;26295.0;11242.0;1015.0;224.0;103.0;4150.0;12129.0;3602.0;5523.0;1990.0;173.0;43.0;31.0;767.0
KRAKOWSKIE;MYŚLENICKI;80361.0;26850.0;35710.0;10829.0;1262.0;164.0;56.0;5490.0;16296.0;6373.0;6772.0;1878.0;228.0;35.0;18.0;992.0
KRAKOWSKIE;NOWOSĄDECKI;103650.0;30217.0;41115.0;18606.0;3909.0;1166.0;60.0;8577.0;19289.0;6834.0;7331.0;2951.0;615.0;177.0;24.0;1357.0
