Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
BIAŁOSTOCKIE;AUGUSTOWSKI;67821;0,90729221;35;0,000468221;840;0,011237308;322;0,004307635;4266;0,057069471;1356;0,018140226;111;0,00148493
BIAŁOSTOCKIE;BIAŁOSTOCKI;105685;0,754472508;116;0,00082811;21919;0,156477106;983;0,007017519;11005;0,078563372;75;0,000535416;295;0,00210597
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);41493;0,455461521;126;0,00138308;7502;0,082348163;2633;0,028901988;39165;0,429907465;123;0,00135015;59;0,000647633
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);91215;0,450644731;328;0,001620473;91421;0,451662467;330;0,001630354;18502;0,091408527;430;0,002124401;184;0,000909046
BIAŁOSTOCKIE;GRODZIEŃSKI;89122;0,418206987;217;0,001018277;86988;0,408193144;489;0,002294643;35693;0,167490204;140;0,000656953;456;0,00213979
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);85540;0,857621239;56;0,000561454;104;0,001042701;1559;0,015630483;12361;0,123930981;14;0,000140364;107;0,001072778
BIAŁOSTOCKIE;OSTROŁĘCKI;103871;0,922584313;44;0,000390809;122;0,001083606;159;0,001412241;8122;0,072139767;177;0,001572118;92;0,000817146
BIAŁOSTOCKIE;SOKÓLSKI;81030;0,785669268;63;0,00061085;13266;0,128627527;27;0,000261793;8528;0,082687739;8;7,75682E-05;213;0,002065254
BIAŁOSTOCKIE;SUWALSKI;87350;0,79319676;173;0,001570956;1346;0,012222585;7163;0,065044859;8133;0,073853111;5817;0,052822273;142;0,001289456
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);60763;0,890757165;39;0,000571722;161;0,002360185;135;0,001979037;6981;0,102338195;12;0,000175914;124;0,001817782
BIAŁOSTOCKIE;WOŁKOWYSKI;76373;0,445773287;169;0,000986418;80452;0,46958156;284;0,001657649;13283;0,077530103;613;0,003577953;153;0,000893029
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;78584;0,881945614;41;0,000460142;335;0,003759694;116;0,001301864;9875;0,110826796;4;4,48919E-05;148;0,001660999
BIAŁOSTOCKIE;ŁOMŻYŃSKI;145230;0,86360582;84;0,000499503;211;0,001254705;1048;0,0062319;21451;0,127557725;45;0,000267591;98;0,000582754
KIELECKIE;BĘDZIŃSKI;198211;0,856906316;101;0,000436643;365;0,001577969;312;0,001348839;31875;0,137802084;107;0,000462583;339;0,001465566
KIELECKIE;CZĘSTOCHOWA (MIASTO);90343;0,770982855;74;0,000631512;335;0,002858874;735;0,006272455;25588;0,218366772;37;0,000315756;67;0,000571775
KIELECKIE;CZĘSTOCHOWSKI;174127;0,954298335;48;0,000263063;82;0,000449399;761;0,00417064;6927;0,037963237;80;0,000438438;441;0,002416889
KIELECKIE;IŁŻECKI;147062;0,92076034;61;0,000381923;105;0,000657409;660;0,004132283;11377;0,071231796;98;0,000613581;355;0,002222667
KIELECKIE;JĘDRZEJOWSKI;98714;0,90952982;21;0,00019349;38;0,000350124;27;0,000248772;9435;0,086932085;4;3,68552E-05;294;0,002708854
KIELECKIE;KIELECKI;190243;0,867513007;164;0,000747844;381;0,00173737;969;0,004418665;26895;0,122641897;30;0,000136801;615;0,002804416
KIELECKIE;KONECKI;156301;0,872341969;59;0,000329289;151;0,000842756;227;0,001266925;21840;0,121892685;3;1,67435E-05;593;0,003309632
KIELECKIE;KOZIENICKI;125935;0,88000587;48;0,000335413;107;0,000747692;2606;0,01821015;14073;0,098339005;1;6,98778E-06;337;0,002354881
KIELECKIE;MIECHOWSKI;146863;0,950114508;32;0,000207021;67;0,000433449;36;0,000232898;7271;0,047038959;13;8,41021E-05;292;0,001889063
KIELECKIE;OLKUSKI;140045;0,922994286;61;0,000402033;65;0,000428395;130;0,000856791;11234;0,0740399;6;3,95442E-05;188;0,001239051
KIELECKIE;OPATOWSKI;158886;0,851721014;77;0,000412765;93;0,000498534;71;0,000380601;24763;0,132744027;2254;0,012082746;403;0,002160313
KIELECKIE;OPOCZYŃSKI;119801;0,917846526;64;0,000490331;47;0,000360087;1284;0,009837271;8854;0,067834268;5;3,83071E-05;469;0,003593209
KIELECKIE;PIŃCZOWSKI;112747;0,894122032;54;0,000428238;33;0,000261701;12;9,51641E-05;12900;0,102301385;4;3,17214E-05;348;0,002759758
KIELECKIE;RADOM (MIASTO);51811;0,665079202;64;0,000821545;264;0,003388873;488;0,006264281;25159;0,322957049;21;0,000269569;95;0,001219481
KIELECKIE;RADOMSKI;140866;0,936316444;44;0,000292462;43;0,000285815;1189;0,007903115;7774;0,051672682;6;3,98812E-05;525;0,003489601
KIELECKIE;SANDOMIERSKI;107315;0,869919424;42;0,000340461;75;0,000607967;161;0,001305102;15427;0,125054717;1;8,10622E-06;341;0,002764222
KIELECKIE;SOSNOWIEC;86605;0,794840261;97;0,000890243;479;0,004396149;781;0,007167834;20805;0,190943382;89;0,000816821;103;0,00094531
KIELECKIE;STOPNICKI;135246;0,883435342;58;0,00037886;36;0,000235154;234;0,001528503;17157;0,112070599;4;2,61283E-05;356;0,002325414
KIELECKIE;WŁOSZCZOWSKI;92575;0,920164601;32;0,000318069;35;0,000347888;558;0,005546334;7131;0,07087976;;0;276;0,002743348
KIELECKIE;ZAWIERCIAŃSKI;119491;0,911637027;29;0,000221251;80;0,000610347;230;0,001754747;10535;0,080375058;553;0,004219023;155;0,001182547
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);;;;;;;;;;;;;;
KRAKOWSKIE;BOCHEŃSKI;;;;;;;;;;;;;;
KRAKOWSKIE;BRZESKI (BRZESKO);;;;;;;;;;;;;;
KRAKOWSKIE;CHRZANOWSKI;;;;;;;;;;;;;;
KRAKOWSKIE;DĄBROWSKI;;;;;;;;;;;;;;
KRAKOWSKIE;GORLICKI;;;;;;;;;;;;;;
KRAKOWSKIE;JASIELSKI;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKOWSKI;;;;;;;;;;;;;;
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;;;;;;;;;;;;;;
KRAKOWSKIE;MIELECKI;;;;;;;;;;;;;;
KRAKOWSKIE;MYŚLENICKI;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOSĄDECKI;;;;;;;;;;;;;;
KRAKOWSKIE;NOWOTARSKI;;;;;;;;;;;;;;
KRAKOWSKIE;ROPCZYCKI;;;;;;;;;;;;;;
KRAKOWSKIE;TARNOWSKI;;;;;;;;;;;;;;
KRAKOWSKIE;WADOWICKI;;;;;;;;;;;;;;
KRAKOWSKIE;ŻYWIECKI;;;;;;;;;;;;;;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);82647;0,710844099;523;0,004498306;18192;0,156468787;333;0,002864122;14288;0,122890613;132;0,001135328;151;0,001298746
LUBELSKIE;BIŁGORAJSKI;82614;0,706398406;142;0,001214184;20913;0,17881848;31;0,000265068;12938;0,110627528;240;0,002052141;73;0,000624193
LUBELSKIE;CHEŁMSKI;88488;0,545078231;345;0,002125169;37530;0,231181471;10609;0,065350499;22852;0,140766293;2409;0,014839226;107;0,000659111
LUBELSKIE;GARWOLIŃSKI;139128;0,869865326;80;0,000500181;67;0,000418902;1305;0,008159208;18741;0,117173725;426;0,002663466;195;0,001219192
LUBELSKIE;HRUBIESZOWSKI;63365;0,487584355;674;0,005186331;49128;0,378032734;419;0,003224143;15785;0,121463253;544;0,004186;42;0,000323184
LUBELSKIE;JANOWSKI;135182;0,885173981;47;0,000307757;1159;0,007589151;20;0,00013096;15317;0,10029597;430;0,002815647;563;0,003686533
LUBELSKIE;KRASNOSTAWSKI;113442;0,845578754;33;0,000245977;4853;0,036173496;28;0,000208708;12127;0,090392743;3507;0,026140624;169;0,001259699
LUBELSKIE;LUBARTOWSKI;94356;0,873739478;39;0,000361141;1544;0,014297488;1762;0,016316174;9652;0,089377819;547;0,005065237;91;0,000842663
LUBELSKIE;LUBELSKI;149192;0,912478135;61;0,000373084;125;0,000764517;755;0,004617681;12049;0,073693288;792;0,004843977;528;0,003229318
LUBELSKIE;LUBLIN (MIASTO);71542;0,637146547;160;0,001424945;703;0,006260854;628;0,005592911;38937;0,346769381;172;0,001531816;143;0,001273545
LUBELSKIE;PUŁAWSKI;149060;0,865284703;126;0,000731423;182;0,0010565;88;0,000510835;21949;0,127412679;334;0,001938851;528;0,00306501
LUBELSKIE;RADZYŃSKI;80520;0,812602812;34;0,000343126;1840;0,018569165;917;0,009254307;15548;0,156909445;17;0,000171563;213;0,002149583
LUBELSKIE;SIEDLECKI;125018;0,825686377;52;0,000343436;657;0,004339183;600;0,003962724;23069;0,152360132;1614;0,010659727;401;0,002648421
LUBELSKIE;SOKOŁOWSKI;74941;0,892696756;31;0,000369272;145;0,001727239;137;0,001631943;8334;0,09927456;;0;361;0,00430023
LUBELSKIE;TOMASZOWSKI;73021;0,60286153;583;0,004813249;33059;0,272935174;26;0,000214656;14204;0,117268254;182;0,001502592;49;0,000404544
LUBELSKIE;WĘGROWSKI;76511;0,86172681;43;0,0004843;40;0,000450511;1483;0,016702708;8888;0,100103618;1608;0,018110555;215;0,002421498
LUBELSKIE;WŁODAWSKI;57939;0,510179103;203;0,001787507;33382;0,29394361;3522;0,031012803;18188;0,160153567;263;0,002315834;69;0,000607576
LUBELSKIE;ZAMOJSKI;125249;0,837517051;164;0,001096638;6778;0,045323241;59;0,000394522;16738;0,111923931;313;0,002092973;247;0,001651644
LUBELSKIE;ŁUKOWSKI;113549;0,879658824;42;0,000325372;76;0,000588768;502;0,003888971;14736;0,114159107;48;0,000371854;130;0,001007104
LWOWSKIE;BRZOZOWSKI;;;;;;;;;;;;;;
LWOWSKIE;BÓBRECKI;;;;;;;;;;;;;;
LWOWSKIE;DOBROMILSKI;;;;;;;;;;;;;;
LWOWSKIE;DROHOBYCKI;;;;;;;;;;;;;;
LWOWSKIE;GRÓDECKI;;;;;;;;;;;;;;
LWOWSKIE;JAROSŁAWSKI;;;;;;;;;;;;;;
LWOWSKIE;JAWOROWSKI;;;;;;;;;;;;;;
LWOWSKIE;KOLBUSZOWSKI;;;;;;;;;;;;;;
LWOWSKIE;KROŚNIEŃSKI;;;;;;;;;;;;;;
LWOWSKIE;LESKI;;;;;;;;;;;;;;
LWOWSKIE;LUBACZOWSKI;;;;;;;;;;;;;;
LWOWSKIE;LWOWSKI;;;;;;;;;;;;;;
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI;;;;;;;;;;;;;;
LWOWSKIE;NIŻAŃSKI;;;;;;;;;;;;;;
LWOWSKIE;PRZEMYSKI;;;;;;;;;;;;;;
LWOWSKIE;PRZEWORSKI;;;;;;;;;;;;;;
