Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
BIAŁOSTOCKIE;AUGUSTOWSKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁOSTOCKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);;;;;;;;;;;;;;
BIAŁOSTOCKIE;GRODZIEŃSKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);;;;;;;;;;;;;;
BIAŁOSTOCKIE;OSTROŁĘCKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SOKÓLSKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SUWALSKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);;;;;;;;;;;;;;
BIAŁOSTOCKIE;WOŁKOWYSKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;;;;;;;;;;;;;;
BIAŁOSTOCKIE;ŁOMŻYŃSKI;;;;;;;;;;;;;;
KIELECKIE;BĘDZIŃSKI;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;;;;;;;;;;;;;;
KIELECKIE;IŁŻECKI;;;;;;;;;;;;;;
KIELECKIE;JĘDRZEJOWSKI;;;;;;;;;;;;;;
KIELECKIE;KIELECKI;;;;;;;;;;;;;;
KIELECKIE;KONECKI;;;;;;;;;;;;;;
KIELECKIE;KOZIENICKI;;;;;;;;;;;;;;
KIELECKIE;MIECHOWSKI;;;;;;;;;;;;;;
KIELECKIE;OLKUSKI;;;;;;;;;;;;;;
KIELECKIE;OPATOWSKI;;;;;;;;;;;;;;
KIELECKIE;OPOCZYŃSKI;;;;;;;;;;;;;;
KIELECKIE;PIŃCZOWSKI;;;;;;;;;;;;;;
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;;;
KIELECKIE;RADOMSKI;;;;;;;;;;;;;;
KIELECKIE;SANDOMIERSKI;;;;;;;;;;;;;;
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI;;;;;;;;;;;;;;
KIELECKIE;WŁOSZCZOWSKI;;;;;;;;;;;;;;
KIELECKIE;ZAWIERCIAŃSKI;;;;;;;;;;;;;;
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);126431;0,908745247;173;0,001243468;24;0,000172504;2243;0,016121961;9951;0,071524578;48;0,000345009;257;0,001847233
KRAKOWSKIE;BOCHEŃSKI;107399;0,943835135;100;0,000878812;34;0,000298796;232;0,002038843;5656;0,049705598;69;0,00060638;300;0,002636436
KRAKOWSKIE;BRZESKI (BRZESKO);97730;0,956019017;57;0,000557588;9;8,80402E-05;5;4,89112E-05;4121;0,040312641;8;0,000078258;296;0,002895545
KRAKOWSKIE;CHRZANOWSKI;125016;0,905512781;186;0,001347231;54;0,000391131;230;0,00166593;12127;0,087837985;40;0,000289727;408;0,002955215
KRAKOWSKIE;DĄBROWSKI;61584;0,923602987;34;0,000509913;2;2,99949E-05;16;0,000239959;4807;0,072092744;1;1,49975E-05;234;0,003509403
KRAKOWSKIE;GORLICKI;73788;0,704050379;20134;0,192109155;4958;0,047306903;26;0,00024808;5578;0,053222652;38;0,000362578;283;0,002700253
KRAKOWSKIE;JASIELSKI;102213;0,880038917;4991;0,042971777;2668;0,022971088;20;0,000172197;5786;0,04981661;26;0,000223856;442;0,003805555
KRAKOWSKIE;KRAKOWSKI;181836;0,969745452;237;0,001263939;72;0,000383982;372;0,001983905;4138;0,022068274;150;0,000799962;704;0,003754486
KRAKOWSKIE;KRAKÓW (MIASTO);159372;;1554;;340;;580;;56515;;;;;
KRAKOWSKIE;LIMANOWSKI;84048;0,962980786;32;0,00036664;11;0,000126033;9;0,000103118;2766;0,031691472;10;0,000114575;403;0,004617376
KRAKOWSKIE;MIELECKI;69737;0,900238818;67;0,000864907;5;6,45453E-05;685;0,008842703;6457;0,083353773;6;7,74543E-05;508;0,0065578
KRAKOWSKIE;MYŚLENICKI;99978;0,973571456;29;0,000282398;3;2,92136E-05;9;8,76407E-05;2189;0,021316169;16;0,000155806;468;0,004557317
KRAKOWSKIE;NOWOSĄDECKI;141857;0,771519631;21413;0,11645918;3647;0,019834989;1371;0,007456477;15135;0,082314934;13;7,07033E-05;431;0,002344086
KRAKOWSKIE;NOWOTARSKI;121767;0,940365591;2234;0,017252431;62;0,000478805;138;0,001065728;4853;0,037478087;16;0,000123563;419;0,003235796
KRAKOWSKIE;ROPCZYCKI;104033;0,937867929;113;0,001018706;23;0,000207347;20;0,000180302;6410;0,057786793;2;1,80302E-05;324;0,002920892
KRAKOWSKIE;TARNOWSKI;120610;0,847188565;234;0,001643662;59;0,000414428;70;0,000491694;21219;0,149046465;16;0,000112387;157;0,001102799
KRAKOWSKIE;WADOWICKI;140469;0,967797276;101;0,000695865;24;0,000165354;95;0,000654527;3665;0,025250959;15;0,000103346;774;0,005332672
KRAKOWSKIE;ŻYWIECKI;127685;0,975074266;61;0,00046583;10;7,63656E-05;268;0,002046598;2245;0,017144079;61;0,00046583;619;0,004727031
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);;;;;;;;;;;;;;
LUBELSKIE;BIŁGORAJSKI;;;;;;;;;;;;;;
