Region;District;Total population
BIAŁOSTOCKIE;AUGUSTOWSKI;74751
BIAŁOSTOCKIE;BIAŁOSTOCKI;140078
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);91101
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);202410
BIAŁOSTOCKIE;GRODZIEŃSKI;213105
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);99741
BIAŁOSTOCKIE;OSTROŁĘCKI;112587
BIAŁOSTOCKIE;SOKÓLSKI;103135
BIAŁOSTOCKIE;SUWALSKI;110124
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);68215
BIAŁOSTOCKIE;WOŁKOWYSKI;171327
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;89103
BIAŁOSTOCKIE;ŁOMŻYŃSKI;168167
KIELECKIE;BĘDZIŃSKI;231310
KIELECKIE;CZĘSTOCHOWA (MIASTO);117179
KIELECKIE;CZĘSTOCHOWSKI;182466
KIELECKIE;IŁŻECKI;159718
KIELECKIE;JĘDRZEJOWSKI;108533
KIELECKIE;KIELECKI;219297
KIELECKIE;KONECKI;179174
KIELECKIE;KOZIENICKI;143107
KIELECKIE;MIECHOWSKI;154574
KIELECKIE;OLKUSKI;151729
KIELECKIE;OPATOWSKI;186547
KIELECKIE;OPOCZYŃSKI;130524
KIELECKIE;PIŃCZOWSKI;126098
KIELECKIE;RADOM (MIASTO);77902
KIELECKIE;RADOMSKI;150447
KIELECKIE;SANDOMIERSKI;123362
KIELECKIE;SOSNOWIEC;108959
KIELECKIE;STOPNICKI;153091
KIELECKIE;WŁOSZCZOWSKI;100607
KIELECKIE;ZAWIERCIAŃSKI;131073
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);
KRAKOWSKIE;BOCHEŃSKI;
KRAKOWSKIE;BRZESKI (BRZESKO);
KRAKOWSKIE;CHRZANOWSKI;
KRAKOWSKIE;DĄBROWSKI;
KRAKOWSKIE;GORLICKI;
KRAKOWSKIE;JASIELSKI;
KRAKOWSKIE;KRAKOWSKI;
KRAKOWSKIE;KRAKÓW (MIASTO);
KRAKOWSKIE;LIMANOWSKI;
KRAKOWSKIE;MIELECKI;
KRAKOWSKIE;MYŚLENICKI;
KRAKOWSKIE;NOWOSĄDECKI;
KRAKOWSKIE;NOWOTARSKI;
KRAKOWSKIE;ROPCZYCKI;
KRAKOWSKIE;TARNOWSKI;
KRAKOWSKIE;WADOWICKI;
KRAKOWSKIE;ŻYWIECKI;
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);116266
LUBELSKIE;BIŁGORAJSKI;116951
LUBELSKIE;CHEŁMSKI;162340
LUBELSKIE;GARWOLIŃSKI;159942
LUBELSKIE;HRUBIESZOWSKI;129957
LUBELSKIE;JANOWSKI;152718
LUBELSKIE;KRASNOSTAWSKI;134159
LUBELSKIE;LUBARTOWSKI;107991
LUBELSKIE;LUBELSKI;163502
LUBELSKIE;LUBLIN (MIASTO);112285
LUBELSKIE;PUŁAWSKI;172267
LUBELSKIE;RADZYŃSKI;99089
LUBELSKIE;SIEDLECKI;151411
LUBELSKIE;SOKOŁOWSKI;83949
LUBELSKIE;TOMASZOWSKI;121124
LUBELSKIE;WĘGROWSKI;88788
