Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIA£OSTOCKIE;AUGUSTOWSKI;28664;155917;34726;87114;1107123; X   ; 5 917 ; 8 
BIA£OSTOCKIE;BIA£OSTOCKI;51720;429305;86815;200570;2125117; X   ; 2 607 ; 64 
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);149787;633819;85811;203068;2654582; X   ; 5 948 ; 3 387 
BIA£OSTOCKIE;GRODZIE—SKI;69429;618256;133553;273289;2844721; X   ; 19 590 ; 231 
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);68847;309620;33801;85931;1476036; 6 444 ; 10 604 ; 998 
BIA£OSTOCKIE;OSTRO£ CKI;51250;333998;17710;66218;1700103; 10 920 ; 17 565 ; 2 420 
BIA£OSTOCKIE;SOK”LSKI;27858;427217;53621;184570;2444784; X   ; 6 631 ; X   
BIA£OSTOCKIE;SUWALSKI;38876;230987;46278;179155;1229730; X   ; 2 154 ; 3 
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);56801;239758;36779;89257;1440515; X   ; 5 807 ; 846 
BIA£OSTOCKIE;WO£KOWYSKI;50389;496166;91577;184021;2536887; X   ; 15 520 ; 201 
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;98977;263679;36968;94042;1113576; 6 013 ; 581 ; 329 
BIA£OSTOCKIE;£OMØY—SKI;143757;670579;56175;244789;3125386; X   ; 14 735 ; 1 878 
KIELECKIE;B DZI—SKI;6546;116107;16391;20338;685500; X   ; 55 ; 10 
KIELECKIE;CZ STOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZ STOCHOWSKI;26480;589316;37650;115709;2568610; 7 255 ; 2 036 ; 5 078 
KIELECKIE;I£ØECKI;60169;385779;136930;209235;1759719; X   ; 10 825 ; 3 278 
KIELECKIE;J DRZEJOWSKI;181041;304118;89975;115250;1762433; 1 755 ; 228 ; 4 307 
KIELECKIE;KIELECKI;60841;334329;56950;98889;2163942; X   ; 2 019 ; 3 161 
KIELECKIE;KONECKI;20257;332896;27096;69533;2123266; X   ; 657 ; 2 536 
KIELECKIE;KOZIENICKI;50029;424855;104328;188126;1971910; 21 921 ; 19 595 ; 8 231 
KIELECKIE;MIECHOWSKI;265932;284859;145434;242640;1785300; 85 975 ; 158 ; 7 087 
KIELECKIE;OLKUSKI;61600;410719;95595;150421;2202415; X   ; 1 306 ; 77 
KIELECKIE;OPATOWSKI;207510;322557;144675;293320;1955530; 223 339 ; 1 694 ; 4 893 
KIELECKIE;OPOCZY—SKI;38736;554085;47424;173319;2461741; X   ; 4 594 ; 4 428 
KIELECKIE;PI—CZOWSKI;184851;253117;116848;109220;1200979; 211 174 ; 182 ; 20 578 
KIELECKIE;RADOM (MIASTO);;;;;;;;
KIELECKIE;RADOMSKI;65889;711552;126415;239541;2793325; 126 ; 7 465 ; 14 655 
KIELECKIE;SANDOMIERSKI;130639;213086;116742;145950;1377394; 143 578 ; 221 ; 14 359 
KIELECKIE;SOSNOWIEC;;;;;;;;
KIELECKIE;STOPNICKI;152146;365150;105902;144748;2053353; 3 329 ; 609 ; 23 984 
