Region;District;1. Number of workers in plants I-VII;2. Plants: total;3. Plants: I-III;4. Plants: IV-V;5. Plants: VI-VII;6. Plants: VIII;7. Mining: I-V;8. Mining: VI-VII;9. Mining: VIII;10. Mineral: I-V;11. Mineral: VI-VII;12. Mineral: VIII;13. Mineral: brickyards (within others);14. Mineral: concrete plants (within others);15. Metal and electrotechnical: I-V;16. Metal and electrotechnical: VI-VII;17. Metal and electrotechnical: VIII;18. Metal and electrotechnical: metal production (within others);19. Metal and electrotechnical: blacksmithing (within others);20. Metal and electrotechnical: locksmithing, repairs (within others);21. Metal and electrotechnical: tinsmithing (within others);22. Metal and electrotechnical: watchmaking and jewelry (within others);23. Chemical: I-V;24. Chemical: VI-VII;25. Chemical: VIII;26. Chemical: oil mills (within others);27. Textile: I-V;28. Textile: VI-VII;29. Textile: VIII;30. Paper: I-V;31. Paper: VI-VII;32. Paper: VIII;33. Leather: I-V;34. Leather: VI-VII;35. Leather: VIII;36. Leather: tanning and white leather (within others);37. Leather: saddlery and harness making (within others);38. Wood: I-V;39. Wood: VI-VII;40. Wood: VIII;41. Wood: sawmills (within others);42. Wood: carpentry (within others);43. Wood: wheelwrighting (within others);44. Food: I-V;45. Food: VI-VII;46. Food: VIII;47. Food: mills (within others);48. Food: bakeries (within others);49. Food: dairies (within others);50. Food: butchery and meat processing (within others);51. Clothing: I-V;52. Clothing: VI-VII;53. Clothing: VIII;54. Clothing: tailoring and clothing accessories (within others);55. Clothing: shoemaking and boot making (within others);56. Clothing: furriery (within others);57. Printing: I-V;58. Printing: VI-VII;59. Printing: VIII;60. Printing: printing houses (within others);61. Construction: I-V;62. Construction: VI-VII;63. Construction: VIII;64. Processing of various materials: VII;65. Processing of various materials: VIII;66. Power plants: I-V;67. Power plants: VI-VII;68. Power plants: VIII;69. Services: V-VII;70. Services: VIII;71. Services: hairdressing (within others);72. Services: transport (within others);73. Horticulture and fisheries: V-VII;74. Horticulture and fisheries: VIII;75. Other plants: VIII
BIAŁOSTOCKIE;AUGUSTOWSKI;421;398;1.0;6.0;18;373;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;58;0.0;34.0;14.0;2;6.0;0.0;1.0;5.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;6.0;5.0;1.0;2.0;3.0;22.0;1.0;11.0;4.0;5.0;9.0;90.0;10.0;39.0;25.0;7.0;0.0;0.0;119.0;67.0;38.0;2.0;0.0;0.0;7.0;1.0;0.0;0.0;6.0;0.0;8.0;0.0;0.0;1.0;1.0;39.0;18.0;18.0;4.0;5.0;2.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;1 818;775;1.0;17.0;76;681;0.0;0.0;0.0;1.0;6.0;11.0;7.0;2.0;0.0;0.0;44;0.0;29.0;11.0;2;2.0;0.0;8.0;15.0;9.0;10.0;12.0;216.0;0.0;0.0;0.0;2.0;7.0;19.0;12.0;4.0;5.0;5.0;23.0;1.0;12.0;0.0;0.0;35.0;220.0;32.0;74.0;40.0;59.0;0.0;0.0;77.0;41.0;19.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;2.0;3.0;0.0;35.0;33.0;0.0;1.0;1.0;11.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);5 266;1815;7.0;62.0;138;1608;0.0;0.0;0.0;3.0;4.0;25.0;0.0;11.0;2.0;10.0;173;11.0;19.0;59.0;25;36.0;1.0;6.0;42.0;7.0;48.0;42.0;402.0;2.0;2.0;7.0;2.0;15.0;44.0;5.0;14.0;4.0;6.0;78.0;1.0;53.0;1.0;4.0;35.0;202.0;2.0;103.0;2.0;52.0;0.0;10.0;374.0;189.0;78.0;21.0;0.0;5.0;36.0;10.0;1.0;1.0;25.0;1.0;37.0;1.0;0.0;1.0;2.0;147.0;113.0;3.0;0.0;3.0;12.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);2 846;1381;3.0;19.0;103;1256;0.0;0.0;0.0;9.0;6.0;64.0;29.0;20.0;0.0;0.0;137;4.0;84.0;19.0;9;17.0;2.0;9.0;30.0;17.0;0.0;6.0;23.0;0.0;0.0;0.0;0.0;0.0;28.0;4.0;23.0;9.0;16.0;87.0;5.0;36.0;21.0;2.0;61.0;331.0;65.0;103.0;67.0;77.0;0.0;0.0;418.0;202.0;160.0;24.0;0.0;0.0;20.0;3.0;0.0;0.0;27.0;1.0;19.0;0.0;4.0;7.0;0.0;63.0;49.0;7.0;0.0;2.0;0.0
BIAŁOSTOCKIE;GRODZIEŃSKI;2 806;1288;0.0;23.0;107;1158;0.0;0.0;1.0;3.0;4.0;20.0;12.0;4.0;0.0;0.0;147;2.0;73.0;34.0;7;21.0;0.0;1.0;23.0;1.0;0.0;0.0;11.0;0.0;1.0;4.0;3.0;29.0;66.0;21.0;15.0;8.0;12.0;60.0;0.0;33.0;5.0;4.0;55.0;235.0;26.0;114.0;16.0;37.0;0.0;2.0;366.0;169.0;125.0;14.0;0.0;3.0;33.0;10.0;0.0;1.0;10.0;2.0;12.0;0.0;0.0;5.0;0.0;150.0;86.0;34.0;2.0;11.0;4.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);644;618;1.0;8.0;59;550;0.0;0.0;2.0;0.0;2.0;11.0;6.0;3.0;1.0;0.0;65;2.0;34.0;14.0;6;8.0;0.0;1.0;22.0;20.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;14.0;3.0;11.0;4.0;4.0;37.0;4.0;20.0;2.0;4.0;51.0;165.0;32.0;67.0;35.0;18.0;0.0;0.0;160.0;76.0;61.0;3.0;0.0;0.0;7.0;2.0;0.0;0.0;22.0;0.0;4.0;0.0;0.0;0.0;0.0;31.0;20.0;5.0;1.0;1.0;0.0
BIAŁOSTOCKIE;OSTROŁĘCKI;297;591;0.0;5.0;38;548;0.0;0.0;0.0;2.0;0.0;11.0;7.0;2.0;0.0;1.0;45;2.0;14.0;10.0;5;11.0;0.0;1.0;11.0;8.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;10.0;1.0;9.0;2.0;7.0;29.0;2.0;11.0;11.0;1.0;26.0;191.0;27.0;67.0;22.0;63.0;0.0;0.0;165.0;80.0;67.0;1.0;0.0;0.0;6.0;3.0;0.0;2.0;13.0;0.0;3.0;0.0;0.0;3.0;0.0;55.0;25.0;29.0;1.0;0.0;0.0
BIAŁOSTOCKIE;SOKÓLSKI;108;532;0.0;0.0;32;500;0.0;0.0;0.0;0.0;3.0;11.0;6.0;0.0;0.0;0.0;67;0.0;56.0;6.0;1;4.0;0.0;1.0;9.0;7.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;5.0;33.0;7.0;13.0;0.0;1.0;24.0;2.0;12.0;0.0;0.0;21.0;100.0;30.0;42.0;7.0;10.0;0.0;0.0;189.0;114.0;55.0;5.0;0.0;0.0;8.0;1.0;0.0;0.0;9.0;0.0;2.0;0.0;1.0;2.0;0.0;33.0;16.0;16.0;0.0;0.0;2.0
BIAŁOSTOCKIE;SUWALSKI;395;599;0.0;6.0;34;559;0.0;0.0;0.0;0.0;2.0;16.0;6.0;2.0;0.0;1.0;93;0.0;50.0;16.0;7;17.0;0.0;0.0;9.0;5.0;0.0;1.0;13.0;0.0;1.0;0.0;0.0;2.0;11.0;5.0;2.0;1.0;0.0;16.0;1.0;7.0;5.0;4.0;24.0;141.0;9.0;42.0;58.0;14.0;0.0;1.0;143.0;75.0;39.0;4.0;0.0;0.0;14.0;3.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;1.0;1.0;80.0;29.0;48.0;2.0;6.0;2.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);194;395;0.0;3.0;26;366;0.0;0.0;0.0;0.0;0.0;13.0;7.0;5.0;0.0;0.0;55;0.0;32.0;10.0;2;7.0;0.0;0.0;5.0;5.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;1.0;0.0;3.0;19.0;2.0;12.0;1.0;2.0;22.0;109.0;3.0;54.0;26.0;14.0;0.0;0.0;103.0;58.0;29.0;4.0;0.0;0.0;6.0;1.0;0.0;0.0;15.0;0.0;3.0;0.0;0.0;2.0;0.0;28.0;17.0;6.0;1.0;1.0;0.0
