Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
BIAŁOSTOCKIE;AUGUSTOWSKI;32937;181800;43175;129729;1192985; -   ; 5 753 
BIAŁOSTOCKIE;BIAŁOSTOCKI;52556;419092;60385;162947;1810394; -   ; 3 541 
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);109727;519479;51572;159033;2910668; -   ; 7 446 
BIAŁOSTOCKIE;GRODZIEŃSKI;79819;465618;103016;191645;2326062; -   ; 16 012 
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);62125;292504;29074;94353;1463274; 6 764 ; 10 305 
BIAŁOSTOCKIE;OSTROŁĘCKI;40771;392299;17028;65962;1492336; 6 537 ; 15 385 
BIAŁOSTOCKIE;SOKÓLSKI;23602;358859;51158;162338;1430639; -   ; 5 794 
BIAŁOSTOCKIE;SUWALSKI;32684;213744;54935;244610;925977; -   ; 2 127 
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);44613;208996;29973;91941;1233430; -   ; 4 827 
BIAŁOSTOCKIE;WOŁKOWYSKI;48371;607304;80190;199759;2140636; -   ; 14 330 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;72307;246960;38104;104347;1342989; 15 671 ; 981 
BIAŁOSTOCKIE;ŁOMŻYŃSKI;109690;618314;47112;207216;3460712; -   ; 12 996 
KIELECKIE;BĘDZIŃSKI;6595;115369;12920;22010;634004; -   ; 67 
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;
KIELECKIE;CZĘSTOCHOWSKI;26082;497307;29224;118262;2251237; 7 673 ; 1 094 
KIELECKIE;IŁŻECKI;63673;353836;145361;234720;2355446; 20 912 ; 17 159 
KIELECKIE;JĘDRZEJOWSKI;166843;258188;89422;107149;1868287; 2 653 ; 98 
KIELECKIE;KIELECKI;47668;279774;48915;104539;2068076; -   ; 1 742 
KIELECKIE;KONECKI;16420;279651;22584;64702;1988652; -   ; 627 
KIELECKIE;KOZIENICKI;47937;385153;108780;178408;2037875; 29 935 ; 12 925 
KIELECKIE;MIECHOWSKI;300794;340910;130134;223034;1789812; 120 088 ; 332 
KIELECKIE;OLKUSKI;62674;308218;61679;112128;1816537; -   ; 943 
KIELECKIE;OPATOWSKI;189198;326613;139092;291834;2375798; 311 893 ; 1 274 
KIELECKIE;OPOCZYŃSKI;35342;469797;49473;146048;2559580; -   ; 4 115 
KIELECKIE;PIŃCZOWSKI;198380;246481;103247;126056;1198713; 239 537 ; 140 
KIELECKIE;RADOM (MIASTO);;;;;;;
KIELECKIE;RADOMSKI;74339;629680;111888;234911;3436970; -   ; 8 270 
KIELECKIE;SANDOMIERSKI;156932;226026;123003;166334;1701867; 196 375 ; 269 
KIELECKIE;SOSNOWIEC;;;;;;;
KIELECKIE;STOPNICKI;153158;336673;92057;154980;2414449; 31 211 ; 630 
KIELECKIE;WŁOSZCZOWSKI;112030;295905;32924;79687;1691945; 1 055 ; 185 
KIELECKIE;ZAWIERCIAŃSKI;18450;172222;20423;32662;835726; -   ; 811 
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);15679;110766;10886;95784;960171; 2 190 ; -   
KRAKOWSKIE;BOCHEŃSKI;74771;107597;36681;90058;934172; 406 ; 16 
KRAKOWSKIE;BRZESKI (BRZESKO);77735;117510;39972;84632;1069297; 1 666 ; 60 
KRAKOWSKIE;CHRZANOWSKI;19283;122001;9116;53566;667566; -   ; 40 
KRAKOWSKIE;DĄBROWSKI;97302;108163;29756;56373;702803; 4 973 ; 70 
KRAKOWSKIE;GORLICKI;57400;91265;59862;152506;890258; -   ; 48 
KRAKOWSKIE;JASIELSKI;75117;106340;32559;124089;982019; 851 ; 196 
KRAKOWSKIE;KRAKOWSKI;120768;197437;39768;128290;1262961; 16 941 ; 83 
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;
KRAKOWSKIE;LIMANOWSKI;50813;65282;40008;93260;608609; -   ; -   
KRAKOWSKIE;MIELECKI;70500;141547;30160;91377;1591596; 409 ; 700 
KRAKOWSKIE;MYŚLENICKI;56866;98252;31078;132781;810696; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI;77840;119578;69747;167269;1332555; -   ; -   
KRAKOWSKIE;NOWOTARSKI;3084;79193;93394;240812;803379; -   ; -   
KRAKOWSKIE;ROPCZYCKI;103275;177396;40360;114620;1496330; 19 165 ; 156 
KRAKOWSKIE;TARNOWSKI;78147;113169;27853;107084;991620; 3 345 ; 114 
KRAKOWSKIE;WADOWICKI;58984;125002;15379;151159;1335420; 16 127 ; -   
KRAKOWSKIE;ŻYWIECKI;14630;70595;20035;149533;852077; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);71718;399560;37016;200391;2820717; -   ; 5 784 
LUBELSKIE;BIŁGORAJSKI;47500;191441;47608;122714;1158624; -   ; 27 549 
LUBELSKIE;CHEŁMSKI;230331;366498;149509;136634;1445970; 114 751 ; 14 955 
LUBELSKIE;GARWOLIŃSKI;73623;489338;112326;211113;3078150; 114 ; 20 328 
LUBELSKIE;HRUBIESZOWSKI;345243;254434;142411;197950;1245955; 284 722 ; 10 738 
LUBELSKIE;JANOWSKI;145999;361353;151436;255251;2550178; 50 635 ; 45 818 
LUBELSKIE;KRASNOSTAWSKI;269012;259724;109200;140105;1585831; 173 123 ; 14 133 
LUBELSKIE;LUBARTOWSKI;64299;331312;40909;101382;1743309; 32 611 ; 46 532 
LUBELSKIE;LUBELSKI;354281;384716;182703;264225;2458202; 534 791 ; 13 870 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;
LUBELSKIE;PUŁAWSKI;104258;297901;136558;133834;2191850; 312 325 ; 24 731 
LUBELSKIE;RADZYŃSKI;95595;276785;19865;162383;2223632; 11 774 ; 13 644 
LUBELSKIE;SIEDLECKI;109659;435115;26601;234582;2863155; 9 321 ; 1 481 
LUBELSKIE;SOKOŁOWSKI;87438;210705;28901;86275;1792977; 156 597 ; 1 028 
LUBELSKIE;TOMASZOWSKI;230108;210529;123170;147491;1234433; 235 075 ; 12 015 
LUBELSKIE;WĘGROWSKI;59699;266641;30665;116876;1765554; 24 994 ; 3 279 
LUBELSKIE;WŁODAWSKI;77499;349454;30939;147546;1734802; 7 473 ; 24 875 
LUBELSKIE;ZAMOJSKI;244950;222092;116205;169963;1621404; 202 202 ; 11 843 
LUBELSKIE;ŁUKOWSKI;58900;466616;41983;186818;2924412; -   ; 20 692 
LWOWSKIE;BRZOZOWSKI;54832;85267;38456;74939;717859; 4 682 ; 54 
