Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza
BIAŁOSTOCKIE;AUGUSTOWSKI; 3 010 ; 16 018 ; 3 361 ; 11 959 ; 9 883 ; -   ; 878 ; 1 ; 1 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 4 402 ; 35 078 ; 5 851 ; 16 295 ; 18 331 ; -   ; 765 ; 57 ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 13 273 ; 57 790 ; 5 621 ; 21 263 ; 30 008 ; -   ; 1 390 ; 207 ; 1 
BIAŁOSTOCKIE;GRODZIEŃSKI; 9 038 ; 55 883 ; 10 852 ; 22 902 ; 24 971 ; -   ; 4 245 ; 39 ; -   
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 5 864 ; 26 178 ; 2 272 ; 6 806 ; 11 397 ; 138 ; 1 313 ; 232 ; 4 
BIAŁOSTOCKIE;OSTROŁĘCKI; 4 217 ; 35 880 ; 1 579 ; 6 256 ; 14 639 ; 68 ; 2 251 ; 348 ; 1 
BIAŁOSTOCKIE;SOKÓLSKI; 3 725 ; 36 392 ; 4 924 ; 19 508 ; 14 645 ; -   ; 1 442 ; 7 ; -   
BIAŁOSTOCKIE;SUWALSKI; 3 778 ; 28 476 ; 5 410 ; 25 359 ; 11 567 ; -   ; 490 ; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 3 884 ; 21 102 ; 3 564 ; 7 788 ; 10 642 ; -   ; 655 ; 71 ; -   
BIAŁOSTOCKIE;WOŁKOWYSKI; 6 934 ; 67 077 ; 11 604 ; 28 217 ; 25 393 ; -   ; 4 420 ; 117 ; 2 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 8 184 ; 24 884 ; 3 666 ; 9 473 ; 11 408 ; 153 ; 156 ; 28 ; 7 
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 11 070 ; 57 675 ; 4 469 ; 17 383 ; 26 522 ; 6 ; 1 915 ; 216 ; 1 
KIELECKIE;BĘDZIŃSKI; 562 ; 10 340 ; 943 ; 1 946 ; 6 776 ; -   ; 11 ; 17 ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 1 974 ; 49 994 ; 2 440 ; 7 993 ; 21 945 ; 40 ; 126 ; 558 ; 5 
KIELECKIE;IŁŻECKI; 5 592 ; 37 055 ; 13 025 ; 19 038 ; 17 502 ; 158 ; 2 165 ; 633 ; -   
KIELECKIE;JĘDRZEJOWSKI; 13 754 ; 24 025 ; 7 377 ; 8 398 ; 14 583 ; 14 ; 35 ; 5 156 ; 9 
KIELECKIE;KIELECKI; 4 873 ; 32 308 ; 5 110 ; 9 135 ; 21 260 ; -   ; 245 ; 407 ; -   
KIELECKIE;KONECKI; 1 419 ; 30 575 ; 2 282 ; 5 659 ; 20 877 ; -   ; 192 ; 382 ; 2 
KIELECKIE;KOZIENICKI; 4 539 ; 38 196 ; 8 449 ; 12 909 ; 15 510 ; 405 ; 1 881 ; 839 ; -   
KIELECKIE;MIECHOWSKI; 19 408 ; 20 943 ; 7 725 ; 14 595 ; 14 033 ; 771 ; 12 ; 425 ; 83 
KIELECKIE;OLKUSKI; 1 505 ; 26 310 ; 5 344 ; 9 040 ; 18 316 ; -   ; 176 ; 11 ; -   
KIELECKIE;OPATOWSKI; 13 249 ; 26 809 ; 11 180 ; 20 413 ; 16 583 ; 1 992 ; 170 ; 555 ; 13 
KIELECKIE;OPOCZYŃSKI; 2 994 ; 46 722 ; 4 160 ; 11 561 ; 20 258 ; -   ; 678 ; 656 ; 3 
KIELECKIE;PIŃCZOWSKI; 14 166 ; 18 393 ; 7 922 ; 8 496 ; 10 705 ; 1 380 ; 91 ; 1 481 ; -   
KIELECKIE;RADOM (MIASTO);;;;;;;;;
KIELECKIE;RADOMSKI; 6 373 ; 57 261 ; 9 376 ; 17 813 ; 24 728 ; -   ; 939 ; 1 148 ; 1 
KIELECKIE;SANDOMIERSKI; 10 816 ; 17 664 ; 7 968 ; 10 534 ; 11 676 ; 1 343 ; 20 ; 1 498 ; 3 
KIELECKIE;SOSNOWIEC;;;;;;;;;
KIELECKIE;STOPNICKI; 13 252 ; 31 771 ; 7 816 ; 12 123 ; 18 453 ; 178 ; 218 ; 1 849 ; 34 
KIELECKIE;WŁOSZCZOWSKI; 8 237 ; 23 528 ; 2 454 ; 5 338 ; 13 982 ; -   ; 46 ; 213 ; 2 
KIELECKIE;ZAWIERCIAŃSKI; 1 574 ; 20 508 ; 2 180 ; 3 432 ; 11 318 ; -   ; 131 ; 25 ; 5 
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 1 043 ; 8 064 ; 758 ; 7 351 ; 7 590 ; 13 ; -   ; -   ; 3 
KRAKOWSKIE;BOCHEŃSKI; 7 948 ; 10 767 ; 3 093 ; 6 990 ; 7 889 ; 22 ; -   ; 167 ; 21 
KRAKOWSKIE;BRZESKI (BRZESKO); 8 236 ; 13 129 ; 4 190 ; 7 780 ; 11 120 ; 22 ; 7 ; 564 ; 108 
KRAKOWSKIE;CHRZANOWSKI; 1 363 ; 12 101 ; 831 ; 4 067 ; 8 913 ; -   ; -   ; 98 ; 4 
KRAKOWSKIE;DĄBROWSKI; 9 038 ; 11 703 ; 3 295 ; 5 786 ; 6 830 ; 34 ; 2 ; 303 ; 336 
KRAKOWSKIE;DĘBICKI; 9 669 ; 20 600 ; 4 177 ; 8 594 ; 13 754 ; 81 ; 51 ; 339 ; 33 
KRAKOWSKIE;GORLICKI; 5 818 ; 9 595 ; 4 843 ; 12 334 ; 8 777 ; -   ; 2 ; 62 ; 1 
KRAKOWSKIE;JASIELSKI; 9 461 ; 12 299 ; 4 543 ; 8 517 ; 10 932 ; -   ; 46 ; 287 ; 27 
KRAKOWSKIE;KRAKOWSKI; 9 788 ; 16 638 ; 2 457 ; 10 470 ; 11 178 ; 113 ; 7 ; 93 ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 6 015 ; 6 575 ; 4 093 ; 10 029 ; 8 202 ; -   ; -   ; 3 ; -   
KRAKOWSKIE;MIELECKI; 7 593 ; 13 463 ; 2 827 ; 7 610 ; 10 448 ; -   ; 85 ; 307 ; 68 
KRAKOWSKIE;MYŚLENICKI; 6 255 ; 9 667 ; 9 244 ; 12 456 ; 10 352 ; -   ; -   ; 23 ; -   
KRAKOWSKIE;NOWOSĄDECKI; 7 332 ; 12 340 ; 9 149 ; 19 070 ; 12 296 ; -   ; -   ; 8 ; 4 
KRAKOWSKIE;NOWOTARSKI; 209 ; 4 637 ; 8 542 ; 32 041 ; 15 309 ; -   ; -   ; -   ; -   
KRAKOWSKIE;TARNOWSKI; 8 357 ; 13 516 ; 2 401 ; 8 517 ; 9 924 ; 22 ; 8 ; 96 ; 19 
KRAKOWSKIE;WADOWICKI; 6 117 ; 13 167 ; 1 464 ; 13 349 ; 12 636 ; 74 ; 1 ; 24 ; 14 
KRAKOWSKIE;ŻYWIECKI; 967 ; 5 637 ; 2 214 ; 13 447 ; 11 664 ; -   ; -   ; -   ; 5 
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 7 173 ; 39 095 ; 3 236 ; 16 427 ; 20 052 ; -   ; 935 ; 448 ; 21 
LUBELSKIE;BIŁGORAJSKI; 5 053 ; 21 349 ; 4 696 ; 10 847 ; 10 146 ; -   ; 4 264 ; 926 ; -   
LUBELSKIE;CHEŁMSKI; 17 400 ; 32 807 ; 10 086 ; 10 736 ; 17 201 ; 676 ; 1 524 ; 476 ; 3 
LUBELSKIE;GARWOLIŃSKI; 5 198 ; 39 588 ; 8 352 ; 13 701 ; 20 290 ; 71 ; 1 789 ; 873 ; 1 
LUBELSKIE;HRUBIESZOWSKI; 25 787 ; 17 944 ; 10 360 ; 13 435 ; 11 949 ; 1 825 ; 1 538 ; 607 ; 17 
LUBELSKIE;JANOWSKI; 12 205 ; 28 669 ; 10 114 ; 17 217 ; 15 586 ; 258 ; 3 937 ; 866 ; 3 
LUBELSKIE;KRASNOSTAWSKI; 23 165 ; 21 165 ; 9 414 ; 11 510 ; 13 286 ; 1 378 ; 1 474 ; 616 ; -   
LUBELSKIE;LUBARTOWSKI; 5 362 ; 33 802 ; 3 247 ; 8 292 ; 15 067 ; 205 ; 5 733 ; 384 ; -   
LUBELSKIE;LUBELSKI; 26 293 ; 33 605 ; 12 815 ; 17 066 ; 19 988 ; 3 855 ; 2 086 ; 554 ; 36 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;
LUBELSKIE;PUŁAWSKI; 8 822 ; 28 552 ; 10 485 ; 9 788 ; 15 453 ; 2 129 ; 3 349 ; 1 236 ; 3 
LUBELSKIE;RADZYŃSKI; 8 213 ; 25 562 ; 1 729 ; 13 725 ; 14 981 ; 119 ; 2 010 ; 495 ; 2 
LUBELSKIE;SIEDLECKI; 8 777 ; 41 640 ; 2 971 ; 16 672 ; 21 234 ; 64 ; 287 ; 155 ; -   
LUBELSKIE;SOKOŁOWSKI; 7 536 ; 24 300 ; 3 182 ; 8 426 ; 15 233 ; 1 105 ; 222 ; 149 ; 6 
LUBELSKIE;TOMASZOWSKI; 16 910 ; 17 083 ; 8 722 ; 10 528 ; 10 554 ; 1 648 ; 1 382 ; 670 ; 32 
LUBELSKIE;WĘGROWSKI; 5 044 ; 23 192 ; 2 295 ; 7 966 ; 13 779 ; 246 ; 401 ; 297 ; -   
LUBELSKIE;WŁODAWSKI; 7 462 ; 36 194 ; 3 252 ; 13 029 ; 15 286 ; 36 ; 4 571 ; 728 ; -   
