Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza
BIAŁOSTOCKIE;AUGUSTOWSKI; 34 115 ; 187 490 ; 38 261 ; 141 176 ; 1 164 502 ; -   ; 4 982 ; 15 ; 25 
BIAŁOSTOCKIE;BIAŁOSTOCKI; 49 946 ; 408 016 ; 66 351 ; 179 899 ; 2 093 099 ; -   ; 3 947 ; 632 ; -   
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 111 235 ; 593 164 ; 45 772 ; 201 301 ; 3 123 823 ; -   ; 9 452 ; 2 494 ; -   
BIAŁOSTOCKIE;GRODZIEŃSKI; 87 581 ; 621 356 ; 95 557 ; 201 370 ; 2 279 189 ; -   ; 25 434 ; 415 ; -   
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 54 491 ; 284 395 ; 24 176 ; 79 717 ; 1 315 647 ; 18 872 ; 10 184 ; 2 532 ; 54 
BIAŁOSTOCKIE;OSTROŁĘCKI; 49 484 ; 406 475 ; 18 463 ; 84 993 ; 1 786 507 ; 10 927 ; 13 941 ; 3 791 ; 8 
BIAŁOSTOCKIE;SOKÓLSKI; 32 823 ; 371 923 ; 38 394 ; 156 331 ; 1 389 465 ; -   ; 6 627 ; 72 ; -   
BIAŁOSTOCKIE;SUWALSKI; 37 204 ; 304 300 ; 54 641 ; 278 775 ; 1 111 484 ; -   ; 2 570 ; -   ; -   
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 48 514 ; 242 986 ; 40 057 ; 94 934 ; 1 216 095 ; -   ; 3 769 ; 1 014 ; -   
BIAŁOSTOCKIE;WOŁKOWYSKI; 46 674 ; 665 874 ; 81 536 ; 211 033 ; 2 510 054 ; -   ; 24 842 ; 1 294 ; 8 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 86 470 ; 300 980 ; 41 230 ; 106 938 ; 1 583 566 ; 29 577 ; 942 ; 397 ; 52 
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 110 027 ; 606 632 ; 45 253 ; 202 454 ; 3 035 397 ; 710 ; 14 900 ; 2 413 ; 8 
KIELECKIE;BĘDZIŃSKI; 6 768 ; 124 093 ; 11 700 ; 27 551 ; 538 754 ; -   ; 77 ; 189 ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;
