Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
BIAŁOSTOCKIE;AUGUSTOWSKI;20293.0;32320.0;43294.0;21524.0;0.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;31317.0;56487.0;36842.0;29472.0;40.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);885.0;1358.0;1873.0;34.0;139.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);46092.0;75922.0;58357.0;92461.0;39.0
BIAŁOSTOCKIE;GRODZIEŃSKI;37566.0;56994.0;33243.0;45686.0;94.0
BIAŁOSTOCKIE;KOLNEŃSKI;19102.0;33630.0;15626.0;15447.0;1.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);14839.0;33118.0;23861.0;5538.0;35.0
BIAŁOSTOCKIE;OSTROŁĘCKI;16699.0;36431.0;17721.0;7199.0;33.0
BIAŁOSTOCKIE;SOKÓLSKI;28531.0;42063.0;30200.0;46106.0;9.0
BIAŁOSTOCKIE;SUWALSKI;22451.0;36184.0;41714.0;23024.0;104.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);16302.0;26146.0;13112.0;9612.0;12.0
BIAŁOSTOCKIE;WOŁKOWYSKI;30348.0;56607.0;29218.0;61433.0;47.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;18236.0;38889.0;24745.0;4758.0;1.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;21860.0;42161.0;26214.0;9541.0;64.0
KIELECKIE;BĘDZIŃSKI;5000.0;11669.0;2339.0;233.0;2685.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);1192.0;1177.0;1580.0;26.0;230.0
KIELECKIE;CZĘSTOCHOWSKI;15716.0;45882.0;23192.0;2524.0;547.0
KIELECKIE;IŁŻECKI;18987.0;47977.0;33126.0;2282.0;306.0
KIELECKIE;JĘDRZEJOWSKI;17017.0;35513.0;14508.0;2674.0;311.0
KIELECKIE;KIELECKI;16086.0;48130.0;14654.0;2110.0;216.0
KIELECKIE;KONECKI;11741.0;40618.0;14608.0;2677.0;199.0
KIELECKIE;KOZIENICKI;18610.0;40982.0;34503.0;1733.0;153.0
KIELECKIE;MIECHOWSKI;23666.0;48978.0;21732.0;1297.0;1057.0
KIELECKIE;OLKUSKI;12638.0;35825.0;11193.0;1849.0;1878.0
KIELECKIE;OPATOWSKI;20665.0;53658.0;36944.0;1801.0;257.0
KIELECKIE;OPOCZYŃSKI;15979.0;38877.0;21312.0;11820.0;111.0
KIELECKIE;PIŃCZOWSKI;21242.0;45220.0;27504.0;18706.0;1157.0
KIELECKIE;RADOMSKI;24226.0;53748.0;35425.0;34379.0;3005.0
KIELECKIE;SANDOMIERSKI;16945.0;40418.0;26748.0;28791.0;1908.0
KIELECKIE;SOSNOWIEC;954.0;826.0;690.0;9.0;1375.0
KIELECKIE;STOPNICKI;23705.0;60496.0;34933.0;25410.0;662.0
KIELECKIE;WŁOSZCZOWSKI;15282.0;30031.0;19074.0;12613.0;1614.0
KIELECKIE;ZAWIERCIAŃSKI;6835.0;25361.0;17638.0;4555.0;1286.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);2914.0;22430.0;11244.0;551.0;1348.0
KRAKOWSKIE;BOCHEŃSKI;9135.0;40683.0;17283.0;348.0;508.0
KRAKOWSKIE;BRZESKI (BRZESKO);9187.0;43322.0;15665.0;312.0;596.0
KRAKOWSKIE;CHRZANOWSKI;4653.0;20248.0;6027.0;195.0;3419.0
KRAKOWSKIE;DĄBROWSKI;10562.0;35994.0;16868.0;29.0;239.0
KRAKOWSKIE;GORLICKI;8041.0;43112.0;11158.0;2250.0;936.0
KRAKOWSKIE;GRYBOWSKI;3642.0;27594.0;8021.0;1400.0;509.0
KRAKOWSKIE;JASIELSKI;9335.0;39961.0;14607.0;1632.0;975.0
KRAKOWSKIE;KRAKOWSKI;9361.0;33796.0;10997.0;413.0;1010.0
KRAKOWSKIE;KRAKÓW (MIASTO);1962.0;1626.0;1023.0;22.0;545.0
KRAKOWSKIE;LIMANOWSKI;4727.0;43224.0;8395.0;3692.0;1301.0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);5143.0;34316.0;5787.0;878.0;1466.0
KRAKOWSKIE;MIELECKI;11399.0;38062.0;17546.0;92.0;114.0
KRAKOWSKIE;MYŚLENICKI;4537.0;29352.0;8847.0;625.0;868.0
KRAKOWSKIE;NOWOSĄDECKI;8600.0;51237.0;17279.0;5864.0;1135.0
KRAKOWSKIE;NOWOTARSKI;12902.0;62496.0;14068.0;26717.0;795.0
KRAKOWSKIE;OŚWIĘCIMSKI;2735.0;14510.0;8052.0;47.0;356.0
KRAKOWSKIE;PILZNEŃSKI;7176.0;25326.0;8803.0;124.0;159.0
KRAKOWSKIE;ROPCZYCKI;11106.0;36636.0;14365.0;99.0;220.0
KRAKOWSKIE;TARNOWSKI;9501.0;37019.0;12679.0;249.0;366.0
KRAKOWSKIE;WADOWICKI;4829.0;36117.0;15759.0;348.0;1186.0
KRAKOWSKIE;WIELICKI;2620.0;11479.0;4115.0;142.0;777.0
KRAKOWSKIE;ŻYWIECKI;4303.0;41135.0;10114.0;3636.0;1123.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);14401.0;26770.0;16891.0;20587.0;14720.0
LUBELSKIE;BIŁGORAJSKI;19260.0;40426.0;28706.0;21589.0;932.0
LUBELSKIE;CHEŁMSKI;26808.0;42846.0;30657.0;34504.0;991.0
LUBELSKIE;GARWOLIŃSKI;21103.0;49650.0;35423.0;49288.0;2363.0
LUBELSKIE;HRUBIESZOWSKI;29235.0;35009.0;30171.0;1958.0;59.0
LUBELSKIE;JANOWSKI;23279.0;51508.0;38811.0;2351.0;43.0
LUBELSKIE;KONSTANTYNOWSKI;14550.0;22356.0;24533.0;13666.0;32.0
LUBELSKIE;KRASNOSTAWSKI;24958.0;44190.0;37214.0;1438.0;42.0
LUBELSKIE;LUBARTOWSKI;16094.0;30490.0;35812.0;1017.0;45.0
