Region;District;Konie;Byd≥o rogate;Trzoda chlewna;Owce;Kozy
BIA£OSTOCKIE;AUGUSTOWSKI;14800.0;26855.0;24599.0;15866.0;15.0
BIA£OSTOCKIE;BIA£OSTOCKI;28828.0;53750.0;38827.0;27019.0;57.0
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);1218.0;1564.0;2908.0;62.0;190.0
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);43599.0;75097.0;56040.0;85359.0;135.0
BIA£OSTOCKIE;GRODZIE—SKI;36312.0;55439.0;36710.0;50946.0;112.0
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);14741.0;33566.0;21982.0;5664.0;38.0
BIA£OSTOCKIE;OSTRO£ CKI;21339.0;47254.0;22728.0;9693.0;20.0
BIA£OSTOCKIE;SOK”LSKI;26602.0;41031.0;30665.0;45089.0;10.0
BIA£OSTOCKIE;SUWALSKI;23048.0;36768.0;37281.0;24158.0;90.0
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);15242.0;25298.0;14559.0;5577.0;1.0
BIA£OSTOCKIE;WO£KOWYSKI;29535.0;56232.0;35824.0;60734.0;50.0
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;18186.0;39654.0;21736.0;4247.0;17.0
BIA£OSTOCKIE;£OMØY—SKI;33244.0;62911.0;40385.0;14059.0;67.0
KIELECKIE;B DZI—SKI;4779.0;11339.0;2338.0;336.0;4119.0
KIELECKIE;CZ STOCHOWA (MIASTO);1081.0;1049.0;1452.0;64.0;208.0
KIELECKIE;CZ STOCHOWSKI;15535.0;44406.0;16397.0;3281.0;890.0
KIELECKIE;I£ØECKI;17833.0;48156.0;25256.0;2080.0;406.0
KIELECKIE;J DRZEJOWSKI;16467.0;36344.0;13033.0;2690.0;351.0
KIELECKIE;KIELECKI;14881.0;46862.0;9629.0;2265.0;325.0
KIELECKIE;KONECKI;10692.0;41058.0;10882.0;2751.0;270.0
KIELECKIE;KOZIENICKI;17873.0;41337.0;28122.0;1508.0;157.0
KIELECKIE;MIECHOWSKI;23174.0;47590.0;19454.0;1295.0;1529.0
KIELECKIE;OLKUSKI;12225.0;36632.0;8675.0;2243.0;2072.0
KIELECKIE;OPATOWSKI;19413.0;51701.0;26308.0;1642.0;282.0
KIELECKIE;OPOCZY—SKI;14937.0;38867.0;19205.0;13633.0;94.0
KIELECKIE;PI—CZOWSKI;20867.0;42519.0;15103.0;994.0;616.0
KIELECKIE;RADOM (MIASTO);579.0;614.0;193.0;0.0;57.0
KIELECKIE;RADOMSKI;22573.0;55320.0;32192.0;4733.0;87.0
KIELECKIE;SANDOMIERSKI;15718.0;38965.0;22793.0;1815.0;175.0
KIELECKIE;SOSNOWIEC;825.0;769.0;153.0;14.0;808.0
KIELECKIE;STOPNICKI;21443.0;54097.0;18135.0;333.0;113.0
KIELECKIE;W£OSZCZOWSKI;14988.0;32431.0;11732.0;1747.0;175.0
KIELECKIE;ZAWIERCIA—SKI;6575.0;24920.0;2836.0;1764.0;1081.0
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);4773.0;27478.0;13412.0;700.0;1544.0
KRAKOWSKIE;BOCHE—SKI;8845.0;38327.0;15765.0;309.0;504.0
KRAKOWSKIE;BRZESKI (BRZESKO);8929.0;39558.0;12127.0;276.0;555.0
KRAKOWSKIE;CHRZANOWSKI;4320.0;18742.0;4494.0;233.0;3431.0
KRAKOWSKIE;D•BROWSKI;9934.0;30961.0;11044.0;147.0;248.0
KRAKOWSKIE;GORLICKI;8955.0;49697.0;11831.0;2290.0;1202.0
KRAKOWSKIE;JASIELSKI;11729.0;47214.0;15458.0;2119.0;1476.0
KRAKOWSKIE;KRAKOWSKI;11532.0;41191.0;12563.0;444.0;1866.0
KRAKOWSKIE;KRAK”W (MIASTO);1816.0;1969.0;1184.0;15.0;454.0
KRAKOWSKIE;LIMANOWSKI;4814.0;41544.0;7216.0;4388.0;912.0
KRAKOWSKIE;MIELECKI;10990.0;36610.0;12759.0;87.0;119.0
KRAKOWSKIE;MYåLENICKI;7343.0;43514.0;11164.0;1181.0;1592.0
KRAKOWSKIE;NOWOS•DECKI;10501.0;65802.0;18062.0;6878.0;1398.0
KRAKOWSKIE;NOWOTARSKI;12659.0;65019.0;12967.0;28779.0;827.0
KRAKOWSKIE;ROPCZYCKI;15157.0;50907.0;13098.0;269.0;369.0
KRAKOWSKIE;TARNOWSKI;10430.0;40011.0;12363.0;342.0;532.0
KRAKOWSKIE;WADOWICKI;7522.0;50630.0;18266.0;1108.0;2089.0
KRAKOWSKIE;ØYWIECKI;4689.0;46238.0;8722.0;3081.0;1527.0
LUBELSKIE;BIALSKI (BIA£A PODLASKA);20870.0;39746.0;38167.0;21281.0;103.0
LUBELSKIE;BI£GORAJSKI;18229.0;43407.0;18231.0;1464.0;60.0
LUBELSKIE;CHE£MSKI;25755.0;47328.0;32615.0;1285.0;39.0
LUBELSKIE;GARWOLI—SKI;20655.0;50163.0;46780.0;2191.0;181.0
LUBELSKIE;HRUBIESZOWSKI;29507.0;39938.0;28626.0;2175.0;52.0
LUBELSKIE;JANOWSKI;21959.0;54041.0;30973.0;2233.0;95.0
LUBELSKIE;KRASNOSTAWSKI;24612.0;46899.0;28673.0;1304.0;92.0
LUBELSKIE;LUBARTOWSKI;15764.0;33504.0;36337.0;728.0;79.0
LUBELSKIE;LUBELSKI;25294.0;61282.0;45907.0;4315.0;66.0
LUBELSKIE;LUBLIN (MIASTO);1003.0;1023.0;1000.0;17.0;68.0
LUBELSKIE;PU£AWSKI;19459.0;43772.0;38468.0;1456.0;132.0
LUBELSKIE;RADZY—SKI;18111.0;30723.0;29996.0;4665.0;11.0
LUBELSKIE;SIEDLECKI;23254.0;45227.0;39545.0;12387.0;91.0
LUBELSKIE;SOKO£OWSKI;14401.0;32209.0;21342.0;3569.0;49.0
LUBELSKIE;TOMASZOWSKI;22529.0;35976.0;21934.0;1011.0;105.0
