Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
BIAŁOSTOCKIE;AUGUSTOWSKI;14340.0;25513.0;23682.0;15870.0;11.0
BIAŁOSTOCKIE;BIAŁOSTOCKI;27421.0;47939.0;30138.0;24663.0;53.0
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);1043.0;1165.0;1896.0;274.0;157.0
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);41844.0;68648.0;45029.0;81540.0;96.0
BIAŁOSTOCKIE;GRODZIEŃSKI;34111.0;52336.0;31902.0;54145.0;102.0
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);14191.0;30786.0;20834.0;4951.0;23.0
BIAŁOSTOCKIE;OSTROŁĘCKI;20717.0;47282.0;23214.0;9008.0;26.0
BIAŁOSTOCKIE;SOKÓLSKI;24186.0;37618.0;26838.0;45837.0;8.0
BIAŁOSTOCKIE;SUWALSKI;21633.0;32149.0;33073.0;19941.0;70.0
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);13640.0;21937.0;12675.0;5040.0;5.0
BIAŁOSTOCKIE;WOŁKOWYSKI;28561.0;53744.0;30661.0;64810.0;62.0
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;17115.0;34208.0;17188.0;3278.0;20.0
BIAŁOSTOCKIE;ŁOMŻYŃSKI;31777.0;57999.0;35091.0;12063.0;45.0
KIELECKIE;BĘDZIŃSKI;5048.0;11005.0;2265.0;248.0;6414.0
KIELECKIE;CZĘSTOCHOWA (MIASTO);1073.0;1020.0;1690.0;60.0;230.0
KIELECKIE;CZĘSTOCHOWSKI;15078.0;42197.0;18488.0;3081.0;1341.0
KIELECKIE;IŁŻECKI;16954.0;44723.0;26230.0;1455.0;364.0
KIELECKIE;JĘDRZEJOWSKI;15152.0;32231.0;14914.0;2558.0;403.0
KIELECKIE;KIELECKI;14291.0;43775.0;13166.0;2083.0;346.0
KIELECKIE;KONECKI;10492.0;4263.0;15376.0;2895.0;313.0
KIELECKIE;KOZIENICKI;16898.0;3973.0;32092.0;1638.0;198.0
KIELECKIE;MIECHOWSKI;22440.0;6823.0;21850.0;1356.0;1759.0
KIELECKIE;OLKUSKI;12115.0;4547.0;11571.0;2084.0;2678.0
KIELECKIE;OPATOWSKI;18437.0;6242.0;29817.0;1445.0;537.0
KIELECKIE;OPOCZYŃSKI;14126.0;4146.0;22346.0;14282.0;132.0
KIELECKIE;PIŃCZOWSKI;19745.0;6276.0;16742.0;1151.0;656.0
KIELECKIE;RADOM (MIASTO);653.0;37.0;426.0;3.0;79.0
KIELECKIE;RADOMSKI;21317.0;6345.0;34467.0;3527.0;58.0
KIELECKIE;SANDOMIERSKI;14846.0;5495.0;24891.0;1872.0;208.0
KIELECKIE;SOSNOWIEC;650.0;519.0;167.0;21.0;1146.0
KIELECKIE;STOPNICKI;20253.0;8160.0;21428.0;335.0;211.0
KIELECKIE;WŁOSZCZOWSKI;13934.0;4212.0;14554.0;1810.0;252.0
KIELECKIE;ZAWIERCIAŃSKI;6514.0;3044.0;3839.0;1923.0;1771.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);4400.0;26063.0;13987.0;684.0;1752.0
KRAKOWSKIE;BOCHEŃSKI;8174.0;36074.0;15281.0;384.0;565.0
KRAKOWSKIE;BRZESKI (BRZESKO);8101.0;36240.0;12129.0;244.0;711.0
KRAKOWSKIE;CHRZANOWSKI;4444.0;17874.0;5874.0;186.0;3956.0
KRAKOWSKIE;DĄBROWSKI;8982.0;29211.0;11784.0;79.0;350.0
KRAKOWSKIE;GORLICKI;8571.0;47122.0;11530.0;3161.0;1413.0
KRAKOWSKIE;JASIELSKI;10589.0;43267.0;14632.0;2362.0;1771.0
KRAKOWSKIE;KRAKOWSKI;11334.0;40102.0;13822.0;538.0;2156.0
KRAKOWSKIE;KRAKÓW (MIASTO);1678.0;1251.0;966.0;12.0;480.0
KRAKOWSKIE;LIMANOWSKI;4751.0;41040.0;7768.0;4857.0;1050.0
KRAKOWSKIE;MIELECKI;10061.0;33844.0;12918.0;66.0;144.0
KRAKOWSKIE;MYŚLENICKI;7256.0;43069.0;11637.0;1713.0;1916.0
KRAKOWSKIE;NOWOSĄDECKI;10140.0;64592.0;19442.0;7465.0;1617.0
KRAKOWSKIE;NOWOTARSKI;12689.0;64148.0;15125.0;30037.0;937.0
KRAKOWSKIE;ROPCZYCKI;14440.0;49015.0;13570.0;215.0;524.0
KRAKOWSKIE;TARNOWSKI;9682.0;38078.0;11615.0;337.0;570.0
KRAKOWSKIE;WADOWICKI;7677.0;49332.0;19249.0;1305.0;2396.0
KRAKOWSKIE;ŻYWIECKI;4762.0;46321.0;9814.0;3453.0;1990.0
LUBELSKIE;BIALSKI (BIAŁA PODLASKA);19774.0;3182.0;32158.0;20353.0;47.0
LUBELSKIE;BIŁGORAJSKI;16905.0;5166.0;20130.0;1949.0;69.0
LUBELSKIE;CHEŁMSKI;24694.0;3795.0;33807.0;1512.0;66.0
LUBELSKIE;GARWOLIŃSKI;20103.0;46820.0;46419.0;2543.0;231.0
LUBELSKIE;HRUBIESZOWSKI;27458.0;38478.0;30583.0;2393.0;39.0
LUBELSKIE;JANOWSKI;20179.0;50218.0;34854.0;2115.0;130.0
LUBELSKIE;KRASNOSTAWSKI;23702.0;44752.0;32450.0;1160.0;82.0
LUBELSKIE;LUBARTOWSKI;14851.0;30652.0;36157.0;724.0;83.0
LUBELSKIE;LUBELSKI;23447.0;56564.0;48163.0;3948.0;38.0
LUBELSKIE;LUBLIN (MIASTO);939.0;994.0;1458.0;32.0;107.0
LUBELSKIE;PUŁAWSKI;18667.0;41676.0;42648.0;1533.0;179.0
LUBELSKIE;RADZYŃSKI;17313.0;28777.0;32294.0;5052.0;28.0
LUBELSKIE;SIEDLECKI;22908.0;41883.0;37542.0;12378.0;211.0
LUBELSKIE;SOKOŁOWSKI;14111.0;30448.0;22377.0;4058.0;63.0
LUBELSKIE;TOMASZOWSKI;21223.0;34748.0;22147.0;896.0;122.0
LUBELSKIE;WĘGROWSKI;13085.0;32079.0;18644.0;1125.0;41.0
LUBELSKIE;WŁODAWSKI;21985.0;43289.0;37213.0;6274.0;132.0
LUBELSKIE;ZAMOJSKI;23560.0;39231.0;25539.0;790.0;134.0
LUBELSKIE;ŁUKOWSKI;18366.0;38308.0;40107.0;5074.0;99.0
LWOWSKIE;BRZOZOWSKI;7592.0;33623.0;7328.0;314.0;911.0
LWOWSKIE;BÓBRECKI;12373.0;27462.0;12048.0;217.0;355.0
LWOWSKIE;DOBROMILSKI;8503.0;31022.0;6139.0;335.0;769.0
LWOWSKIE;DROHOBYCKI;17012.0;45157.0;12354.0;4397.0;992.0
LWOWSKIE;GRÓDECKI;11903.0;24898.0;9316.0;748.0;58.0
LWOWSKIE;JAROSŁAWSKI;20513.0;46666.0;15386.0;497.0;360.0
LWOWSKIE;JAWOROWSKI;14419.0;28909.0;11116.0;2200.0;24.0
LWOWSKIE;KOLBUSZOWSKI;8104.0;30646.0;5909.0;20.0;38.0
LWOWSKIE;KROŚNIEŃSKI;9052.0;40505.0;10123.0;1758.0;793.0
LWOWSKIE;LESKI;12399.0;46433.0;9936.0;6894.0;885.0
LWOWSKIE;LUBACZOWSKI;13780.0;27872.0;14423.0;3636.0;19.0
LWOWSKIE;LWOWSKI;20408.0;45537.0;1252.0;115.0;186.0
LWOWSKIE;LWÓW (MIASTO);2149.0;2696.0;604.0;10.0;256.0
LWOWSKIE;MOŚCISKI;14037.0;30411.0;15123.0;553.0;75.0
LWOWSKIE;NIŻAŃSKI;7316.0;22363.0;9617.0;302.0;86.0
LWOWSKIE;PRZEMYSKI;15388.0;42631.0;10545.0;543.0;498.0
LWOWSKIE;PRZEWORSKI;7420.0;22942.0;8006.0;174.0;312.0
LWOWSKIE;RAWSKI (RAWA RUSKA);16862.0;33919.0;17567.0;4422.0;76.0
LWOWSKIE;RUDECKI;12770.0;25364.0;10511.0;42.0;20.0
LWOWSKIE;RZESZOWSKI;15708.0;67578.0;21413.0;296.0;901.0
LWOWSKIE;SAMBORSKI;20446.0;50620.0;14711.0;801.0;297.0
LWOWSKIE;SANOCKI;12941.0;39933.0;8132.0;3093.0;1260.0
LWOWSKIE;SOKALSKI;22215.0;29868.0;28455.0;22466.0;78.0
LWOWSKIE;TARNOBRZESKI;10280.0;26375.0;13526.0;262.0;157.0
LWOWSKIE;TURCZAŃSKI;12173.0;46422.0;8998.0;15343.0;1280.0
LWOWSKIE;ŁAŃCUCKI;11981.0;38209.0;11214.0;821.0;289.0
LWOWSKIE;ŻÓŁKIEWSKI;14634.0;28898.0;16148.0;582.0;96.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;
NOWOGRÓDZKIE;BARANOWICKI;24175.0;48352.0;23670.0;24953.0;248.0
NOWOGRÓDZKIE;LIDZKI;32484.0;67337.0;33930.0;58009.0;83.0
NOWOGRÓDZKIE;NIEŚWIESKI;20081.0;40645.0;30612.0;35027.0;128.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;25487.0;51502.0;31818.0;36574.0;73.0
NOWOGRÓDZKIE;STOŁPECKI;15725.0;33866.0;26761.0;29290.0;51.0
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);18663.0;37130.0;13333.0;33314.0;19.0
NOWOGRÓDZKIE;SŁONIMSKI;22100.0;43569.0;26644.0;52783.0;140.0
NOWOGRÓDZKIE;WOŁOŻYŃSKI;19012.0;41604.0;33984.0;33238.0;50.0
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);31525.0;68764.0;38428.0;68603.0;302.0
POLESKIE;DROHICKI;15306.0;42109.0;24377.0;38491.0;89.0
POLESKIE;IWACEWICKI;13566.0;32139.0;15700.0;21825.0;68.0
POLESKIE;KOBRYŃSKI;18606.0;63574.0;28842.0;63549.0;128.0
POLESKIE;KOSZYRSKI;12890.0;49668.0;15041.0;59122.0;15.0
POLESKIE;PIŃSKI;26310.0;73258.0;32076.0;59503.0;313.0
POLESKIE;PRUŻAŃSKI;18625.0;39459.0;24764.0;46035.0;207.0
POLESKIE;STOLIŃSKI;18677.0;57931.0;20392.0;25398.0;102.0
POLESKIE;ŁUNINIECKI;17116.0;51397.0;22549.0;35814.0;240.0
POMORSKIE;BRODNICKI;10110.0;5003.0;29061.0;8022.0;840.0
POMORSKIE;CHEŁMIŃSKI;9845.0;4022.0;27499.0;16681.0;1008.0
POMORSKIE;CHOJNICKI;8628.0;25688.0;27421.0;11871.0;1782.0
POMORSKIE;DZIAŁDOWSKI;7580.0;20753.0;18976.0;4341.0;667.0
POMORSKIE;GDYNIA (MIASTO);568.0;300.0;156.0;34.0;0.0
POMORSKIE;GRUDZIĄDZ (MIASTO);424.0;280.0;265.0;0.0;104.0
POMORSKIE;GRUDZIĄDZKI;11483.0;26636.0;30151.0;11462.0;941.0
POMORSKIE;KARTUSKI;9794.0;26081.0;34269.0;9357.0;1016.0
POMORSKIE;KOŚCIERSKI;7711.0;22236.0;26128.0;9539.0;1271.0
POMORSKIE;LUBAWSKI;10904.0;27944.0;27109.0;4643.0;1556.0
POMORSKIE;MORSKI;8854.0;24611.0;27511.0;10693.0;744.0
POMORSKIE;STAROGARDZKI;8138.0;19855.0;23470.0;7591.0;2348.0
POMORSKIE;SĘPOLEŃSKI;6186.0;19648.0;24690.0;14428.0;1274.0
POMORSKIE;TCZEWSKI;9554.0;19783.0;18906.0;8260.0;1925.0
POMORSKIE;TORUŃ (MIASTO);531.0;340.0;403.0;4.0;176.0
POMORSKIE;TORUŃSKI;9876.0;24710.0;24330.0;10924.0;1090.0
POMORSKIE;TUCHOLSKI;6264.0;17310.0;22623.0;5546.0;1869.0
POMORSKIE;WĄBRZESKI;10555.0;26625.0;28025.0;4655.0;930.0
POMORSKIE;ŚWIECKI;14197.0;34952.0;54657.0;8189.0;3472.0
POZNAŃSKIE;BYDGOSKI;10820.0;30144.0;35755.0;7918.0;1930.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);1481.0;1118.0;1207.0;10.0;1301.0
POZNAŃSKIE;CHODZIESKI;7738.0;22306.0;30194.0;3670.0;3072.0
POZNAŃSKIE;CZARNKOWSKI;4746.0;12904.0;18770.0;1860.0;2996.0
POZNAŃSKIE;GNIEZNO (MIASTO);306.0;164.0;486.0;2.0;260.0
POZNAŃSKIE;GNIEŹNIEŃSKI;12533.0;36479.0;47023.0;6168.0;2996.0
POZNAŃSKIE;GOSTYŃSKI;8155.0;26082.0;27067.0;5123.0;2482.0
POZNAŃSKIE;INOWROCŁAW (MIASTO);413.0;224.0;553.0;6.0;204.0
POZNAŃSKIE;INOWROCŁAWSKI;10933.0;30501.0;32268.0;9427.0;1947.0
POZNAŃSKIE;JAROCIŃSKI;13952.0;40292.0;39542.0;9250.0;4753.0
POZNAŃSKIE;KOŚCIAŃSKI;14125.0;45411.0;45906.0;6889.0;5723.0
POZNAŃSKIE;KROTOSZYŃSKI;12286.0;38270.0;34318.0;3476.0;3173.0
POZNAŃSKIE;KĘPIŃSKI;13588.0;38649.0;36334.0;2091.0;5658.0
POZNAŃSKIE;LESZCZYŃSKI;7551.0;26252.0;29358.0;1093.0;3104.0
POZNAŃSKIE;MIĘDZYCHODZKI;4996.0;14381.0;16486.0;1281.0;2654.0
POZNAŃSKIE;MOGILEŃSKI;16781.0;44451.0;47613.0;13264.0;5245.0
POZNAŃSKIE;NOWOTOMYSKI;11937.0;5368.0;49229.0;4879.0;7867.0
POZNAŃSKIE;OBORNICKI;10423.0;5266.0;46640.0;7420.0;3631.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);9620.0;4745.0;31162.0;1433.0;4187.0
POZNAŃSKIE;POZNAŃ (MIASTO);2229.0;66.0;876.0;4.0;766.0
POZNAŃSKIE;POZNAŃSKI;13325.0;5438.0;41899.0;3248.0;5333.0
POZNAŃSKIE;RAWICKI;5954.0;3604.0;21724.0;273.0;2321.0
POZNAŃSKIE;SZAMOTULSKI;10500.0;4873.0;37725.0;7640.0;4870.0
POZNAŃSKIE;SZUBIŃSKI;9338.0;4256.0;31964.0;5787.0;1482.0
POZNAŃSKIE;WOLSZTYŃSKI;6804.0;3764.0;28468.0;1582.0;5162.0
POZNAŃSKIE;WRZESIŃSKI;7602.0;3861.0;27127.0;1595.0;2070.0
POZNAŃSKIE;WYRZYSKI;12388.0;6304.0;42083.0;17076.0;2483.0
POZNAŃSKIE;WĄGROWIECKI;11383.0;5204.0;43315.0;4994.0;2876.0
POZNAŃSKIE;ŚREDZKI;9950.0;4392.0;31803.0;3889.0;2147.0
POZNAŃSKIE;ŚREMSKI;9393.0;4318.0;26745.0;3291.0;2090.0
POZNAŃSKIE;ŻNIŃSKI;8600.0;4214.0;33850.0;3643.0;2230.0
STANISŁAWOWSKIE;DOLIŃSKI;9428.0;40053.0;9930.0;19621.0;793.0
STANISŁAWOWSKIE;HORODEŃSKI;15668.0;23339.0;18248.0;18547.0;1015.0
STANISŁAWOWSKIE;KAŁUSKI;8801.0;30333.0;11344.0;4664.0;593.0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);6081.0;31462.0;12136.0;56748.0;2215.0
STANISŁAWOWSKIE;KOŁOMYJSKI;16215.0;42984.0;24376.0;18354.0;3175.0
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;10370.0;31714.0;11704.0;17069.0;2278.0
STANISŁAWOWSKIE;ROHATYŃSKI;17245.0;39580.0;19562.0;847.0;1068.0
STANISŁAWOWSKIE;STANISŁAWOWSKI;13155.0;39243.0;14339.0;759.0;1389.0
STANISŁAWOWSKIE;STRYJSKI;11801.0;42620.0;11137.0;9138.0;590.0
STANISŁAWOWSKIE;TŁUMACKI;13159.0;32124.0;16397.0;3362.0;1015.0
STANISŁAWOWSKIE;ŚNIATYŃSKI;8675.0;19975.0;13958.0;11342.0;2582.0
STANISŁAWOWSKIE;ŻYDACZOWSKI;10389.0;29863.0;8663.0;156.0;175.0
TARNOPOLSKIE;BORSZCZOWSKI;16373.0;27981.0;23387.0;17829.0;897.0
TARNOPOLSKIE;BRODZKI;13364.0;27460.0;19718.0;5811.0;201.0
TARNOPOLSKIE;BRZEŻAŃSKI;17473.0;30029.0;15386.0;2206.0;715.0
TARNOPOLSKIE;BUCZACKI;18460.0;39718.0;18112.0;2674.0;1394.0
TARNOPOLSKIE;CZORTKOWSKI;12273.0;21802.0;16487.0;937.0;723.0
TARNOPOLSKIE;KAMIONECKI;13445.0;26792.0;18113.0;2437.0;81.0
TARNOPOLSKIE;KOPYCZYNIECKI;16308.0;28333.0;21209.0;1277.0;886.0
TARNOPOLSKIE;PODHAJECKI;15926.0;31249.0;14633.0;1292.0;1383.0
TARNOPOLSKIE;PRZEMYŚLAŃSKI;13474.0;28577.0;14463.0;607.0;357.0
TARNOPOLSKIE;RADZIECHOWSKI;12953.0;21989.0;22206.0;10185.0;55.0
TARNOPOLSKIE;SKAŁACKI;16882.0;24467.0;19042.0;1257.0;329.0
TARNOPOLSKIE;TARNOPOLSKI;22201.0;34524.0;19754.0;1181.0;508.0
TARNOPOLSKIE;TREMBOWELSKI;12045.0;21808.0;13330.0;291.0;254.0
TARNOPOLSKIE;ZALESZCZYCKI;11018.0;16913.0;13459.0;12686.0;742.0
TARNOPOLSKIE;ZBARASKI;15100.0;21875.0;13350.0;6361.0;148.0
TARNOPOLSKIE;ZBOROWSKI;14136.0;25943.0;18079.0;1501.0;371.0
TARNOPOLSKIE;ZŁOCZOWSKI;15763.0;32553.0;16048.0;1363.0;202.0
WARSZAWSKIE;BŁOŃSKI;12016.0;30101.0;19926.0;590.0;125.0
WARSZAWSKIE;CIECHANOWSKI;15316.0;32014.0;15294.0;1853.0;15.0
WARSZAWSKIE;GOSTYNIŃSKI;11638.0;29812.0;19335.0;1743.0;462.0
WARSZAWSKIE;GRÓJECKI;19672.0;42169.0;35758.0;2004.0;123.0
WARSZAWSKIE;KUTNOWSKI;13919.0;33070.0;20976.0;1224.0;328.0
WARSZAWSKIE;LIPNOWSKI;16938.0;42447.0;32571.0;4303.0;527.0
