Region;District;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Pozostające do odbudowy 01-01-1923;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Zniszczone w ogóle
;AUGUSTOWSKI;0;0
;BARANOWICKI;0;0
;BIALSKI (BIAŁA KRAKOWSKA);0;0
;BIALSKI (BIAŁA PODLASKA);0;0
;BIAŁOSTOCKI;0;0
;BIAŁOWIESKI;0;0
;BIELSKI (BIELSK PODLASKI);0;0
ŚLĄSKIE;BIELSKI (BIELSKO);0;0
ŚLĄSKIE;BIELSKO (MIASTO);0;0
;BIŁGORAJSKI;0;0
;BOCHEŃSKI;0;0
;BOHORODCZAŃSKI;0;0
;BORSZCZOWSKI;0;0
ZIEMIA WILEŃSKA;BRASŁAWSKI;4663;8628
;BRODNICKI;0;0
;BRODZKI;0;0
;BRZESKI (BRZESKO);0;0
;BRZESKI (BRZEŚĆ N.BUG.);0;0
;BRZEZIŃSKI;0;0
;BRZEŻAŃSKI;0;0
;BRZOZOWSKI;0;0
;BUCZACKI;0;0
;BYDGOSKI;0;0
;BYDGOSZCZ (MIASTO);0;0
;BÓBRECKI;0;0
;BĘDZIŃSKI;0;0
;BŁOŃSKI;0;0
;CHEŁMIŃSKI;0;0
;CHEŁMSKI;0;0
;CHODZIESKI;0;0
;CHOJNICKI;0;0
;CHRZANOWSKI;0;0
;CIECHANOWSKI;0;0
;CIESZANOWSKI;0;0
ŚLĄSKIE;CIESZYŃSKI;0;0
;CZARNKOWSKI;0;0
;CZORTKOWSKI;0;0
;CZĘSTOCHOWSKI;0;0
;DOBROMILSKI;0;0
;DOLIŃSKI;0;0
;DROHICKI;0;0
;DROHOBYCKI;0;0
;DUBIEŃSKI;0;0
ZIEMIA WILEŃSKA;DUNIŁOWICKI;4913;8350
;DZIAŁDOWSKI;0;0
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;3287;4191
;DĄBROWSKI;0;0
;GARWOLIŃSKI;0;0
;GNIEWSKI;0;0
;GNIEŹNIEŃSKI;0;0
;GORLICKI;0;0
;GOSTYNIŃSKI;0;0
;GOSTYŃSKI;0;0
;GRODZIEŃSKI;0;0
;GRODZISKI;0;0
;GRUDZIĄDZ (MIASTO);0;0
;GRUDZIĄDZKI;0;0
;GRYBOWSKI;0;0
;GRÓDECKI;0;0
;GRÓJECKI;0;0
;HOROCHOWSKI;0;0
;HORODEŃSKI;0;0
;HRUBIESZOWSKI;0;0
;HUSIATYŃSKI;0;0
;INOWROCŁAWSKI;0;0
;IŁŻECKI;0;0
;JANOWSKI;0;0
;JAROCIŃSKI;0;0
;JAROSŁAWSKI;0;0
;JASIELSKI;0;0
;JAWOROWSKI;0;0
;JĘDRZEJOWSKI;0;0
;KALISKI;0;0
;KAMIONECKI;0;0
;KARTUSKI;0;0
ŚLĄSKIE;KATOWICE (MIASTO);0;0
ŚLĄSKIE;KATOWICKI;0;0
;KAŁUSKI;0;0
;KIELECKI;0;0
;KOBRYŃSKI;0;0
;KOLBUSZOWSKI;0;0
;KOLNEŃSKI;0;0
;KOLSKI;0;0
;KONECKI;0;0
;KONIŃSKI;0;0
;KONSTANTYNOWSKI;0;0
;KOSOWSKI (KOSÓW HUCULSKI);0;0
;KOSOWSKI (KOSÓW POLESKI);0;0
;KOSZYRSKI;0;0
;KOWELSKI;0;0
;KOZIENICKI;0;0
;KOŁOMYJSKI;0;0
;KOŚCIAŃSKI;0;0
;KOŚCIERSKI;0;0
;KOŹMIŃSKI;0;0
;KRAKOWSKI;0;0
;KRAKÓW (MIASTO);0;0
;KRASNOSTAWSKI;0;0
;KROTOSZYŃSKI;0;0
;KROŚNIEŃSKI;0;0
;KRZEMIENIECKI;0;0
ŚLĄSKIE;KRÓLEWSKA HUTA;0;0
;KUTNOWSKI;0;0
;KĘPIŃSKI;0;0
;LESKI;0;0
;LESZCZYŃSKI;0;0
;LIDZKI;0;0
;LIMANOWSKI;0;0
;LIPNOWSKI;0;0
;LUBARTOWSKI;0;0
;LUBAWSKI;0;0
;LUBELSKI;0;0
;LUBLIN (MIASTO);0;0
ŚLĄSKIE;LUBLINIECKI;0;0
;LUBOMELSKI;0;0
;LWOWSKI;0;0
;LWÓW (MIASTO);0;0
;M. ST. WARSZAWA;0;0
;MAKOWSKI (MAKÓW MAZOWIECKI);0;0
;MIECHOWSKI;0;0
;MIELECKI;0;0
;MIĘDZYCHODZKI;0;0
;MIŃSKI;0;0
;MOGILEŃSKI;0;0
;MOŚCISKI;0;0
;MYŚLENICKI;0;0
;MŁAWSKI;0;0
;NADWÓRNIAŃSKI;0;0
;NIESZAWSKI;0;0
;NIEŚWIESKI;0;0
;NIŻAŃSKI;0;0
;NOWOGRÓDZKI;0;0
;NOWOSĄDECKI;0;0
;NOWOTARSKI;0;0
;NOWOTOMYSKI;0;0
;OBORNICKI;0;0
;ODOLANOWSKI;0;0
;OLKUSKI;0;0
