Region;District;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Pozostajπce do odbudowy 01-01-1923;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Zniszczone w ogÛle
;AUGUSTOWSKI;0;0
;BARANOWICKI;0;0
;BIALSKI (BIA£A KRAKOWSKA);0;0
;BIALSKI (BIA£A PODLASKA);0;0
;BIA£OSTOCKI;0;0
;BIA£OWIESKI;0;0
;BIELSKI (BIELSK PODLASKI);0;0
åL•SKIE;BIELSKI (BIELSKO);0;0
åL•SKIE;BIELSKO (MIASTO);0;0
;BI£GORAJSKI;0;0
;BOCHE—SKI;0;0
;BOHORODCZA—SKI;0;0
;BORSZCZOWSKI;0;0
ZIEMIA WILE—SKA;BRAS£AWSKI;4663;8628
;BRODNICKI;0;0
;BRODZKI;0;0
;BRZESKI (BRZESKO);0;0
;BRZESKI (BRZEå∆ N.BUG.);0;0
;BRZEZI—SKI;0;0
;BRZEØA—SKI;0;0
;BRZOZOWSKI;0;0
;BUCZACKI;0;0
;BYDGOSKI;0;0
;BYDGOSZCZ (MIASTO);0;0
;B”BRECKI;0;0
;B DZI—SKI;0;0
;B£O—SKI;0;0
;CHE£MI—SKI;0;0
;CHE£MSKI;0;0
;CHODZIESKI;0;0
;CHOJNICKI;0;0
;CHRZANOWSKI;0;0
;CIECHANOWSKI;0;0
;CIESZANOWSKI;0;0
åL•SKIE;CIESZY—SKI;0;0
;CZARNKOWSKI;0;0
;CZORTKOWSKI;0;0
;CZ STOCHOWSKI;0;0
;DOBROMILSKI;0;0
;DOLI—SKI;0;0
;DROHICKI;0;0
;DROHOBYCKI;0;0
;DUBIE—SKI;0;0
ZIEMIA WILE—SKA;DUNI£OWICKI;4913;8350
;DZIA£DOWSKI;0;0
ZIEMIA WILE—SKA;DZIåNIE—SKI;3287;4191
;D•BROWSKI;0;0
;GARWOLI—SKI;0;0
;GNIEWSKI;0;0
;GNIEèNIE—SKI;0;0
;GORLICKI;0;0
;GOSTYNI—SKI;0;0
;GOSTY—SKI;0;0
;GRODZIE—SKI;0;0
;GRODZISKI;0;0
;GRUDZI•DZ (MIASTO);0;0
;GRUDZI•DZKI;0;0
;GRYBOWSKI;0;0
;GR”DECKI;0;0
;GR”JECKI;0;0
;HOROCHOWSKI;0;0
;HORODE—SKI;0;0
;HRUBIESZOWSKI;0;0
;HUSIATY—SKI;0;0
;INOWROC£AWSKI;0;0
;I£ØECKI;0;0
;JANOWSKI;0;0
;JAROCI—SKI;0;0
;JAROS£AWSKI;0;0
;JASIELSKI;0;0
;JAWOROWSKI;0;0
;J DRZEJOWSKI;0;0
;KALISKI;0;0
;KAMIONECKI;0;0
;KARTUSKI;0;0
åL•SKIE;KATOWICE (MIASTO);0;0
åL•SKIE;KATOWICKI;0;0
;KA£USKI;0;0
;KIELECKI;0;0
;KOBRY—SKI;0;0
;KOLBUSZOWSKI;0;0
;KOLNE—SKI;0;0
;KOLSKI;0;0
;KONECKI;0;0
;KONI—SKI;0;0
;KONSTANTYNOWSKI;0;0
;KOSOWSKI (KOS”W HUCULSKI);0;0
;KOSOWSKI (KOS”W POLESKI);0;0
;KOSZYRSKI;0;0
;KOWELSKI;0;0
;KOZIENICKI;0;0
;KO£OMYJSKI;0;0
;KOåCIA—SKI;0;0
;KOåCIERSKI;0;0
;KOèMI—SKI;0;0
;KRAKOWSKI;0;0
;KRAK”W (MIASTO);0;0
;KRASNOSTAWSKI;0;0
;KROTOSZY—SKI;0;0
;KROåNIE—SKI;0;0
;KRZEMIENIECKI;0;0
åL•SKIE;KR”LEWSKA HUTA;0;0
;KUTNOWSKI;0;0
;K PI—SKI;0;0
;LESKI;0;0
;LESZCZY—SKI;0;0
;LIDZKI;0;0
;LIMANOWSKI;0;0
;LIPNOWSKI;0;0
;LUBARTOWSKI;0;0
;LUBAWSKI;0;0
;LUBELSKI;0;0
;LUBLIN (MIASTO);0;0
åL•SKIE;LUBLINIECKI;0;0
;LUBOMELSKI;0;0
;LWOWSKI;0;0
;LW”W (MIASTO);0;0
;M. ST. WARSZAWA;0;0
;MAKOWSKI (MAK”W MAZOWIECKI);0;0
;MIECHOWSKI;0;0
;MIELECKI;0;0
;MI DZYCHODZKI;0;0
;MI—SKI;0;0
;MOGILE—SKI;0;0
;MOåCISKI;0;0
;MYåLENICKI;0;0
;M£AWSKI;0;0
;NADW”RNIA—SKI;0;0
;NIESZAWSKI;0;0
;NIEåWIESKI;0;0
;NIØA—SKI;0;0
;NOWOGR”DZKI;0;0
;NOWOS•DECKI;0;0
;NOWOTARSKI;0;0
;NOWOTOMYSKI;0;0
;OBORNICKI;0;0
;ODOLANOWSKI;0;0
;OLKUSKI;0;0
;OPATOWSKI;0;0
;OPOCZY—SKI;0;0
;OSTROGSKI;0;0
;OSTROWSKI (OSTR”W MAZOWIECKA);0;0
;OSTROWSKI (OSTR”W WIELKOPOLSKI);0;0
