Industry Sector;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
Mining;0,592903069;0,651541834;0,715980038;0,78679125;0,8742125;0,9741225;1,13647625;1,248875;1,394375;1,47925;1,47925;1,370125;1,28525;1,224625;1,200375;1,176125;1,2125;1,248875
Mineral;0,402943833;0,442795421;0,486588375;0,5347125;0,594125;0,662025;0,7723625;0,84875;0,909375;0,885125;0,7275;0,679;0,582;0,545625;0,545625;0,569875;0,594125;0,6305
Chemical;0,627441112;0,689495727;0,757687613;0,83262375;0,9251375;1,0308675;1,20267875;1,321625;1,418625;1,370125;1,127625;1,054875;1,0185;0,97;0,9215;0,9215;0,94575;0,982125
Textile;0,47777626;0,525028857;0,576954788;0,63401625;0,7044625;0,7849725;0,91580125;1,006375;1,054875;0,982125;0,909375;0,84875;0,80025;0,80025;0,788125;0,80025;0,836625;0,885125
Paper;0,529583324;0,581959697;0,63951615;0,702765;0,78085;0,87009;1,015105;1,1155;1,2125;1,164;0,957875;0,89725;0,860875;0,8245;0,80025;0,776;0,80025;0,8245
Leather;0,661979155;0,727449621;0,799395188;0,87845625;0,9760625;1,0876125;1,26888125;1,394375;1,418625;1,370125;1,127625;1,054875;0,97;0,94575;0,89725;0,885125;0,9215;0,94575
Wood;0,35689311;0,39219023;0,430978275;0,4736025;0,526225;0,586365;0,6840925;0,75175;0,788125;0,763875;0,6305;0,594125;0,497125;0,46075;0,448625;0,448625;0,472875;0,497125
Food;0,564121367;0,61991359;0,681223725;0,7485975;0,831775;0,926835;1,0813075;1,18825;1,2125;1,164;1,0185;0,933625;0,860875;0,836625;0,788125;0,763875;0,788125;0,812375
Clothing;0,414456514;0,455446719;0,5004909;0,54999;0,6111;0,68094;0,79443;0,873;0,9215;0,860875;0,788125;0,739625;0,691125;0,642625;0,6305;0,618375;0,6305;0,666875
Construction;0,650466474;0,714798323;0,785492663;0,86317875;0,9590875;1,0686975;1,24681375;1,370125;1,564125;1,515625;1,442875;1,176125;0,99425;0,94575;0,9215;0,89725;0,909375;0,933625
Printing;0,811644007;0,891916491;0,980128013;1,07706375;1,1967375;1,3335075;1,55575875;1,709625;1,733875;1,649;1,52775;1,442875;1,3095;1,224625;1,176125;1,164;1,1155;1,127625
Power plants;0,638953793;0,702147025;0,771590138;0,84790125;0,9421125;1,0497825;1,22474625;1,345875;1,467125;1,564125;1,564125;1,4065;1,418625;1,4065;1,394375;1,418625;1,418625;1,455
Metal and electrotechnical;0,558365026;0,613587941;0,674272463;0,74095875;0,8232875;0,9173775;1,07027375;1,176125;1,248875;1,224625;1,164;1,1155;0,982125;0,909375;0,885125;0,89725;0,909375;0,9215
