Industry Sector;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939
Mining;2044,874543;1985,31509;2013,306872;2138,043045;2070,140093;2136,68621;1765,593033;1787,065505;1502,80471;1546,858689;1589,723885;1559,645268;1586,688697;1782,36124;1745,08107;1396,064856
Mineral;2194,661176;2130,739005;2160,781179;2294,654251;2221,777422;2220,536128;2200,174233;2205,611937;2107,347494;2074,152483;2097,979912;2100,489456;2103,921055;2097,250384;2087,790869;1670,232695
Chemical;2129,065529;2067,053912;2096,198163;2226,069937;2155,371305;2117,057595;2151,420287;2171,765722;2015,144315;1946,163483;2018,848686;2025,04838;2059,716886;2054,340045;2057,270833;1645,816667
Textile;1963,77683;1906,579446;1933,461101;2053,25036;1988,040373;1951,503276;1882,559079;1946,168888;1840,311043;1795,549729;1829,800267;1856,868382;1853,103347;1851,725516;1893,824675;1515,05974
Paper;2009,811728;1951,273522;1978,785338;2101,382699;2034,644058;1998,994686;1993,377001;2043,220693;1941,971927;1942,899229;1999,523847;2023,751336;2092,860209;2057,727273;2081,757576;1665,406061
Leather;2090,804439;2029,907222;2058,527727;2186,065597;2116,637478;2127,537946;2105,371476;2090,297122;2038,512616;1971,107544;1999,281609;2018,092105;2035,235969;1971,384615;2023,650794;1618,920635
Wood;2104,723061;2043,420447;2072,23148;2200,618379;2130,728072;2151,658159;2104,376247;2092,965399;2043,380486;2037,001837;2063,682373;2056,880418;2094,856708;2083,907157;2072,485876;1657,988701
Food;2129,211978;2067,196095;2096,34235;2226,223058;2155,519563;2165,48191;2163,00444;2079,988144;1915,311307;1712,208511;1779,484588;1802,680508;1843,409981;1889,832215;1902,209857;1521,767886
Clothing;2177,789158;2114,358406;2144,169623;2277,013511;2204,696941;2186,673687;2096,494683;2190,957665;1979,990287;1961,313114;1962,949794;2012,363471;2000,147536;2033,142857;1927,610063;1542,08805
Construction;2246,199397;2180,776114;2211,523781;2348,540655;2273,952427;2300,545359;2304,560495;2306,955108;2096,906848;2023,271404;2100,958324;2093,186955;2150,815071;2183,008475;2158,129252;1726,503401
Printing;2208,354311;2144,033312;2174,262928;2308,971273;2235,639744;2253,920081;2191,415215;2192,401961;2119,205298;2075,321888;2130,212068;2171,053919;2189,780325;2167,192982;2142,195122;1713,756098
Power plants;2267,722469;2201,6723;2201,6723;2201,6723;2201,6723;2206,415064;2034,647215;1964,051808;1730,555802;1804,133005;1875,389169;1880,403002;1913,770725;1981,081198;2029,809152;1623,847322
Metal and electrotechnical;2129,330314;2067,310984;2096,45886;2226,346786;2155,639361;2130,981335;2052,473312;2050,599167;1895,145567;1866,88994;2005,230348;2026,843717;2069,488208;2075,633453;2042,251054;1633,800843
