Region;Total;Mining and Industry - Total;Mining;Mineral;Metal and electrotechnical;Chemical;Textile;Paper;Leather;Wood;Food;Clothing and Toymaking;Printing;Construction;Power plants and waterworks;Public works
BIAŁOSTOCKIE;17635.0;15747.0;0.0;1394.0;220.0;678.0;4426.0;40.0;584.0;5574.0;2194.0;80.0;204.0;177.0;176.0;1888.0
KIELECKIE;114019.0;104884.0;20677.0;11609.0;37155.0;5254.0;14646.0;2450.0;759.0;3706.0;4207.0;1356.0;360.0;2001.0;704.0;9135.0
KRAKOWSKIE;66297.0;54547.0;11045.0;7928.0;6316.0;5095.0;4983.0;1697.0;1274.0;3531.0;5854.0;2851.0;1270.0;1770.0;933.0;11750.0
LUBELSKIE;15820.0;13096.0;0.0;1963.0;1775.0;127.0;14.0;0.0;469.0;2526.0;5366.0;209.0;145.0;435.0;67.0;2724.0
LWOWSKIE;36132.0;31439.0;5870.0;2664.0;2175.0;4088.0;773.0;509.0;263.0;5391.0;5571.0;510.0;1088.0;1745.0;792.0;4693.0
M. ST. WARSZAWA;75473.0;71405.0;0.0;1283.0;23917.0;5741.0;4233.0;1968.0;1790.0;2001.0;8288.0;5611.0;4798.0;10521.0;1254.0;4068.0
NOWOGRÓDZKIE;4964.0;3973.0;0.0;814.0;115.0;726.0;71.0;166.0;4.0;1055.0;972.0;22.0;26.0;2.0;0.0;991.0
POLESKIE;5246.0;4282.0;0.0;102.0;9.0;440.0;59.0;6.0;30.0;2696.0;806.0;26.0;26.0;51.0;31.0;964.0
POMORSKIE;25916.0;17611.0;0.0;1670.0;2333.0;785.0;31.0;129.0;26.0;2727.0;5381.0;296.0;413.0;3122.0;698.0;8305.0
POZNAŃSKIE;50651.0;45923.0;621.0;5978.0;6468.0;3148.0;822.0;1122.0;581.0;4438.0;14782.0;2644.0;1962.0;2736.0;621.0;4728.0
STANISŁAWOWSKIE;15681.0;13038.0;2285.0;649.0;302.0;362.0;530.0;33.0;530.0;6460.0;1683.0;36.0;45.0;123.0;0.0;2643.0
TARNOPOLSKIE;7227.0;5465.0;0.0;522.0;36.0;103.0;131.0;111.0;46.0;571.0;3776.0;33.0;8.0;95.0;33.0;1762.0
WARSZAWSKIE;42807.0;36055.0;0.0;6896.0;7514.0;3298.0;3730.0;2142.0;365.0;1711.0;8153.0;515.0;143.0;1240.0;348.0;6752.0
WOŁYŃSKIE;21089.0;15460.0;0.0;7721.0;92.0;61.0;38.0;132.0;42.0;3513.0;3437.0;185.0;80.0;118.0;41.0;5629.0
ZIEMIA WILEŃSKA;7260.0;5551.0;0.0;421.0;431.0;261.0;219.0;738.0;479.0;767.0;1489.0;180.0;250.0;230.0;86.0;1709.0
ŁÓDZKIE;142625.0;135677.0;0.0;4053.0;5324.0;8576.0;101203.0;1035.0;597.0;4085.0;5945.0;1419.0;1025.0;1765.0;650.0;6948.0
ŚLĄSKIE;118672.0;114061.0;46404.0;5218.0;30235.0;8188.0;6969.0;2247.0;917.0;2150.0;3501.0;918.0;938.0;5239.0;1137.0;4611.0
