Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;107 288 393;149 708 817;246 478 489;337 801 693;420 132 219;284 719 616;229 352 372;134 320 108;185 167 596;146 845 516;160 994 248;142 570 158;183 519 474;291 111 936;240 456 373
KIELECKIE;135 752 038;183 967 200;294 467 350;392 754 350;463 273 298;298 544 424;242 048 635;113 325 991;194 732 576;159 144 894;176 228 602;149 274 297;187 337 422;303 519 798;250 705 178
KRAKOWSKIE;125 724 160;171 282 419;275 599 085;369 486 664;431 820 076;275 691 305;222 871 845;89 927 190;177 296 918;146 626 853;157 520 263;125 245 313;151 938 692;250 821 625;207 176 865
LUBELSKIE;162 157 067;224 367 825;366 461 689;498 467 689;570 353 335;356 193 285;288 072 094;162 156 163;243 483 815;197 947 111;219 315 878;185 795 687;232 029 453;378 637 644;312 751 981
LWOWSKIE;181 638 124;247 913 443;399 620 247;536 703 987;626 845 181;399 941 439;318 655 180;155 134 271;273 133 008;220 119 558;229 759 175;183 256 414;225 660 934;372 994 547;308 090 823
ŁÓDZKIE;114 749 923;153 826 795;243 558 803;321 330 539;375 612 162;239 852 945;195 461 211;99 536 509;167 511 045;137 866 212;149 611 923;125 709 115;149 918 320;240 468 002;198 624 846
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;87 179 862;112 726 570;171 839 848;217 829 425;271 072 622;183 796 800;151 435 855;87 420 965;125 300 762;100 219 797;109 533 465;98 918 030;126 081 938;202 580 679;167 330 189
POLESKIE;89 630 326;128 360 582;216 403 834;303 105 615;378 193 580;257 040 327;209 827 100;96 389 077;150 617 578;119 570 569;124 258 417;108 224 965;139 881 335;241 486 785;199 466 354
POMORSKIE;94 805 506;127 871 433;203 715 592;270 439 487;311 592 036;196 023 396;153 504 113;84 957 644;125 876 714;106 681 703;112 941 759;88 346 041;107 194 132;167 212 983;138 116 726
POZNAŃSKIE;192 729 773;260 633 234;416 312 502;554 117 829;629 490 734;390 109 158;305 380 851;165 839 510;251 282 534;215 620 069;223 719 235;169 723 469;200 652 348;328 288 523;271 163 967
STANISŁAWOWSKIE;86 187 811;119 395 063;195 229 142;265 839 588;310 666 427;198 328 259;152 641 746;68 405 192;113 145 340;96 650 298;97 257 589;79 845 214;97 400 101;166 883 690;137 844 732
ŚLĄSKIE;18 121 946;28 533 444;51 980 055;77 671 161;88 652 571;55 218 631;43 810 170;19 675 134;34 507 223;28 888 698;30 869 116;24 622 453;29 657 598;47 471 676;39 211 264
TARNOPOLSKIE;99 466 110;139 682 959;231 342 511;318 819 520;374 879 032;240 817 402;191 308 348;108 863 198;156 172 197;128 017 427;128 605 796;102 505 552;125 956 667;210 124 276;173 561 146
WARSZAWSKIE;161 042 347;217 888 440;348 205 730;463 692 001;559 696 975;368 901 750;286 723 947;150 262 828;238 520 858;195 469 558;215 106 639;184 082 890;221 931 842;349 116 866;288 368 030
ZIEMIA WILEŃSKA;78 545 930;110 082 602;181 979 175;250 356 905;308 023 611;206 695 475;158 445 540;89 526 195;145 585 022;119 542 452;122 509 126;104 894 660;136 288 742;215 422 283;177 937 262
WOŁYŃSKIE;133 044 223;184 186 928;300 990 813;409 616 357;499 910 486;332 951 747;257 904 490;164 865 848;238 159 562;192 497 566;201 653 904;170 061 407;213 306 760;358 426 444;296 057 674
