Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;183 432 673;190 186 937;195 209 959;232 678 335;249 153 421;266 584 240;229 155 704;154 060 471;105 936 025;109 445 535;118 627 650;130 442 413;155 812 414;177 424 796;198 644 821
KIELECKIE;400 639 252;532 758 901;550 518 411;760 812 260;823 339 505;918 356 492;816 849 167;789 007 584;920 541 095;580 253 819;601 099 405;635 554 983;721 413 201;862 288 847;982 908 219
KRAKOWSKIE;344 882 512;397 531 391;422 301 422;514 764 538;606 268 352;639 180 881;535 277 003;428 451 324;323 460 519;305 266 758;314 351 723;314 103 861;351 443 090;409 201 221;459 015 030
LUBELSKIE;238 736 532;273 336 628;308 478 782;372 770 291;397 476 165;399 424 550;319 492 893;215 841 952;160 070 463;192 601 776;197 484 651;202 643 098;227 320 740;292 099 687;326 578 230
LWOWSKIE;246 923 091;268 636 208;250 589 195;369 074 143;406 627 416;435 676 925;373 013 059;257 586 976;229 000 516;210 135 218;220 585 542;216 404 637;247 036 396;281 441 466;314 741 628
ŁÓDZKIE;707 884 986;690 665 601;790 342 148;1 171 682 185;1 375 754 012;1 570 758 830;1 424 115 517;1 131 630 444;825 910 172;797 198 157;824 407 857;846 530 045;915 808 087;1 008 197 625;1 125 381 138
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;41 461 352;43 356 967;46 797 429;60 920 969;66 443 633;67 146 475;53 980 020;39 651 340;20 757 257;25 478 639;22 878 362;26 280 606;27 949 412;36 331 658;40 720 283
POLESKIE;63 424 768;66 832 643;71 959 501;91 790 399;98 587 694;106 107 209;91 628 820;38 131 042;32 426 028;38 548 147;34 396 811;40 439 364;44 850 770;53 163 619;59 610 707
POMORSKIE;143 958 417;179 807 919;174 505 554;219 524 247;243 280 111;253 993 408;210 154 389;139 253 526;103 367 779;111 360 813;128 141 931;130 435 326;141 146 361;211 849 679;237 615 640
POZNAŃSKIE;468 162 989;433 056 289;503 920 590;570 212 472;678 924 581;676 952 192;530 195 626;372 444 482;273 861 164;285 898 086;290 330 631;308 473 131;338 182 279;432 115 380;483 856 315
STANISŁAWOWSKIE;84 389 071;91 001 092;83 338 936;124 464 248;137 528 804;154 759 697;139 014 241;85 999 130;59 172 890;57 707 276;64 012 452;73 033 823;69 043 131;82 403 675;92 106 628
ŚLĄSKIE;696 670 051;818 625 504;858 342 172;1 248 747 692;1 430 330 901;1 460 786 102;1 172 061 989;855 144 197;508 695 727;498 258 128;548 784 530;564 502 348;610 128 528;802 657 179;898 533 369
TARNOPOLSKIE;37 978 030;43 043 362;44 823 977;58 786 586;62 459 363;66 245 573;56 383 090;41 812 528;33 563 382;34 260 257;34 779 169;47 346 540;53 951 466;66 235 338;73 826 891
WARSZAWSKIE;1 262 566 922;1 468 234 306;1 636 002 133;1 962 089 336;2 255 769 823;2 297 513 301;1 862 830 339;1 355 952 756;1 019 884 103;1 104 156 337;1 136 058 722;1 207 923 432;1 389 346 826;1 549 159 301;1 729 820 651
ZIEMIA WILEŃSKA;61 253 611;64 480 196;69 203 748;91 407 999;95 644 148;97 499 797;79 175 538;52 863 375;44 910 577;46 541 878;49 844 050;53 306 364;61 789 575;76 764 307;85 894 087
WOŁYŃSKIE;83 532 079;91 931 309;97 918 673;124 806 529;141 929 476;141 738 065;112 554 134;79 599 576;55 154 903;63 046 360;72 315 489;80 829 502;92 887 159;114 795 348;128 701 275
