Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;5979590,057;6815695,28;6513803,924;9952707,419;11672823,41;13064215,54;13655736,23;11883122,11;10130751,24;7599837,453;6591495,208;5805525,132;5849965,009;6711713,553;7304993,562
KIELECKIE;15060970,72;17166893,73;16406511,02;25068179,19;29400686,32;32905226,91;34395107,62;29930371,89;25516623,44;19141935,86;16602194,36;14622548,23;14734480,27;16904991,87;18399303,82
KRAKOWSKIE;12460725,53;14203065,33;13573961,11;20740210,33;24324719,14;27224208,11;28456864,02;24762955,59;21111231,62;15837120,56;13735860,13;12097995,78;12190602,98;13986380,28;15222702,38
LUBELSKIE;8874210,977;10115060,95;9667028,966;14770648,92;17323444,69;19388386,8;20266252,9;17635545,52;15034880,82;11278793,41;9782329,319;8615884,092;8681836,581;9960743,381;10841220,46
LWOWSKIE;22436103,61;25573265,72;24440534,94;37343692,91;43797764,2;49018426,09;51237879,18;44586828,9;38011733,63;28515456,55;24732041,49;21782992,16;21949735,65;25183114,43;27409168,66
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;4370669,534;4981805,011;4761143,17;7274745,372;8532031,987;9549044,044;9981405,034;8685745,889;7404883,175;5554959,069;4817930,161;4243440,031;4275922,529;4905801,512;5339448,441
POLESKIE;2669744,421;3043045,472;2908258,178;4443646,612;5211637,398;5832860,815;6096960,705;5305530,754;4523138,935;3393146,26;2942945,484;2592028,581;2611869,927;2996620,109;3261505,491
POMORSKIE;7400561,636;8435356,358;8061724,46;12317838,51;14446717,63;16168755,95;16900843,82;14706991,07;12538192,13;9405839,69;8157878,064;7185132,451;7240132,886;8306664,73;9040929,995
POZNAŃSKIE;12659484,49;14429616,05;13790477,1;21071033,96;24712718,67;27658456,91;28910774,7;25157945,37;21447973,35;16089735,82;13954958,54;12290968,89;12385053,25;14209474,7;15465517,17
STANISŁAWOWSKIE;6507253,024;7417139,518;7088608,061;10830974,17;12702880,08;14217054,22;14860773,07;12931736,38;11024729,29;8270477,536;7173155,135;6317827,912;6366189,342;7303982,027;7949615,44
TARNOPOLSKIE;5584728,173;6365621,235;6083665,258;9295480,959;10902009,19;12201520,82;12753980,48;11098420,82;9461767,668;7097982,625;6156226,203;5422157,615;5463662,908;6268505,936;6822608,734
WARSZAWSKIE;12023809,97;13705057,39;13098011,71;20012987,78;23471811,47;26269634,47;27459069,25;23894681,87;20370999,79;15281817,06;13254234;11673798,76;11763158,84;13495970,06;14688942,49
WOŁYŃSKIE;5349227,588;6097191,424;5827125,157;8903502,846;10442285,91;11686998,85;12216162,02;10630415,13;9062777,465;6798670,105;5896626,302;5193512,414;5233267,484;6004171,348;6534908,366
ZIEMIA WILEŃSKA;3102233,278;3536007,738;3379385,394;5163501,154;6055903,645;6777762,99;7084646,098;6165007,382;5255870,943;3942823,576;3419691,917;3011927,756;3034983,327;3482061,636;3789857,483
ŁÓDZKIE;8672796,003;9885482,819;9447619,668;14435404,48;16930260,3;18948335,12;19806276,59;17235277,49;14693639,2;11022802,44;9560303,088;8420332,276;8484787,863;9734667,747;10595160,93
ŚLĄSKIE;16953828,81;19324423,56;18468476,2;28218740,11;33095755,38;37040745,54;38717873,99;33692011,66;28723544,7;21547688,38;18688752,96;16460305,52;16586305,14;19029605,96;20711722,57
