Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;647913,7638;777020,654;773822,9771;1199379,436;1161061,566;1409639,325;1583170,068;1480443,906;1205537,979;997817,5241;1266503,156;1324806,962;1232907,941;1227948,001;1286663,269
KIELECKIE;2747920,365;3295486,218;3281924,287;5086786,795;4924273,725;5978537,308;6714512,816;6278832,438;5112906,299;4231925,988;5371470,726;5618747,793;5228987,296;5207951,285;5456973,44
KRAKOWSKIE;5206800,974;6213281,3;6261106,797;9891077,689;9417934,335;11266365,74;12613967,3;12044497,98;9853703,919;8152110,553;9984528,058;10414840,6;10811688,52;10539084,32;11122208,65
LUBELSKIE;1870843,014;2243637,569;2234404,316;3463193,351;3352550,974;4070316,192;4571384,074;4274763,545;3480976,069;2881185,812;3657012,267;3825363,787;3560006,497;3545684,73;3715224,345
LWOWSKIE;4393812,826;5247069,826;5278128,116;8314742,716;7936373,013;9515063,354;10658187,69;10145246,06;8294191,894;6862370,121;8450011,962;8817971,504;9009244,924;8808644,457;9286645,213
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;568943,5312;682314,3749;679506,4431;1053194,437;1019546,897;1237827,039;1390207,184;1300001,683;1058602,353;876199,6694;1112136,859;1163334,371;1082636,358;1078280,955;1129839,779
POLESKIE;419195,0791;502726,2156;500657,344;775989,0062;751197,6476;912025,491;1024298,508;957835,4942;779973,5349;645580,0437;819417,522;857139,623;797681,6837;794472,6415;832460,9556
POMORSKIE;2420827,886;2903215,478;2891267,861;4481292,646;4338123,952;5266895,656;5915265,986;5531445,835;4504303,074;3728188,26;4732089,87;4949932,871;4606566,633;4588034,595;4807414,962
POZNAŃSKIE;8898317,449;10616409,84;10702787,84;16919608,18;16100577,67;19250082,82;21550141,17;20593107,86;16850248,98;13940219,73;17051136,23;17784116,16;18534054,42;18053474,46;19057052,43
STANISŁAWOWSKIE;661063,5407;792790,7284;789528,1528;1223721,521;1184625,969;1438248,754;1615301,401;1510490,353;1230005,056;1018068,796;1292207,555;1351694,67;1257930,506;1252869,901;1312776,829
TARNOPOLSKIE;629274,2742;754666,9564;751561,2717;1164875,121;1127659,598;1369086,155;1537624,683;1437853,795;1170856,493;969111,8377;1230067,795;1286694,289;1197439,063;1192621,812;1249647,932
WARSZAWSKIE;22451725,55;26858206,28;26906905,37;42109216,5;40422991,16;48713098,57;54624517,79;51620341,97;42134171,99;34866101,94;43467682,3;45405102,44;44683749,24;44006941,31;46282967,5
WOŁYŃSKIE;600628,3422;720312,8771;717348,5699;1111847,475;1076326,084;1306762,379;1467628,667;1372399,567;1117556,562;924995,7615;1174072,436;1228121,17;1142929,035;1138331,076;1192761,243
ZIEMIA WILEŃSKA;1989730,692;2379899,731;2385031,911;3734633,194;3583361,117;4316395,504;4839759,811;4576365,021;3735880,33;3091406,319;3850072,26;4021347,009;3970025,067;3907460,363;4110403,253
ŁÓDZKIE;4570760,31;5460404,574;5487919,728;8633126,249;8250291,124;9902286,93;11094507,5;10544212,52;8617411,695;7130033,609;8802921,857;9188192,681;9313139,341;9119635,972;9609631,395
ŚLĄSKIE;5895757,981;7070579,417;7041481,826;10913876,63;10565199,23;12827158,13;14406218,98;13471451,69;10969916,92;9079743,262;11524675,83;12055217,31;11218972,71;11173839,22;11708124,85
