Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;107049461,2;116411038,2;118348842,5;150175522,7;175302641,2;193791231,3;203065428,3;181757342,4;164893468;141108615,6;128994800,8;120975287,6;124421436,1;134519045,6;144015363,5
KIELECKIE;213246243,6;228277940,1;230191258,3;317785847,2;366490539,8;403844964,8;427001263;380318094;342028015,4;290457932,2;265142270,5;243623014,1;250740656,7;271433105,8;290477165
KRAKOWSKIE;276713903,5;273411406,3;280212265,5;375576100,9;418861889,5;464613660,4;480184358,4;426223313,3;387794556,4;334607963,4;309537265,2;298865721,2;306446343,3;330952428,8;351748629,1
LUBELSKIE;156086103,5;155801583,5;157430498,8;205087609,1;233014413;258568734;270873395,3;240200179,3;216624758,5;182526243,6;166973491,3;157118270;161014576,6;175851135,2;188809171,3
LWOWSKIE;247766462,9;267462199,2;255819732,1;339002411,5;391695575,6;432328662,4;449142700,4;400323184,6;365879771,7;319464542,6;295759272,7;280083072,2;287872870,9;309380692,4;328979389,9
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;36950481,69;45221845,08;44652966,29;59299453,95;70577492,54;78233740,29;81987606,99;72699538,74;65137721,15;53987296,86;49211768,84;45807744,14;46722364,21;51242224,08;54999244,62
POLESKIE;39179920,08;46275901,12;46166650,02;59191278,86;70044200,29;78110803,13;82026383,34;73511582,19;67376148,16;57538897,11;52786170,52;51907437,34;53208682,69;57602348,47;61621261,69
POMORSKIE;145009569,6;163699643;173508731,5;220067252,3;265527490,7;295407487,8;311698865,1;279221956;251388879,4;214391934,4;196108383,8;190263373,6;195749883,4;211333144,7;225935808,1
POZNAŃSKIE;378022290,8;384069037,4;428900331,9;546895824,6;612042995,4;663516621;700320752,4;625115115,6;567814317,3;492591592,5;453550149,5;398949640,9;411767092,2;439707765,6;465764537,5
STANISŁAWOWSKIE;100697977,4;109076737,6;103742471,8;138370053,3;160614485,3;174490321,2;181555913,6;162878781,5;147996968,9;128464124,8;117306879,1;101256737;105043568,2;111723002;118960282,5
TARNOPOLSKIE;92351607,81;102870572,8;96639898,96;133790766,5;155398099;173271963,5;180712391,6;160590550,1;144078384,5;123060603,9;111154793,4;103612299,5;107510147,9;116190700,5;124521460,9
WARSZAWSKIE;840367158,3;943669424,7;948563773,8;1301978248;1497034474;1671275237;1730307466;1513943382;1362433384;1176286229;1082410452;1018501265;1046914168;1137462994;1221014714
WOŁYŃSKIE;82072748,31;84359746,73;84752941,84;123175525,8;153690025,9;171497029,7;180838669,7;161136349;144764398,1;121188973,1;110262670;106349056,6;108741268,1;118793260;127477751,5
ZIEMIA WILEŃSKA;100184807,3;112855911,3;105719917,6;139188382,2;158561594,2;176877403,2;185343646,1;165179670,3;151839658,9;133300459,1;123147541,1;120751015;124635749,9;134233711,7;143229476
ŁÓDZKIE;351882339,7;355422188,9;353919749,5;466907714,6;530458259,1;602059997,5;644103327,2;571191126,9;512115976,9;441772512,6;403399626;414380262,3;427584274,7;466396011,8;500758572
ŚLĄSKIE;277636718,4;282652950,7;275816123,2;373706060,5;471839261,4;522815683,8;549915824,2;487562468,5;439977617,2;376141620,3;342149292;318973774,1;330735594,6;356091507;380166763,1
