Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;25 199 339;23 448 939;24 013 586;24 630 946;28 318 479;29 718 346;30 437 425;29 503 554;28 993 298;27 566 657;26 619 512;26 456 704;26 937 632;28 117 834;29 788 985
KIELECKIE;48 861 600;45 355 926;46 372 095;47 657 383;54 717 941;57 409 348;58 745 491;56 878 966;55 731 406;52 863 384;50 895 824;50 492 640;51 458 509;53 450 344;56 456 150
KRAKOWSKIE;50 015 293;48 068 216;50 109 531;52 058 623;58 822 583;60 839 191;61 687 713;60 848 221;60 868 560;60 392 368;60 076 696;61 011 351;61 410 236;63 119 272;65 247 868
LUBELSKIE;29 306 066;27 357 312;28 073 255;28 716 290;33 077 643;34 725 113;35 607 726;34 542 156;34 074 967;32 512 102;31 515 719;31 391 827;31 927 777;33 535 012;35 671 587
LWOWSKIE;52 357 861;49 929 646;51 797 981;53 561 985;60 850 755;63 195 990;64 248 900;62 835 255;62 624 274;61 689 840;60 980 526;61 629 903;62 163 217;64 307 581;66 975 553
ŁÓDZKIE;47 034 862;45 073 353;46 867 630;47 757 860;54 917 738;57 330 748;58 663 568;56 878 953;57 266 251;56 826 529;56 538 024;57 255 431;57 657 428;61 322 480;65 227 125
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;8 201 549;7 650 162;7 846 944;8 033 738;9 248 433;9 707 721;9 951 237;9 657 650;9 517 355;9 068 813;8 781 875;8 743 380;8 894 295;9 326 854;9 908 668
POLESKIE;11 585 337;10 759 465;11 010 923;11 319 752;12 992 184;13 627 643;13 949 625;13 552 449;13 287 866;12 586 127;12 124 962;12 032 487;12 269 357;12 730 979;13 449 739
POMORSKIE;41 213 862;38 181 307;39 043 455;40 241 350;46 091 214;48 315 478;49 431 926;48 140 658;47 079 250;44 404 467;42 661 286;42 239 113;43 182 616;44 431 734;46 805 024
POZNAŃSKIE;74 438 611;71 204 258;74 044 275;77 119 913;87 019 748;90 015 250;91 206 554;90 000 784;89 622 424;88 374 831;87 507 747;88 642 820;89 352 683;91 276 182;93 998 919
STANISŁAWOWSKIE;21 703 160;20 068 447;20 476 142;21 128 368;24 190 199;25 362 694;25 916 660;25 136 160;24 511 223;23 107 519;22 136 212;21 899 638;22 358 138;23 002 112;24 150 612
ŚLĄSKIE;53 003 740;48 751 817;49 525 444;51 248 767;58 562 218;61 397 767;62 613 940;60 258 426;58 386 133;54 939 864;52 288 067;51 492 299;52 672 208;53 675 187;56 026 912
TARNOPOLSKIE;11 317 149;10 501 508;10 737 048;11 043 480;12 672 555;13 293 306;13 600 716;13 190 690;12 917 714;12 233 288;11 771 078;11 676 277;11 901 537;12 345 149;13 025 806
WARSZAWSKIE;121 995 658;126 988 553;131 441 942;133 768 506;154 141 496;161 278 563;165 176 165;159 037 811;159 344 519;157 206 440;155 446 284;156 639 641;158 198 019;168 078 203;179 266 917
ZIEMIA WILEŃSKA;19 858 966;18 820 132;19 462 851;19 985 030;22 874 664;23 872 512;24 378 478;23 734 834;23 627 577;23 061 067;22 683 489;22 828 552;23 078 718;24 155 912;25 463 250
WOŁYŃSKIE;19 731 998;18 365 311;18 811 052;19 293 599;22 183 058;23 279 390;23 844 231;23 123 513;22 728 552;21 608 799;20 870 752;20 747 178;21 122 024;22 054 688;23 368 029
