Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;11,8118994;17,74423852;28,99668245;38,87687713;40,30072283;41,02130655;35,61;45,79;42,58;22,99;14,44;16,6;26,48;44,84787302;30,40996825
KIELECKIE;31,12025841;46,74991456;76,39620184;102,4270882;106,1784279;108,076916;93,82;65,8;41,99;33,53;32,72;35,66;37,89;64,17242857;43,51335714
KRAKOWSKIE;41,33667239;62,0973604;101,4761743;136,0526938;141,035554;143,5572935;124,62;99,64;77,1;47,01;54,01;69,54;53,46;90,54257143;61,39414286
LUBELSKIE;19,97507953;30,00724637;49,03623188;65,7446094;68,15247203;69,37104971;60,22;57,55;34,82;25,09;23,7;26,27;30,27;51,26680952;34,76245238
LWOWSKIE;30,63597386;46,02240576;75,20734601;100,8331472;104,5261095;106,395054;92,36;74,57;52,18;45,08;33,72;44,73;37,94;64,25711111;43,57077778
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;9,56627854;14,37079019;23,48397422;31,48579434;32,63894542;33,22253527;28,84;28,1;18,23;12,91;14,11;13,87;16,14;27,33552381;18,53538095
POLESKIE;13,42396992;20,16594588;32,95410668;44,18273567;45,80090573;46,61983364;40,47;32,75;21,05;16,71;16,12;13,19;15,98;27,06453968;18,35163492
POMORSKIE;41,46935309;62,29667788;101,8018882;136,48939;141,488244;144,0180776;125,02;95,14;59,18;40,05;35,44;32,75;35,16;59,5487619;40,37819048
POZNAŃSKIE;47,86456288;71,90378034;117,5012996;157,5381457;163,3078996;166,2278724;144,3;102,7;69,64;59,88;59,53;63,31;51,29;86,86734921;58,9020873
STANISŁAWOWSKIE;28,32069562;42,54431577;69,52363796;93,21279891;96,62666991;98,35437105;85,38;52,72;48,33;35,62;38,12;33,08;32,61;55,22995238;37,4497381
TARNOPOLSKIE;29,21960737;43,89469168;71,73034982;96,17141551;99,69364432;101,4761835;88,09;74,83;53,46;40,34;33,02;35,52;33,81;57,26233333;38,82783333
WARSZAWSKIE;28,54625281;42,88315548;70,07735164;93,95518241;97,39624283;99,13770406;86,06;82,23;57,28;37,62;34,37;39,91;43,35;73,4197619;49,78369048
WOŁYŃSKIE;15,54354412;23,3500426;38,15738668;51,1589571;53,03262769;53,98086001;46,86;45,2;28,56;27,97;32,87;34,12;34,7;58,76968254;39,84992063
ZIEMIA WILEŃSKA;8,740341177;13,13003889;21,45640502;28,76736064;29,82095048;30,3541541;26,35;21,43;12,94;11,48;12,14;12,07;13,29;22,50861905;15,26240476
ŁÓDZKIE;35,48877049;53,31244254;87,12033293;116,8053099;121,0832445;123,2482333;106,99;83,82;52,36;40,99;40,71;42,58;57,23;96,92763492;65,72365873
ŚLĄSKIE;69,63746591;104,6117785;170,9509552;229,1999883;237,5943205;241,8425469;209,94;198,73;163,05;92,61;96,22;79,02;82,83;140,2850952;95,12302381
