Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;65 508 170;65 730 708;63 816 247;71 158 207;74 257 463;84 737 230;88 019 655;76 459 862;72 495 384;69 093 308;72 326 768;72 797 156;70 986 384;72 684 532;76 863 963
KIELECKIE;90 272 517;93 776 122;91 349 114;105 832 502;110 735 490;128 129 021;134 111 294;113 225 534;105 095 271;97 899 042;104 016 647;104 732 377;102 390 573;104 744 707;112 140 957
KRAKOWSKIE;123 155 751;128 116 672;126 262 561;142 629 264;149 043 724;168 462 732;173 702 496;147 233 623;139 931 060;134 336 594;140 457 884;141 190 151;142 777 620;148 284 716;160 471 576
LUBELSKIE;117 895 336;120 685 541;116 219 989;128 262 483;133 013 786;150 115 243;155 049 196;131 973 087;125 855 774;119 453 178;124 945 494;125 528 167;124 085 216;128 074 501;135 255 304
LWOWSKIE;286 312 317;291 706 846;288 000 320;307 797 051;309 767 749;336 340 260;343 099 826;305 652 238;292 533 424;281 125 342;290 944 184;291 682 602;292 768 684;294 465 902;302 524 675
ŁÓDZKIE;126 025 447;131 088 674;128 703 036;146 776 717;150 920 380;171 675 375;177 358 739;149 897 410;140 380 735;132 655 075;139 093 447;139 744 742;140 215 856;141 906 209;149 727 900
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;52 771 520;52 277 181;50 111 145;56 508 375;56 933 406;63 935 436;66 132 336;59 332 968;55 269 520;52 173 631;55 040 370;55 302 424;53 116 009;53 984 275;55 951 490
POLESKIE;34 122 781;33 850 838;32 880 767;37 232 440;38 426 845;43 914 782;45 728 788;40 408 385;37 781 601;35 782 068;37 746 771;37 984 398;36 521 150;37 168 930;39 031 963
POMORSKIE;80 711 592;83 498 482;79 786 080;93 988 222;95 046 593;106 660 632;111 172 450;99 021 544;90 665 019;84 275 367;89 862 257;90 364 942;88 134 277;109 852 060;113 987 961
POZNAŃSKIE;154 500 559;161 328 606;157 873 497;184 749 678;185 616 771;206 421 864;213 445 343;189 064 981;173 870 113;163 016 178;171 836 733;172 477 330;174 492 059;171 656 046;178 431 208
STANISŁAWOWSKIE;55 467 040;56 937 635;54 790 271;62 755 733;64 661 542;72 893 353;75 742 660;66 373 000;62 170 978;58 702 310;62 092 144;62 478 481;61 209 897;61 930 582;64 916 134
ŚLĄSKIE;109 036 176;112 131 927;107 121 271;124 792 702;126 432 045;141 833 283;147 516 876;131 030 520;120 637 670;112 605 345;119 439 575;120 053 983;117 200 109;137 096 745;147 182 120
TARNOPOLSKIE;59 953 427;60 329 255;58 082 978;65 485 959;67 154 528;75 535 695;78 216 010;69 130 265;65 134 657;61 895 566;65 363 098;65 744 924;63 848 476;64 986 184;67 547 676
WARSZAWSKIE;266 663 364;299 155 843;292 614 626;354 224 401;360 741 091;411 012 633;429 292 709;373 442 572;339 835 845;315 520 763;339 028 628;341 586 297;337 898 652;335 763 118;352 414 206
ZIEMIA WILEŃSKA;76 386 788;79 094 385;81 807 561;90 977 923;92 499 476;103 812 251;106 683 404;97 061 493;93 760 438;90 891 433;94 011 772;94 417 600;94 191 310;94 584 079;97 212 554
WOŁYŃSKIE;79 776 477;79 414 891;76 617 801;84 292 971;87 288 740;97 712 710;100 914 565;89 724 759;85 893 217;82 762 530;86 446 697;86 929 000;84 916 938;86 519 030;90 105 473
