Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;24309167,84;33031398,63;50022184,22;71612204,51;94111968,18;63497655,74;48094120,59;41635092,17;37695915,56;32253240,58;38382022,01;30173512,38;34253016,98;48675108,61;57739268,88
KIELECKIE;34760635,91;45199327,45;62266348,5;98078617,44;122957903,1;81333973,19;64939875,4;58889783,14;54952755,97;47793818,3;48554660,65;45112804,31;47277925,12;66548768,02;58956355,37
KRAKOWSKIE;26785975,88;36250591,64;48321303,16;68546393,43;90675937,11;55005381,28;46762139,73;40611546,01;39310677,92;50190507,37;30521686,22;8225359,876;32620552,44;49895948,46;45449872,3
LUBELSKIE;37349507,53;57609376,5;81201186,83;119985460,6;150004771,9;99036583,13;75346375,48;64194598,94;61153347,06;56606675,46;59047689,4;51149242,68;57125210,31;85284830,11;81925607,83
LWOWSKIE;36723917,64;46828745,72;66804533,95;91709267,64;121401012,3;75044061,62;63436894,08;53379521,45;51080344,35;48914678,93;45311720,53;42648984,97;52643835,13;77293759,49;63543065,93
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;19719523,95;28206322,11;41469814,76;52100162,49;76884074,04;50964483,27;37462824,17;35002872,67;33249092,17;24943318,76;28758773,06;25458349,7;30315538,84;47171604,56;45069114,9
POLESKIE;19455272,99;23815124,4;32727516,06;42323038,3;61919954,14;46614211,81;35286077,44;34069883;29592789,14;22138229,84;26490920,31;23999854,04;28458998,5;41979293,66;47101895,26
POMORSKIE;34002220,62;47392246,86;61063612,65;98245414,37;120099707,6;79492598,1;65160515,37;51884119,72;44553714,32;38893066,95;47726881,39;34018987,22;39469430,01;58059401,73;23057982,24
POZNAŃSKIE;55938414,57;84652905,71;118866522,8;178323954;220223844,4;151238373,9;120549490,2;90389116,69;84957219,88;69029078,99;81794770,66;48459532,52;72542000,85;103891739,1;88654574,85
STANISŁAWOWSKIE;21464926,33;32242167,37;47023069,71;63537907,3;82548542,22;52268894,94;47361155,1;36223761,29;33755108,35;28858131,48;28897307,95;29423039,66;32170231,24;48698045,51;42194239,13
TARNOPOLSKIE;20528245,11;32825841,43;47277861,1;70235417,3;85017530,13;52684351,21;44281179;37357762,66;34030081,37;32923184,92;33203145,05;31852210,1;36256938,56;58509551,67;47993986,5
WARSZAWSKIE;43391489,47;64059259,35;83991416,2;132571360,9;171465130,9;116315252,9;92662680,86;68124436,11;66064206,64;64218956,07;71046036,96;50655760,57;61709395,87;91171007,77;67150810,89
WOŁYŃSKIE;23478033,08;33599269,78;45349125,33;64024393,29;80624335,93;56879165,64;44012155,27;40048742,61;37491534,37;32032233,88;39752652,83;33937330,16;38592197,82;60339983,87;60755142,78
ZIEMIA WILEŃSKA;23030169,84;25183806,23;39352888,91;46118547,75;63775822,13;47373173,97;33234723,58;30983500,22;29793711,69;20834740,72;25490945,7;20987001,78;24829540,6;38704104,44;46404324,42
ŁÓDZKIE;29139575,77;39240402,13;51948693,29;77232479,13;113468225;71074468,82;57943900,14;44757760,58;43868448,3;38900728,91;44232636,91;33439824,76;38433305,71;57889619,36;30365979,98
ŚLĄSKIE;8103521,454;11390085,62;13694735,05;22512157,25;33365572,86;17211281,91;15978999,47;10550588,15;12282101,74;8665938,369;11871460,24;10326340,64;10759640,99;16132509,25;12638090,83
