City;Population
Parczew;9943
Olkusz;9916
Sokołów Podlaski;9901
Dolina;9616
Nowogródek;9567
Aleksandrów Kujawski;9565
Opatów;9519
Grójec;9518
Turek;9421
Węgrów;9416
Nowy Dwór (Mazowiecki);9386
Dębica;9276
Rawa Mazowiecka;9200
Staszów ;9147
Puławy;9093
Grajewo;9036
Wolbrom;8930
Opoczno;8921
Kałuszyn;8827
Delatyn;8815
Zwoleń;8757
Kopyczyńce;8609
Świecie;8729
Łuniniec;8715
Nadwórna;8716
Jarocin;8688
Wieliczka;8668
Pleszew;8591
Wąbrzeźno;8591
Bełchatów;8587
Kłobuck;8542
Brodnica;8521
Włodawa;8519
Lubliniec;8512
Żelechów;8503
Wadowice;8400
Rypin;8348
Szamotuły;8307
Żychlin;8285
Biłgoraj;8177
Konstantynów (Łódzki);8167
Września;8148
Środa (Wielkopolska);8087
Chmielnik;8051
Prużana;8013
Kamionka Strumiłowa (Kamionka Bużańska);7935
Sandomierz;7894
Trembowla;7840
Przasnysz;7838
Kozienice;7793
Gostynin;7783
Czersk;7757
Zbaraż;7673
Śrem;7652
Chodorów;7646
Błonie;7642
Lubartów;7638
Sarny;7508
Szczebrzeszyn;7496
Wągrowiec;7555
Głębokie;7544
Skole;7543
Łańcut;7535
Rohatyn;7513
Chodzież;7511
Pińczów;7423
Kościerzyna;7379
Wierzbnik (dziś Starachowice);7379
Nieśwież;7357
Zambrów;7343
Oszmiana;7334
Tyśmienica;7257
Pszczyna;7240
Monasterzyska;7238
Skałat;6949
Kępno;7182
Góra Kalwaria;7097
Janów Lubelski;7067
Piaseczno;7074
Mielec;7057
Bielsk Podlaski;7028
Busk;7010
Nowa Wilejka;6958
Włoszczowa;6900
Peczeniżyn;6839
Tłumacz;6836
Siemiatycze;6816
Gostyń;6815
Przedbórz;6787
Radzymin;6780
Kęty;6767
Gorlice;6730
Łapy;6674
Maków Mazowiecki;6645
Żywiec;6571
Stołpce;6278
Zabłotów;6541
Kostopol;6523
Łask;6502
Mogielnica;6423
Sulejów;6387
Sokółka;6376
Miechów;6360
Stolin;6328
Beresteczko;6314
Myślenice;6277
Garwolin;6262
Lubaczów;6245
Działoszyce;6238
Słupca;6204
Grodzisk (Wielkopolski);6161
Szczekociny;6142
Zakroczym;6114
Kozowa;6064
Trzebinia;6084
Borszczów;6073
Rogoźno;6040
Dąbrowa (Tarnowska);6017
Sucha (Beskidzka);6005
Nasielsk;6001
Horochów;5991
Mołodeczno;5964
Kleck;5930
Przeworsk;5941
Święciany;5893
Załoźce;5891
Krzepice;5881
Żory;5869
Wilejka;5595
Strzelno;5846
Brześć Kujawski;5837
Ostrzeszów;5833
Krynki;5789
Ołyka;5785
Podhajce;5743
Andrychów;5698
Gąbin;5690
Kosów Huculski;5663
Wołożyn;5609
Barysz;5606
Leżajsk;5599
Komarno (dziś Ukraina);5598
Koronowo;5553
Dobromil;5531
Mszczonów;5523
Lubawa;5518
Wieruszów;5484
Tuchola;5477
Nisko;5479
Koźmin (dziś Koźmin Wielkopolski);5450
Bóbrka (Ukraina);5441
Radziechów;5440
Stary Sącz;5432
Zbąszyń;5432
Chęciny;5429
Serock;5413
Radziwiłłów;5409
Kuty;5393
Przemyślany;5391
Radzyń (Podlaski);5291
Kolno;5285
Wronki;5245
Oborniki;5244
Trzemeszno;5218
Mogilno;5200
Zborów;5182
Dobrzyń nad Drwęcą;5176
Skała (Podolska);5130
Międzychód;5126
Szczuczyn (Białostocki);5107
Działdowo;5103
Iłża;5099
Żnin;5090
Złoczew;5069
Kartuzy;5055
Busko (dziś Busko-Zdrój);5026
Łosice;5026
Słomniki;4988
Solec Kujawski;4987
Błaszki;4969
Wodzisław;4942
Bełz;4900
Stary Sambor;4867
Stryków;4821
Dzisna;4806
Wasilków;4801
Budzanów;4798
Raciąż;4789
Ottynia;4777
Uściług;4771
Mościska;4770
Sądowa Wisznia;4765
Warka;4763
Ostrów (Lubelski);4753
Czarnków;4737
Ciechocinek;4711
Niepołomice;4689
Nowe;4671
Podgórz (dziś część Torunia);4658
Błażowa;4631
Kłodawa;4627
Krynica-Zdrój;4626
Kazimierz Dolny;4614
Wolsztyn;4580
Szczakowa;4558
Wyszogród;4553
Lachowicze;4547
Bereza Kartuska;4521
Żydaczów;4514
Rożyszcze;4512
Pyzdry;4494
Praszka;4486
Kowal;4482
Nowemiasto (Nowe Miasto Lubawskie);4473
Kock;4462
Winniki;4414
Gliniany (dziś Ukraina);4391
Kcynia;4391
Halicz;4386
Skoczów;4374
Warta;4360
Mosty Wielkie;4348
Opalenica;4332
Bursztyn;4326
Piwniczna (Piwniczna-Zdrój);4315
Pomorzany (dziś Ukraina);4304
Rozdół;4300
Różan;4268
Brzozów;4242
Brańsk;4204
Tuszyn;4202
Swarzędz;4196
Pelplin;4185
Żuromin;4165
Knyszyn;4123
Zaleszczyki;4114
Luboml;4111
Maków Podhalański;4111
Smorgonie;4090
Grzymałów (dziś Ukraina);4084
Biecz;4055
Lidzbark;4032
Łęczna;4030
Ciechanowiec;4029
Radziejów;4025
Korzec;4015
Rokitno;4004
Sępolno;3992
Różana (dziś Białoruś);3986
Wysokie Mazowieckie;3977
Ustrzyki Dolne;3964
Żurawno;3948
Podwołoczyska;3945
Zagórów;3945
Lesko;3943
Rudnik (nad Sanem);3930
Janów Podlaski;3900
Nowe Miasto (nad Pilicą);3877
Gniewkowo;3873
Chyrów;3864
Puck;3848
Nowo-Święciany (Nowe Święciany);3838
Dąbie;3825
Dubienka;3825
Olesko;3824
Skidel;3814
Poddębice;3800
Pakość;3797
Śmigiel;3761
Zdzięcioł;3746
Pobiedziska;3745
Fordon (dziś część Bydgoszczy);3733
Świsłocz (Swisłocz);3731
Bołszowce;3697
Brzesko;3672
Pilzno;3671
Kowalewo (Pomorskie);3654
Rudki (dziś Ukraina);3649
Tarnobrzeg;3643
Gniew;3639
Uhnów;3639
Rożniatów (dziś Ukraina);3638
Buk;3637
Sokołów (dziś Sokołów Małopolski);3637
Mikołajów (dziś Ukraina);3625
Rymanów;3617
Stoczek (Łukowski);3589
Szereszów;3554
Proszowice;3531
Kruszwica;3515
Krośniewice;3506
Uniejów;3484
Dąbrowa Grodzieńska (dziś Dąbrowa Białostocka);3482
Raków (Mołodecki);3481
Skarszewy;3456
Goniądz;3449
Skawina;3434
Więcbork;3433
Łopatyn;3427
Wieleń nad Notecią;3403
Zduny;3403
Kulików (rejon żółkiewski);3390
Ropczyce;3382
Pniewy;3371
Kostrzyn;3370
Krzeszowice;3366
Starosielce;3364
Zawichost;3340
Przedecz;3322
Grybów;3311
Rozwadów (dziś część Stalowej-Woli);3311
Tykocin;3290
Mordy;3287
Szubin;3271
Dokszyce;3262
Kosów Poleski (dziś Białoruś);3256
Brasław;3205
Zabłudów;3158
Głowno;3154
Bohorodczany;3151
Mikulińce;3136
Jordanów;3115
Szadek;3113
Dobczyce;3112
Kolbuszowa;3112
Sassów;3112
Golub;3097
Sejny;3091
Strzyżów;3060
Bieruń Stary;3059
Tyczyn;3039
Chorzele;3032
Janowiec (Wielkopolski);3029
Sieraków;3017
Niemirów (dziś Ukraina);3016
Kamieniec Litewski (dziś Białoruś);3001
Ratno (dziś Ukraina);2990
Muszyna;2979
Supraśl;2965
Kleczew;2946
Mosina;2924
Dąbrowica;2914
Skaryszew;2913
Stawiski;2912
Choroszcz;2905
Biała Rawska;2903
Brok;2895
Dobra;2871
Postawy;2866
Bereźne;2857
Dobrzyń nad Wisłą;2838
Suchowola;2836
Drohiczyn Poleski;2803
Jagielnica (dziś Ukraina);2795
Czarny Dunajec;2783
Tuchów;2750
Wysokie Litewskie;2739
Cieszanów;2661
Indura;2650
Miejska Górka;2644
Szczuczyn (Nowogródzki);2641
Husiatyn;2639
Łohiszyn;2638
Troki;2637
Wiśnicz Nowy;2628
Poniec;2626
Janów (dziś Iwano-Frankowe);2597
Podbrodzie;2588
Golina;2578
Radoszkowice (Radoszkowicze);2574
Stawiszyn;2562
Lubraniec;2559
Tuliszków;2559
Jaryczów Nowy;2555
Głogów (Małopolski);2550
Nowy Tomyśl;2550
Lwówek;2542
Koniecpol;2518
Łasin;2510
Ulanów;2504
Ślesin;2495
Stęszew;2487
Sulmierzyce;2476
Nieszawa;2474
Odolanów;2472
Łabiszyn;2464
Miłosław;2452
Żabno;2437
Rajgród;2432
Miasteczko (Śląskie);2408
Radomyśl Wielki;2400
Krobia;2384
Mrocza;2383
Kańczuga;2382
Kórnik;2379
Kobylin;2359
Murowana Goślina;2351
Nowogród;2350
Jazłowiec;2335
Bojanowo;2333
Drohiczyn nad Bugiem;2309
Terespol;2308
Łobżenica;2294
Woźniki;2264
Skalbmierz;2245
Lubień (Kujawski);2241
Limanowa;2216
Radymno;2213
Zator;2179
Jedwabne;2167
Boćki;2165
Dukla;2157
Ujście;2144
Sędziszów;2142
Margonin;2135
Kalwaria Zebrzydowska;2116
Czempiń;2103
Barcin;2098
Druskieniki;2098
Ciężkowice;2079
Wojnicz;2062
Borek;2052
Kleszczele;2029
Sokoły;2028
Rakoniewice;2015
Niżankowice (dziś Ukraina);2014
Rychwał;2011
Radzyń Chełmiński;1987
Strumień;1984
Wilamowice;1969
Budzyń;1951
Sieniawa;1950
Szamocin;1937
Piaski;1881
Kamień Pomorski (dziś Kamień Krajeński);1827
Chodecz;1824
Witkowo;1824
Baranów (Sandomierski);1815
Górzno;1806
Skoki;1788
Obrzycko;1776
Krzywiń;1732
Krakowiec;1706
Kłecko;1698
Lanckorona;1697
Raszków;1692
Sarnowa (dziś część Rawicza);1690
Grabów (nad Prosną);1682
Jutrosin;1677
Wyrzysk;1642
Wielichowo;1630
Osieczna;1597
Pogorzela;1592
Nowy Dwór (nad Biebrzą);1588
Dolsk;1578
Żerków;1569
Gołańcz;1471
Wysoka;1463
Wyśmierzyce;1434
Brzostek;1396
Czerniejewo;1392
Mielnik (nad Bugiem);1389
Ryczywół;1381
Suraż;1379
Odelsk;1373
Rydzyna;1370
Zaniemyśl;1335
Święciechowa;1333
Uście Solne;1333
Mikstat;1316
Narew;1301
Bnin (Kórnik);1297
Ostroróg;1289
Powidz;1255
Gębice;1250
Mieścisko;1241
Miasteczko (Krajeńskie);1218
Szczerzec;1210
Stara Sól;1152
Rogowo (nad jez. Rogowskim);1140
Rychtal;1126
Nowe Miasto nad Wartą;1071
Rostarzewo;989
Książ (Wielkopolski);928
Władysławów;906
Gąsawa;893
Jaraczew (Jaraczewo);833
Rynarzewo;688
Kopanica;640
Huta Laura;0
