City;Population
Aleksandrów (£ódzki);13333
Aleksandrów Kujawski;9554
Andrychów;7000
Augustów;17861
Baranowicze;30119
Baranów (Sandomierski);2000
Barcin;2394
Barysz;6240
Be³chatów;10264
Be³z;4897
Beresteczko;6486
Bereza Kartuska;4879
BereŸne;6043
Bêdzin;50721
Bia³a Krakowska (dziœ czêœæ Bielska-Bia³ej);30337
Bia³a Podlaska;22000
Bia³a Rawska;3200
Bia³ystok;105346
Biecz;4960
Bielsk Podlaski;8214
Bielsko (dziœ czêœæ Bielska-Bia³ej);32000
Bieruñ Stary;4000
Bi³goraj;8828
B³aszki;4986
B³a¿owa;5008
B³onie;8700
Bochnia;14780
Bogumin;2581
Bogumin Nowy;10700
Bohorodczany;3166
Bojanowo;3025
Bolechów;11744
Bo³szowce;4990
Borek;2280
Borszczów;6304
Borys³aw;45166
Bóbrka (Ukraina);5609
Brañsk;4611
Bras³aw;4500
Brodnica;11220
Brody;13628
Brok;3200
Brzesko;3863
Brzeœæ Kujawski;6775
Brzeœæ nad Bugiem;57008
Brzeziny;14000
Brze¿any;11731
Brzozów;4750
Buczacz;10672
Budzanów;4933
Buk;3586
Bursztyn;4384
Busko (dziœ Busko-Zdrój);5570
Bydgoszcz;141000
Che³m;30900
Che³mno;13452
Che³m¿a;12983
Chêciny;5657
Chmielnik;8250
Chodecz;1900
Chodzie¿;8478
Chojnice;16975
Chorostków;7310
Choroszcz;3028
Chorzele;4000
Chorzów;109500
Chrzanów;21651
Chyrów;4314
Ciechanowiec;6169
Ciechanów;15200
Ciechocinek;5220
Cieszanów;3197
Cieszyn;20385
Czarnków;4986
CzeladŸ;21235
Czempiñ;2406
Czerniejewo;1587
Czersk;8500
Czêstochowa;138000
Czortków;19038
Dawidgródek;10566
D¹bie;4212
D¹browa (Tarnowska);6100
D¹browa Górnicza;41373
D¹browa Grodzieñska (dziœ D¹browa Bia³ostocka);4096
D¹browica;7565
Delatyn;8864
Dêbica;10575
Dobczyce;3380
Dobra;3009
Dobrzyñ nad Drwêc¹;5694
Dobrzyñ nad Wis³¹;3207
Dokszyce;3184
Dolina;11102
Dolsk;1876
Drohiczyn nad Bugiem;2800
Drohiczyn Poleski;3457
Drohobycz;3500
Druskieniki;3000
Dubienka;4500
Dubno;18167
Dukla;2300
Dzia³dowo;5859
Dzia³oszyce;5972
Dzisna;4863
Fordon (dziœ czêœæ Bydgoszczy);4921
Frysztat;7124
Garwolin;7783
G¹bin;7600
Gdynia;120000
Gliniany (dziœ Ukraina);4689
G³êbokie;9200
G³ogów (Ma³opolski);2963
G³owno;7600
Gniew;3500
Gniewkowo;4657
Gniezno;33100
Golina;2902
Golub;3297
Go³añcz;1560
Goni¹dz;3600
Gorlice;6730
Gostynin;8329
Gostyñ;7680
Góra Kalwaria;7279
Górzno;1947
Grabów (nad Prosn¹);1690
Grajewo;10000
Grodno;57281
Grodzisk (Wielkopolski);7000
Grodzisk Mazowiecki;18737
Gródek Jagielloñski;15015
Grójec;10430
Grudzi¹dz;59200
Grybów;3400
Grzyma³ów (dziœ Ukraina);4794
GwoŸdziec;3013
Hajduki Wielkie;0
Halicz;4387
Horochów;6407
Horodenka;13780
Hrubieszów;13774
Husiatyn;3675
Huta Laura;0
I³¿a;5099
Indura;2650
Inowroc³aw;39757
Janowiec (Wielkopolski);3350
Janów (dziœ Iwano-Frankowe);3000
Janów Lubelski;7402
Janów Podlaski;4000
Jarocin;9550
Jaros³aw (nad Sanem);22195
Jaryczów Nowy;3204
Jas³o;12000
Jaworów;10794
Jaworzno;23000
Jedwabne;2720
Jêdrzejów;14600
Jordanów;3300
Jutrosin;1731
Kalisz;80216
Kalwaria Zebrzydowska;2154
Ka³usz;14699
Ka³uszyn;9000
Kamieniec Litewski (dziœ Bia³oruœ);4400
Kamieñ Koszyrski;21168
Kamieñ Pomorski (dziœ Kamieñ Krajeñski);1523
Kamionka Strumi³owa (Kamionka Bu¿añska);9384
Kañczuga;2385
Kartuzy;5600
Karwina;23000
Katowice;134500
Kazimierz Dolny;5673
Kcynia;4860
Kêpno;7778
Kêty;7250
Kielce;68827
Kleck;6885
Kleczew;3474
Kleszczele;2200
K³ecko;1800
K³obuck;8686
K³odawa;5509
Knyszyn;4400
Kobryñ;11020
Kobylin;2600
Kock;4500
Kolbuszowa;3132
Kolno;5085
Ko³o;14211
Ko³omyja;40000
Komarno (dziœ Ukraina);5930
Koniecpol;2596
Konin;11200
Konstantynów (£ódzki);8970
Koñskie;11422
Koronowo;5560
Korzec;6503
Kosów Huculski;10300
Kosów Poleski (dziœ Bia³oruœ);3703
Kostopol;11742
Kostrzyn;3706
Koœcian;12500
Koœcierzyna;9499
Kowal;5600
Kowalewo (Pomorskie);3692
Kowel;35000
Kozienice;8690
Kozowa;6455
KoŸmin (dziœ KoŸmin Wielkopolski);5650
Kórnik;2614
Krakowiec;2000
Kraków;259000
Krasnystaw;11680
Kraœnik;13284
Krobia;2900
Krosno;17738
Kroœniewice;3565
Krotoszyn;14135
Kruszwica;5313
Krynica-Zdrój;6600
Krynki;6200
Krzemieniec;22470
Krzepice;6000
Krzeszowice;3500
Krzywiñ;1905
Ksi¹¿ (Wielkopolski);1800
Kulików (rejon ¿ó³kiewski);3553
Kutno;25353
Kuty;5424
Lachowicze;4737
Lesko;4019
Leszno;20751
Le¿ajsk;6250
Lida;26257
Lidzbark;7783
Limanowa;2587
Lipiny;18000
Lipno;12018
Lubaczów;6712
Lubartów;8076
Lubawa;5791
Lubieñ (Kujawski);2400
Lublin;122000
Lubliniec;9091
Luboml;7800
Lubraniec;2800
Lwów;318144
Lwówek;2750
£abiszyn;2750
£añcut;8572
£apy;7250
£asin;2541
£ask;7420
£êczna;4240
£êczyca;10987
£ob¿enica;2506
£om¿a;27262
£opatyn;3600
£osice;5091
£owicz;19000
£ódŸ;672000
£uck;42553
£uków;14865
£uniniec;9300
Maków Mazowiecki;7000
Maków Podhalañski;4700
