District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
AUGUSTOWSKI,18.44,13.22,14.0,12.87,12.56,15.63,17.1,3.33,3.04,4.7,3.41,2.22
BIAŁOSTOCKI,18.75,14.38,14.5,13.6,13.38,18.5,15.25,2.52,0.0,4.76,3.56,2.11
BIELSKI (BIELSK PODLASKI),17.79,13.28,14.0,12.71,12.15,13.94,13.21,2.43,2.15,4.04,2.72,1.71
GRODZIEŃSKI,17.59,13.11,14.93,13.0,11.94,12.6,15.14,2.69,2.45,3.91,3.17,1.89
ŁOMŻYŃSKI,18.45,14.18,14.86,13.38,12.56,15.2,14.5,2.59,0.0,4.93,3.56,1.88
OSTROŁĘCKI,17.39,14.5,15.33,13.85,11.53,16.63,16.25,2.43,2.1,5.36,4.37,2.32
OSTROWSKI (OSTRÓW MAZOWIECKA),18.4,13.67,14.2,13.09,12.23,17.63,20.0,2.54,2.43,4.44,3.41,1.77
SOKÓLSKI,18.96,13.34,14.0,12.92,12.41,14.87,14.21,2.74,0.0,3.71,2.98,1.92
SUWALSKI,17.94,12.88,13.33,12.81,11.5,13.0,17.83,3.27,0.0,5.48,4.66,2.76
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),18.56,14.71,15.5,14.88,12.89,14.6,18.6,2.63,1.75,3.37,2.73,1.71
WOŁKOWYSKI,16.81,12.83,14.44,13.17,12.08,15.03,16.07,2.81,2.51,4.06,3.09,1.83
WYSOKOMAZOWIECKI,17.42,13.85,14.67,13.0,12.36,0.0,0.0,2.72,0.0,3.62,3.1,1.93
BIAŁYSTOK (MIASTO),18.75,14.38,0.0,13.6,13.38,0.0,0.0,2.52,0.0,4.76,3.56,2.11
BĘDZIŃSKI,21.33,14.57,0.0,15.17,16.0,0.0,0.0,4.94,3.5,7.0,5.19,3.48
CZĘSTOCHOWSKI,19.93,14.0,16.5,14.36,14.44,0.0,26.5,3.12,2.67,5.98,4.31,2.14
IŁŻECKI,17.73,11.64,11.5,11.11,10.73,17.71,21.86,3.68,2.85,6.0,3.75,2.5
JĘDRZEJOWSKI,17.92,12.57,12.33,12.13,11.45,0.0,20.14,2.86,2.0,5.28,4.09,2.07
KIELECKI,18.88,13.0,13.0,11.6,12.33,0.0,18.0,3.21,0.0,5.63,4.5,2.58
KONECKI,20.17,13.25,0.0,13.0,13.29,0.0,0.0,2.91,0.0,6.67,5.33,3.08
KOZIENICKI,17.85,13.29,13.71,12.74,10.63,18.55,21.17,3.26,2.37,5.25,4.16,2.63
MIECHOWSKI,18.57,14.14,15.0,13.46,13.79,0.0,22.4,3.68,3.33,6.33,4.67,2.4
