District,Polish,% Polish,Belarusian,% Belarusian,Ruthenian,% Ruthenian,Local (Tutejszy),% Local (Tutejszy),German,% German,Jewish,% Jewish,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
AUGUSTOWSKI,58896.0,0.944088228,92.0,0.001474737,4.0,6.4119e-05,0.0,0.0,42.0,0.00067325,2789.0,0.044706976,561.0,0.00899269,3488.0,0.055911772
BIAŁOSTOCKI,127852.5118897292,0.6846038743380988,5930.717717718352,0.031756844281868375,48.30538034710759,0.00025865756692516423,0.0,0.0,2014.0386132477715,0.010784447264116167,46381.051725933015,0.24835372566330688,1879.96653718233,0.010066539602166073,56254.079974428576,0.30122021437838264
BIELSKI (BIELSK PODLASKI),87109.0,1.057506598,44885.0,0.777289933,66.0,0.002245704,0.0,0.0,50.0,0.000627912,14556.0,0.153178531,429.0,0.009151322,59986.0,0.942493402
GRODZIEŃSKI,77542.59651973081,0.5154284119309313,36727.67032799583,0.24413013813221587,22.30933380253347,0.00014829107134101507,0.0,0.0,103.18066883671729,0.0006858456239799603,23532.628939372386,0.1564222258078037,1916.7435958676672,0.012740663468844941,62302.53286587513,0.41412716317462994
ŁOMŻYŃSKI,120038.82916683237,1.3783962821981302,15.163484030402206,0.00015571469420140192,19.81742015201103,0.0002288251801360021,0.0,0.0,293.0721941064077,0.0029010598424436046,18288.22196307614,0.19736599718975772,241.2654914441048,0.0026941360382600806,18857.540552809063,0.203345733002973
OSTROŁĘCKI,93215.17083316763,1.3153130838018698,2.8365159695977935,4.0228305798598054e-05,5.182579847988968,7.924931986399789e-05,0.0,0.0,3.9278058935922777,5.953765755639548e-05,7132.778036923861,0.10131552381024228,100.73450855589519,0.001450361961739919,7245.459447190935,0.10294490099702698
OSTROWSKI (OSTRÓW MAZOWIECKA),83427.0,0.883227289,23.0,0.000243497,9.0,9.52815e-05,0.0,0.0,404.0,0.004277078,10493.0,0.111087585,101.0,0.00106927,11030.0,0.116772711
SOKÓLSKI,78889.0,0.873980768,4522.0,0.050097492,14.0,0.000155101,0.0,0.0,5.0,5.53931e-05,6531.0,0.072354427,303.0,0.00335682,11375.0,0.126019232
SUWALSKI,75193.0,1.595631251,39.0,0.001102118,4.0,5.68085e-05,0.0,0.0,1117.0,0.019664868,5901.0,0.10211778199999999,7862.0,0.28142717100000003,14923.0,0.404368749
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),51031.0,0.877152876,19.0,0.000326584,7.0,0.00012032,0.0,0.0,14.0,0.000240641,6996.0,0.120251642,111.0,0.001907938,7147.0,0.122847124
WOŁKOWYSKI,80198.0,0.695794761,23933.0,0.207641787,51.0,0.000442474,0.0,0.0,25.0,0.000216899,10704.0,0.092867492,350.0,0.003036587,35063.0,0.304205239
WYSOKOMAZOWIECKI,63263.0,0.891342022,334.0,0.004705882,51.0,0.000718563,0.0,0.0,9.0,0.000126805,7157.0,0.100838323,161.0,0.002268404,7712.0,0.108657978
BIAŁYSTOK (MIASTO),1838.4881102708118,0.009844437661901252,85.28228228164795,0.0004566557181316267,0.6946196528924118,3.719433074835762e-06,0.0,0.0,28.961386752228517,0.00015507773588383392,666.9482740669836,0.0035712663366931356,27.03346281766999,0.00014475439783392585,808.9200255714223,0.004331473621617357
BĘDZIŃSKI,109525.2434424043,0.28342695087825515,13.390758240538478,3.465241287831918e-05,17.216689166406614,4.455296563173445e-05,0.0,0.0,63.44668785397993,0.0001641859997527052,13306.906587746535,0.03443531234089626,278.9741300112183,0.0007219228770914876,13679.934853018678,0.03540062627742293
CZĘSTOCHOWSKI,207157.51313004413,0.8819266429987584,18.513606535610716,7.881748990388351e-05,488.17457233373517,0.00207829362167218,0.0,0.0,580.7426050117888,0.0024723810711915974,20268.501555117815,0.08628859930610927,365.40012899231675,0.0015556087123557224,21721.332467991266,0.09247370098075292
IŁŻECKI,129802.0,0.945802973,1.0,7.28651e-06,3.0,2.18595e-05,0.0,0.0,184.0,0.001340717,7217.0,0.052586709,33.0,0.000240455,7438.0,0.054197027
JĘDRZEJOWSKI,95535.19343664733,0.9485463354853352,1.031862315833611,1.0181528559758673e-05,1.0159311579168055,1.0074863881600388e-05,0.0,0.0,1.0637246316672224,1.0394857119517347e-05,5961.099364158041,0.05929674453392641,9.318623158336111,9.184708559758673e-05,5973.529505421794,0.059419243473067665
KIELECKI,160052.0,0.889840214,3.0,1.66791e-05,13.0,7.2276e-05,0.0,0.0,606.0,0.003369175,19112.0,0.10625688,80.0,0.000444776,19814.0,0.110159786
KONECKI,129998.0,0.896810067,0.0,0.0,4.0,2.75946e-05,0.0,0.0,17.0,0.000117277,14897.0,0.102769116,40.0,0.000275946,14958.0,0.103189933
KOZIENICKI,116945.0,0.941154221,1.0,8.04784e-06,13.0,0.000104622,0.0,0.0,1492.0,0.012007372,5787.0,0.046572829,19.0,0.000152909,7312.0,0.058845779
MIECHOWSKI,143369.80656335267,0.9599071125146649,3.968137684166389,2.656797144024133e-05,1.9840688420831945,1.3283936118399612e-05,0.0,0.0,7.936275368332778,5.313594288048266e-05,4744.900635841959,0.03176864046607359,39.68137684166389,0.00026567971440241326,4798.470494578206,0.03212730852693233
OLKUSKI,128256.0,0.941404444,0.0,0.0,12.0,8.80805e-05,0.0,0.0,15.0,0.000110101,7899.0,0.057978993,57.0,0.000418382,7983.0,0.058595556
OPATOWSKI,142203.0,0.874557196,0.0,0.0,6.0,3.69004e-05,0.0,0.0,4.0,2.46002e-05,20370.0,0.125276753,17.0,0.000104551,20397.0,0.125442804
OPOCZYŃSKI,115426.0,0.941707255,0.0,0.0,8.0,6.52683e-05,0.0,0.0,202.0,0.001648024,6914.0,0.056408123,21.0,0.000171329,7145.0,0.058292745
PIŃCZOWSKI,110067.0,0.914162555,0.0,0.0,4.0,3.3222e-05,0.0,0.0,6.0,4.98331e-05,10302.0,0.085563363,23.0,0.000191027,10335.0,0.085837445
RADOMSKI,166564.25624311855,0.861068638238401,0.9864979285205192,5.099789826300391e-06,17.756962713369347,9.179619714344847e-05,0.0,0.0,113.44726177985972,0.0005864759779992343,24015.30557190352,0.1241492441109995,115.42025763690074,0.0005966753800822079,24262.91655196217,0.12542929028211813
SANDOMIERSKI,103407.0,0.924407534,2.0,1.7879e-05,4.0,3.5758e-05,0.0,0.0,33.0,0.000295004,8402.0,0.075109732,15.0,0.000134093,8456.0,0.075592466
STOPNICKI,124865.0,0.887935203,0.0,0.0,4.0,2.84446e-05,0.0,0.0,166.0,0.001180453,15546.0,0.110550119,43.0,0.00030578,15759.0,0.112064797
WŁOSZCZOWSKI,89367.0,0.985053404,5.0,5.51128e-05,0.0,0.0,0.0,0.0,11.0,0.000121248,1326.0,0.014615919,14.0,0.000154316,1356.0,0.014946596
ZAWIERCIAŃSKI,226814.46779520225,0.5869453561732907,27.730755104864258,7.176125190672337e-05,35.653827991968335,9.226418377032693e-05,0.0,0.0,131.39095871114256,0.0003400107498771842,27557.107757421894,0.0713116610972811,577.724064684672,0.0014950211294695156,28329.60736391454,0.07331071775204877
CZĘSTOCHOWA (MIASTO),5442.486869955893,0.023170167001241596,0.4863934643892849,2.0707100961164926e-06,12.825427666264828,5.4601378327820204e-05,0.0,0.0,15.257394988211253,6.495492880840265e-05,532.498444882185,0.002266992693890739,9.599871007683255,4.0869287644277725e-05,570.6675320087336,0.002429489019247081
SOSNOWIEC,7185.288762393451,0.018593927948454162,0.8784866545972635,2.273335214957447e-06,1.129482841625053,2.9228505979386093e-06,0.0,0.0,4.16235343487751,1.0771250370110561e-05,872.9856548315711,0.0022590925618226486,18.301805304109656,4.736099343899659e-05,897.4577830667806,0.002322420970528303
RADOM (MIASTO),2279.7437568814516,0.011785336761598922,0.013502071479480772,6.9800173699609e-08,0.24303728663065388,1.2564028565515325e-06,0.0,0.0,1.5527382201402888,8.027022000765758e-06,328.6944280964799,0.0016992148890005053,1.5797423630992504,8.166619917792109e-06,332.0834480378296,0.0017167347178818492
