District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
AUGUSTOWSKI,56400.0,0.904077969,23.0,0.000368684,289.0,0.004632598,683.0,0.01094832,4036.0,0.064696076,932.0,0.014939728,21.0,0.000336625
BIAŁOSTOCKI,111882.16165252219,0.599088435605256,409.1169968173398,0.002190673644343547,3299.553224934063,0.0176679117149023,18035.651703068026,0.09657437984204519,50362.795220258886,0.2696745198147801,44.362083992241665,0.00023754318659303464,72.95098256501963,0.00039062589438528477
BIELSKI (BIELSK PODLASKI),66674.0,0.629867752,27.0,0.000208952,246.0,0.0070122,62730.0,1.162957206,17326.0,0.199097326,79.0,0.000611379,13.0,0.0002451848
GRODZIEŃSKI,57548.78565478529,0.3825288362834011,17.66155592700566,0.00011739729180238174,304.8942286346241,0.0020266430924012475,52194.545542177264,0.34693901076644706,29581.247066584274,0.19662760708583013,23.23888937763903,0.00015446982724874175,174.75644811984552,0.0011616126175416387
ŁOMŻYŃSKI,117331.53756208518,1.3493954866208742,22.98090418241324,0.0002667369325116056,874.3484030402207,0.009268989256656163,340.7177519001379,0.0037732881604101024,20307.62161440307,0.2188425320600177,1.5817420152011032,1.895572801360021e-05,17.581742015201105,0.00017602681801360021
OSTROŁĘCKI,91047.46243791482,1.285314185379126,7.019095817586762,0.00010593416748839443,162.65159695977937,0.0023840587433438362,163.2822480998621,0.0023246568395898976,9008.37838559693,0.1271544189399823,71.4182579847989,0.0009681615819863999,0.4182579847988968,6.570581986399789e-06
OSTROWSKI (OSTRÓW MAZOWIECKA),78238.0,0.828292239,0.0,0.0,1233.0,0.013053559,173.0,0.001831521,14799.0,0.156674466,0.0,0.0,14.0,0.000148216
SOKÓLSKI,72225.0,0.800152885,26.0,0.000288044,31.0,0.000343437,9357.0,0.10366259,8413.0,0.093204378,0.0,0.0,212.0,0.002348666
SUWALSKI,71039.0,1.605713221,16.0,0.000373429,6079.0,0.095727807,655.0,0.017635562,8099.0,0.146272396,4224.0,0.134147679,4.0,0.0001299062
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),50561.0,0.86907422,11.0,0.000189075,144.0,0.002475162,151.0,0.002595483,7278.0,0.125098835,33.0,0.000567225,0.0,0.0
WOŁKOWYSKI,53308.0,0.462498156,26.0,0.000225575,260.0,0.00225575,47954.0,0.416047058,13672.0,0.118617746,0.0,0.0,41.0,0.000355714
WYSOKOMAZOWIECKI,62002.0,0.873575203,20.0,0.000281789,81.0,0.001141247,740.0,0.010426206,8114.0,0.114321944,0.0,0.0,18.0,0.00025361
BIAŁYSTOK (MIASTO),1608.8383474778104,0.008614746394743963,5.8830031826602225,3.150135565645296e-05,47.446775065936784,0.0002540602850977046,259.3482969319729,0.0013887161579548167,724.2047797411152,0.0038778541852199024,0.6379160077583375,3.4158134069653606e-06,1.0490174349803771,5.6171056147152645e-06
BĘDZIŃSKI,106166.71374464639,0.2747358233522985,26.1438613267656,6.765457421728058e-05,411.92522968513606,0.0010659706720829113,304.16150860651686,0.0007871023928273087,16081.6629917324,0.041615764345394726,196.71661510505336,0.0005090589205138078,17.85434432071797,4.6203217171092244e-05
