District,Total population
AUGUSTOWSKI,0.0
BIAŁOSTOCKI,0.0
BIELSKI (BIELSK PODLASKI),0.0
GRODZIEŃSKI,0.0
ŁOMŻYŃSKI,0.0
OSTROŁĘCKI,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0
SOKÓLSKI,0.0
SUWALSKI,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0
WOŁKOWYSKI,0.0
WYSOKOMAZOWIECKI,0.0
BIAŁYSTOK (MIASTO),0.0
BĘDZIŃSKI,0.0
CZĘSTOCHOWSKI,0.0
IŁŻECKI,0.0
JĘDRZEJOWSKI,0.0
KIELECKI,0.0
KONECKI,0.0
KOZIENICKI,0.0
MIECHOWSKI,0.0
OLKUSKI,0.0
OPATOWSKI,0.0
OPOCZYŃSKI,0.0
PIŃCZOWSKI,0.0
RADOMSKI,0.0
SANDOMIERSKI,0.0
STOPNICKI,0.0
WŁOSZCZOWSKI,0.0
ZAWIERCIAŃSKI,0.0
CZĘSTOCHOWA (MIASTO),0.0
SOSNOWIEC,0.0
RADOM (MIASTO),0.0
BIALSKI (BIAŁA KRAKOWSKA),114666.0
BOCHEŃSKI,108375.0
BRZESKI (BRZESKO),96197.0
CHRZANOWSKI,116668.0
DĄBROWSKI,63717.0
GORLICKI,92518.0
JASIELSKI,106870.0
KRAKOWSKI,143266.0
KRAKÓW (MIASTO),183706.0
LIMANOWSKI,78126.0
MIELECKI,72621.0
MYŚLENICKI,93863.0
NOWOSĄDECKI,157839.0
NOWOTARSKI,104483.0
ROPCZYCKI,101658.0
TARNOWSKI,118821.0
WADOWICKI,128130.0
ŻYWIECKI,109847.0
BIALSKI (BIAŁA PODLASKA),0.0
BIŁGORAJSKI,0.0
CHEŁMSKI,0.0
GARWOLIŃSKI,0.0
HRUBIESZOWSKI,0.0
JANOWSKI,0.0
KRASNOSTAWSKI,0.0
LUBARTOWSKI,0.0
LUBELSKI,0.0
ŁUKOWSKI,0.0
PUŁAWSKI,0.0
RADZYŃSKI,0.0
SIEDLECKI,0.0
SOKOŁOWSKI,0.0
TOMASZOWSKI,0.0
WĘGROWSKI,0.0
WŁODAWSKI,0.0
ZAMOJSKI,0.0
LUBLIN (MIASTO),0.0
BÓBRECKI,83281.0
BRZOZOWSKI,79107.0
DOBROMILSKI,83370.0
DROHOBYCKI,165391.0
GRÓDECKI,73396.0
JAROSŁAWSKI,137812.0
JAWOROWSKI,78246.0
KOLBUSZOWSKI,67301.0
KROŚNIEŃSKI,102127.0
LESKI,92576.0
LWOWSKI,120317.0
LWÓW (MIASTO),249627.0
ŁAŃCUCKI,92154.0
MOŚCISKI,84076.0
NIŻAŃSKI,60925.0
PRZEMYSKI,146596.0
PRZEWORSKI,59052.0
RAWSKI (RAWA RUSKA),106607.0
RUDECKI,72987.0
RZESZOWSKI,174700.0
SAMBORSKI,123682.0
SANOCKI,102167.0
SOKALSKI,98732.0
TARNOBRZESKI,71492.0
ŻÓŁKIEWSKI,84574.0
LUBACZOWSKI,80777.0
TURCZAŃSKI,97179.0
BRZEZIŃSKI,0.0
KALISKI,0.0
KOLSKI,0.0
KONIŃSKI,0.0
ŁASKI,0.0
ŁĘCZYCKI,0.0
ŁÓDZKI,0.0
ŁÓDŹ (MIASTO),0.0
PIOTRKOWSKI,0.0
RADOMSZCZAŃSKI,0.0
SIERADZKI,0.0
TURECKI,0.0
WIELUŃSKI,0.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,0.0
BRASŁAWSKI,0.0
LIDZKI,0.0
NIEŚWIESKI,0.0
NOWOGRÓDZKI,0.0
SŁONIMSKI,0.0
STOŁPECKI,0.0
WOŁOŻYŃSKI,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0
BRZESKI (BRZEŚĆ N.BUG.),0.0
DROHICKI,0.0
KOBRYŃSKI,0.0
KOSZYRSKI,0.0
ŁUNINIECKI,0.0
PIŃSKI,0.0
PRUŻAŃSKI,0.0
STOLIŃSKI,0.0
IWACEWICKI,0.0
BRODNICKI,52793.0
CHEŁMIŃSKI,47578.0
CHOJNICKI,70201.0
DZIAŁDOWSKI,39623.0
GRUDZIĄDZ (MIASTO),35656.0
GRUDZIĄDZKI,40233.0
KARTUSKI,64404.0
KOŚCIERSKI,48910.0
LUBAWSKI,51840.0
SĘPOLEŃSKI,28064.0
STAROGARDZKI,64033.0
ŚWIECKI,81775.0
TCZEWSKI,58432.0
TORUŃ (MIASTO),39424.0
TORUŃSKI,53998.0
TUCHOLSKI,40211.0
WĄBRZESKI,46776.0
MORSKI,68166.0
GDYNIA (MIASTO),3526.0
BYDGOSKI,52620.0
BYDGOSZCZ (MIASTO),87643.0
CHODZIESKI,41742.0
CZARNKOWSKI,43340.0
GNIEŹNIEŃSKI,60175.0
GOSTYŃSKI,56734.0
INOWROCŁAWSKI,48450.0
JAROCIŃSKI,86980.0
KĘPIŃSKI,85348.0
KOŚCIAŃSKI,80464.0
KROTOSZYŃSKI,75861.0
LESZCZYŃSKI,58638.0
MIĘDZYCHODZKI,30131.0
MOGILEŃSKI,87885.0
NOWOTOMYSKI,85821.0
OBORNICKI,48940.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),100723.0
POZNAŃ (MIASTO),185461.0
RAWICKI,49887.0
SZAMOTULSKI,66056.0
SZUBIŃSKI,46089.0
ŚREDZKI,49958.0
ŚREMSKI,56550.0
WĄGROWIECKI,54352.0
WOLSZTYŃSKI,48661.0
WRZESIŃSKI,43849.0
WYRZYSKI,62531.0
ŻNIŃSKI,41063.0
POZNAŃSKI,79274.0
GNIEZNO (MIASTO),25649.0
INOWROCŁAW (MIASTO),26945.0
DOLIŃSKI,95607.0
HORODEŃSKI,81347.0
KAŁUSKI,85218.0
KOŁOMYJSKI,157600.0
KOSOWSKI (KOSÓW HUCULSKI),83647.0
NADWÓRNIAŃSKI,108331.0
ROHATYŃSKI,108380.0
STANISŁAWOWSKI,163490.0
STRYJSKI,129419.0
ŚNIATYŃSKI,72798.0
TŁUMACKI,102473.0
ŻYDACZOWSKI,74018.0
BIELSKI (BIELSKO),0.0
BIELSKO (MIASTO),0.0
CIESZYŃSKI,0.0
TARNOGÓRSKI,0.0
KATOWICE (MIASTO),0.0
KATOWICKI,0.0
LUBLINIECKI,0.0
PSZCZYŃSKI,0.0
RYBNICKI,0.0
ŚWIĘTOCHŁOWICKI,0.0
CHORZÓW,0.0
BORSZCZOWSKI,93051.0
BRODZKI,80931.0
BRZEŻAŃSKI,87896.0
BUCZACKI,118013.0
CZORTKOWSKI,72330.0
KAMIONECKI,74598.0
PODHAJECKI,80302.0
PRZEMYŚLAŃSKI,79599.0
RADZIECHOWSKI,64561.0
SKAŁACKI,81779.0
TARNOPOLSKI,131234.0
TREMBOWELSKI,80542.0
ZALESZCZYCKI,64290.0
ZBARASKI,65390.0
ZBOROWSKI,69813.0
ZŁOCZOWSKI,108051.0
KOPYCZYNIECKI,82985.0
BŁOŃSKI,0.0
CIECHANOWSKI,0.0
GOSTYNIŃSKI,0.0
GRÓJECKI,0.0
KUTNOWSKI,0.0
LIPNOWSKI,0.0
ŁOWICKI,0.0
MAKOWSKI (MAKÓW MAZOWIECKI),0.0
MIŃSKI,0.0
MŁAWSKI,0.0
NIESZAWSKI,0.0
PŁOCKI,0.0
PŁOŃSKI,0.0
PRZASNYCKI,0.0
PUŁTUSKI,0.0
RADZYMIŃSKI,0.0
RAWSKI (RAWA MAZOWIECKA),0.0
RYPIŃSKI,0.0
SIERPECKI,0.0
SKIERNIEWICKI,0.0
SOCHACZEWSKI,0.0
WARSZAWSKI,0.0
WŁOCŁAWSKI,0.0
DUBIEŃSKI,0.0
HOROCHOWSKI,0.0
KOWELSKI,0.0
KRZEMIENIECKI,0.0
LUBOMELSKI,0.0
ŁUCKI,0.0
RÓWIEŃSKI,0.0
WŁODZIMIERSKI,0.0
KOSTOPOLSKI,0.0
ZDOŁBUNOWSKI,0.0
SARNEŃSKI,0.0
OSZMIAŃSKI,0.0
ŚWIĘCIAŃSKI,0.0
WILNO (MIASTO),0.0
DZIŚNIEŃSKI,0.0
WILEJSKI,0.0
WILEŃSKO-TROCKI,0.0
POSTAWSKI,0.0
MOŁODECZAŃSKI,0.0
