District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,5294.0,115272.0,26362.0,98682.0,721310.0
BIAŁOSTOCKI,7991.090063135798,185734.1874346287,22285.539349524777,120278.42541612046,1065807.9403304043
BIELSKI (BIELSK PODLASKI),19193.0,158219.0,76891.0,117407.0,1881605.0
GRODZIEŃSKI,26519.291002186554,461261.27881215623,48179.795013296345,136741.34332032848,1575288.087352991
ŁOMŻYŃSKI,49950.15948955148,290017.0329194678,67087.60962411921,124689.35740944727,1854225.5782621065
OSTROŁĘCKI,33179.84051044852,270038.9670805323,30475.39037588078,96662.64259055274,1754691.4217378935
OSTROWSKI (OSTRÓW MAZOWIECKA),25491.0,102661.0,18361.0,102641.0,764147.0
SOKÓLSKI,3968.0,191224.0,43360.0,86345.0,857028.0
SUWALSKI,8367.0,292155.0,39094.0,173143.0,1353884.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),20661.0,125769.0,19708.0,68288.0,699875.0
WOŁKOWYSKI,8867.0,395630.0,55585.0,150186.0,1798522.0
WYSOKOMAZOWIECKI,31544.0,166277.0,33039.0,105620.0,892874.0
BIAŁYSTOK (MIASTO),114.90993686420184,2670.8125653713237,320.46065047522166,1729.5745838795385,15326.059669595608
BĘDZIŃSKI,6464.866781985684,41611.781232473324,17172.69096075913,36844.99012641878,468581.2089732772
CZĘSTOCHOWSKI,25988.231574277546,177789.08676250165,61928.98826196182,177624.4131043691,1971260.6158877504
IŁŻECKI,27103.0,274083.0,106705.0,185858.0,2035923.0
JĘDRZEJOWSKI,65182.770796420984,174492.2311628635,95687.69578604694,101834.06214180093,1748995.5386987121
KIELECKI,18369.0,229428.0,49140.0,81519.0,1586479.0
KONECKI,14060.0,107050.0,35825.0,72373.0,993124.0
KOZIENICKI,14395.0,192626.0,68850.0,140495.0,1480344.0
MIECHOWSKI,141947.22920357902,162802.7688371365,155637.30421395306,161909.9378581991,1313218.4613012879
OLKUSKI,20251.0,134475.0,108666.0,174681.0,1188121.0
OPATOWSKI,49834.0,192370.0,164164.0,220483.0,1992712.0
OPOCZYŃSKI,22496.0,247104.0,44873.0,139383.0,1802980.0
PIŃCZOWSKI,46942.0,118949.0,68430.0,58667.0,972379.0
RADOMSKI,42486.492785521725,357127.04759335576,90308.95286641092,177541.01869376635,2369425.96860458
SANDOMIERSKI,41420.0,111084.0,77851.0,89647.0,1184283.0
STOPNICKI,27330.0,94099.0,76968.0,65949.0,1407204.0
WŁOSZCZOWSKI,55972.0,109886.0,67295.0,89639.0,1086764.0
ZAWIERCIAŃSKI,13388.012410984109,86173.32148836568,35562.71265376663,76301.83292710793,970379.0121041454
CZĘSTOCHOWA (MIASTO),682.7684257224536,4670.913237498365,1627.0117380381785,4666.586895630901,51789.38411224962
SOSNOWIEC,424.1208070302074,2729.8972791609963,1126.5963854742336,2417.1769464732897,30740.778922577447
RADOM (MIASTO),581.5072144782779,4887.952406644232,1236.0471335890672,2429.981306233634,32430.03139541977
BIALSKI (BIAŁA KRAKOWSKA),14726.428410263237,19647.024069021983,20197.191772122987,117942.2086656017,366973.3217677572
BOCHEŃSKI,24133.0,48275.0,29361.0,71562.0,590310.0
BRZESKI (BRZESKO),39869.0,28255.0,47913.0,64511.0,1035450.0
CHRZANOWSKI,5393.0,35923.0,23588.0,76269.0,559879.0
DĄBROWSKI,28777.0,37187.0,23127.0,29759.0,712455.0
