District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIR.1,Kategoria VIIPR.1
AUGUSTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,28.0,3.0,222.0,48.0
BIAŁOSTOCKI,0.9858240887164814,0.0,3.9432963548659257,0.0,14.78736133074722,0.0,69.99351029887018,0.0,72.95098256501963,3.9432963548659257,59.14944532298888,4.929120443582407,175.4766877915337,2.9574722661494444,1405.7851505097026,81.82339936346796
BIELSKI (BIELSK PODLASKI),0.0,1.0,2.0,0.0,2.0,0.0,12.0,1.0,16.0,0.0,19.0,5.0,72.0,4.0,691.0,99.0
GRODZIEŃSKI,0.0,0.0,0.9295555751055612,0.0,1.8591111502111224,0.9295555751055612,26.027556102955714,0.0,19.520667077216785,0.0,30.67533397848352,0.9295555751055612,64.13933468228372,4.647777875527806,1256.7591375427187,150.5880031671009
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,6.581742015201103,0.0,11.908710076005516,0.0,20.908710076005516,1.0,74.38006634962538,2.0,1027.503508742744,86.56264619761434
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.4182579847988968,0.0,9.091289923994484,1.0,10.091289923994484,0.0,50.61993365037463,0.0,481.4964912572558,29.43735380238566
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,14.0,1.0,46.0,2.0,672.0,24.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,98.0,5.0,323.0,26.0
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,30.0,0.0,533.0,69.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,11.0,0.0,15.0,0.0,388.0,15.0
WOŁKOWYSKI,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,3.0,31.0,2.0,66.0,13.0,383.0,41.0
