District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,660.0,18720.0,2800.0,10100.0,7600.0
BIAŁOSTOCKI,1163.272424685448,28845.212835844246,4179.894136157881,15576.020601720407,11632.724246854481
BIELSKI (BIELSK PODLASKI),2120.0,31160.0,8600.0,18500.0,14600.0
GRODZIEŃSKI,2918.804505831462,63228.37021868027,6228.02235320726,23610.711607681253,18033.378157047886
ŁOMŻYŃSKI,4788.919534202482,32831.88725650807,3979.832433442427,14446.716710968054,14344.807129209377
OSTROŁĘCKI,3521.0804657975177,29928.112743491933,2220.167566557573,8353.283289031948,12655.192870790623
OSTROWSKI (OSTRÓW MAZOWIECKA),2700.0,21900.0,2100.0,12100.0,7500.0
SOKÓLSKI,470.0,29330.0,5400.0,15000.0,12300.0
SUWALSKI,800.0,32550.0,3800.0,16500.0,17500.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1730.0,13970.0,2000.0,7100.0,6600.0
WOŁKOWYSKI,1330.0,48530.0,8000.0,22200.0,14400.0
WYSOKOMAZOWIECKI,2870.0,20570.0,3300.0,13500.0,9800.0
BIAŁYSTOK (MIASTO),16.72757531455196,414.7871641557545,60.1058638421189,223.97939827959402,167.2757531455196
BĘDZIŃSKI,864.0227340918875,7313.904619951255,1689.7861589250938,3411.455075565755,6089.606723673451
CZĘSTOCHOWSKI,3205.7771316925923,28813.018171474152,6577.202321861701,14518.56512529472,20267.527154773838
IŁŻECKI,4190.0,33330.0,10600.0,18500.0,17400.0
JĘDRZEJOWSKI,9386.855043319769,25627.80451598037,9831.51810541764,12629.042379126126,15298.773179084195
KIELECKI,4050.0,29340.0,5310.0,10800.0,13700.0
KONECKI,1600.0,17030.0,3800.0,8400.0,10700.0
KOZIENICKI,1700.0,31710.0,7500.0,15400.0,11500.0
MIECHOWSKI,14553.144956680231,17162.19548401963,13888.48189458236,16070.957620873874,12301.226820915806
OLKUSKI,2030.0,17470.0,9590.0,12700.0,12600.0
OPATOWSKI,7300.0,24750.0,13800.0,19500.0,13200.0
OPOCZYŃSKI,2900.0,30680.0,4750.0,13100.0,15900.0
PIŃCZOWSKI,7150.0,17180.0,8330.0,9800.0,10800.0
RADOMSKI,5248.168979729162,36145.28410099183,8286.58259957236,19236.709606150125,18250.211677629606
SANDOMIERSKI,7340.0,16340.0,9900.0,12700.0,9400.0
STOPNICKI,7000.0,19900.0,12800.0,14800.0,13500.0
WŁOSZCZOWSKI,5970.0,14270.0,5700.0,7600.0,11500.0
ZAWIERCIAŃSKI,1789.29396033767,15146.274335847287,3499.3571918042994,7064.739991001133,12610.891011973983
CZĘSTOCHOWA (MIASTO),84.22286830740775,756.9818285258502,172.79767813829858,381.4348747052813,532.4728452261645
SOSNOWIEC,56.68330557044248,479.8210442014577,110.85664927060706,223.80493343311238,399.5022643525651
RADOM (MIASTO),71.83102027083771,494.7158990081755,113.41740042763848,263.29039384987504,249.78832237039427
