District,Buraki Cukrowe - przeciętny zbiór (q z ha)
AUGUSTOWSKI,0.0
BIAŁOSTOCKI,0.0
BIELSKI (BIELSK PODLASKI),0.0
GRODZIEŃSKI,0.0
ŁOMŻYŃSKI,0.0
OSTROŁĘCKI,175.0
OSTROWSKI (OSTRÓW MAZOWIECKA),42.0
SOKÓLSKI,0.0
SUWALSKI,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0
WOŁKOWYSKI,0.0
WYSOKOMAZOWIECKI,0.0
BIAŁYSTOK (MIASTO),0.0
BĘDZIŃSKI,0.0
CZĘSTOCHOWSKI,33.12961169530339
IŁŻECKI,257.0
JĘDRZEJOWSKI,11.462468121141622
KIELECKI,0.0
KONECKI,0.0
KOZIENICKI,981.0
MIECHOWSKI,1427.5375318788583
OLKUSKI,0.0
OPATOWSKI,1169.0
OPOCZYŃSKI,0.0
PIŃCZOWSKI,2273.0
RADOMSKI,66.09536121087478
SANDOMIERSKI,941.0
STOPNICKI,216.0
WŁOSZCZOWSKI,0.0
ZAWIERCIAŃSKI,0.0
CZĘSTOCHOWA (MIASTO),0.8703883046966151
SOSNOWIEC,0.0
RADOM (MIASTO),0.9046387891252117
BIALSKI (BIAŁA KRAKOWSKA),0.0
BOCHEŃSKI,0.0
BRZESKI (BRZESKO),0.0
CHRZANOWSKI,0.0
DĄBROWSKI,46.0
GORLICKI,0.0
JASIELSKI,0.28512432580497277
KRAKOWSKI,1631.0
KRAKÓW (MIASTO),0.0
LIMANOWSKI,0.0
MIELECKI,73.61487791321349
MYŚLENICKI,0.0
NOWOSĄDECKI,0.0
NOWOTARSKI,0.0
ROPCZYCKI,131.71487567419504
TARNOWSKI,98.0
WADOWICKI,0.0
ŻYWIECKI,0.0
BIALSKI (BIAŁA PODLASKA),70.46811520203423
BIŁGORAJSKI,0.0
CHEŁMSKI,591.0
GARWOLIŃSKI,418.0
HRUBIESZOWSKI,2960.7828581241447
JANOWSKI,925.0
KRASNOSTAWSKI,1222.0
LUBARTOWSKI,305.0
LUBELSKI,4363.1215191052415
ŁUKOWSKI,0.0
PUŁAWSKI,1241.0
RADZYŃSKI,223.0356266983428
SIEDLECKI,31.728262982732677
SOKOŁOWSKI,525.0
TOMASZOWSKI,1732.2171418758555
WĘGROWSKI,0.0
WŁODAWSKI,54.0
ZAMOJSKI,1179.0
LUBLIN (MIASTO),77.87848089475852
BÓBRECKI,533.0
BRZOZOWSKI,106.0
DOBROMILSKI,63.0
DROHOBYCKI,4.417275872846424
GRÓDECKI,134.05740698424367
JAROSŁAWSKI,2253.9134068175013
JAWOROWSKI,30.352928973419658
KOLBUSZOWSKI,0.38512208678651616
KROŚNIEŃSKI,19.154539363653527
LESKI,5.0
LWOWSKI,153.0
LWÓW (MIASTO),0.0
ŁAŃCUCKI,329.82812042200305
MOŚCISKI,215.0
NIŻAŃSKI,41.0
PRZEMYSKI,729.0
PRZEWORSKI,1221.0
RAWSKI (RAWA RUSKA),306.0
RUDECKI,154.58956162732207
RZESZOWSKI,201.01734021434345
SAMBORSKI,73.58272412715357
SANOCKI,76.0
SOKALSKI,482.855565605609
TARNOBRZESKI,386.0
ŻÓŁKIEWSKI,5.573108260242908
LUBACZOWSKI,67.0866955975135
TURCZAŃSKI,0.0
BRZEZIŃSKI,23.0
KALISKI,2925.0
KOLSKI,1786.0
KONIŃSKI,1819.0
ŁASKI,33.0
ŁĘCZYCKI,2728.0
ŁÓDZKI,0.0
ŁÓDŹ (MIASTO),0.0
PIOTRKOWSKI,81.0
RADOMSZCZAŃSKI,0.0
SIERADZKI,487.0
TURECKI,729.0
WIELUŃSKI,623.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,0.0
BRASŁAWSKI,0.0
LIDZKI,0.0
NIEŚWIESKI,0.0
NOWOGRÓDZKI,0.0
SŁONIMSKI,0.0
STOŁPECKI,0.0
WOŁOŻYŃSKI,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0
BRZESKI (BRZEŚĆ N.BUG.),60.7679951168903
DROHICKI,0.0
KOBRYŃSKI,0.0
KOSZYRSKI,0.0
ŁUNINIECKI,0.0
PIŃSKI,0.0
PRUŻAŃSKI,0.0
STOLIŃSKI,0.0
IWACEWICKI,0.0
BRODNICKI,561.0148695988786
CHEŁMIŃSKI,3780.5222995377917
CHOJNICKI,71.04462836848138
DZIAŁDOWSKI,11.0
GRUDZIĄDZ (MIASTO),0.0
GRUDZIĄDZKI,2311.248486847613
KARTUSKI,4.8648401802951655
KOŚCIERSKI,0.12200103924211696
LUBAWSKI,66.2909749065294
SĘPOLEŃSKI,154.0
STAROGARDZKI,1090.9345700450776
ŚWIECKI,830.0759286550064
TCZEWSKI,2301.2079889875486
TORUŃ (MIASTO),27.480712719466087
TORUŃSKI,3556.5730284302413
TUCHOLSKI,198.67333587047972
WĄBRZESKI,1209.933176032887
MORSKI,68.98649388401735
GDYNIA (MIASTO),1.0266648964453728
BYDGOSKI,1023.3681322847757
BYDGOSZCZ (MIASTO),2.6318677152241863
CHODZIESKI,75.0
CZARNKOWSKI,330.9383566576877
GNIEŹNIEŃSKI,3241.1820925833445
GOSTYŃSKI,3460.815808211595
INOWROCŁAWSKI,9286.566068739727
JAROCIŃSKI,3662.2909266269417
KĘPIŃSKI,1333.138312351419
KOŚCIAŃSKI,3310.144169241812
KROTOSZYŃSKI,3495.49762440749
LESZCZYŃSKI,1876.3148204673182
MIĘDZYCHODZKI,415.0
MOGILEŃSKI,8274.562702699117
NOWOTOMYSKI,3513.7134655383793
OBORNICKI,1038.6429811366288
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1041.0601294982705
POZNAŃ (MIASTO),0.0
RAWICKI,3027.1483347073513
SZAMOTULSKI,2943.0
SZUBIŃSKI,1856.0
ŚREDZKI,3405.0
ŚREMSKI,1507.589874487803
WĄGROWIECKI,1833.0
WOLSZTYŃSKI,637.0
WRZESIŃSKI,4435.606423122895
WYRZYSKI,1959.0
ŻNIŃSKI,2922.1426343663343
POZNAŃSKI,2115.371700791709
GNIEZNO (MIASTO),10.839643103906457
INOWROCŁAW (MIASTO),91.43393126027338
DOLIŃSKI,5.681324980251533
HORODEŃSKI,919.7664639920819
KAŁUSKI,7.60909781883661
KOŁOMYJSKI,542.2335360079181
KOSOWSKI (KOSÓW HUCULSKI),0.0
NADWÓRNIAŃSKI,0.24984848893087536
ROHATYŃSKI,440.0
STANISŁAWOWSKI,51.78718270412335
STRYJSKI,30.32539140201219
ŚNIATYŃSKI,129.0
TŁUMACKI,65.10304874470398
ŻYDACZOWSKI,157.99328361773627
BIELSKI (BIELSKO),35.0
BIELSKO (MIASTO),0.0
CIESZYŃSKI,0.0
TARNOGÓRSKI,25.0
KATOWICE (MIASTO),0.0
KATOWICKI,0.0
LUBLINIECKI,25.0
PSZCZYŃSKI,384.0
RYBNICKI,343.0
ŚWIĘTOCHŁOWICKI,0.0
CHORZÓW,0.0
BORSZCZOWSKI,396.67539251949495
BRODZKI,593.7993697140323
BRZEŻAŃSKI,264.84803033290956
BUCZACKI,166.12146078527854
CZORTKOWSKI,436.9695977217185
KAMIONECKI,204.3238560149408
PODHAJECKI,98.40965388652243
PRZEMYŚLAŃSKI,323.0
RADZIECHOWSKI,65.20063028596769
SKAŁACKI,232.6367066078555
TARNOPOLSKI,488.4046574701607
TREMBOWELSKI,206.42345135640966
ZALESZCZYCKI,215.21054437065007
ZBARASKI,190.0
ZBOROWSKI,224.0
ZŁOCZOWSKI,563.2474701192073
KOPYCZYNIECKI,347.5513271924053
BŁOŃSKI,2217.0
CIECHANOWSKI,2859.0
GOSTYNIŃSKI,1280.0
GRÓJECKI,1000.0
KUTNOWSKI,4768.0
LIPNOWSKI,1721.4016221004658
ŁOWICKI,1940.0
MAKOWSKI (MAKÓW MAZOWIECKI),0.0
MIŃSKI,168.0
MŁAWSKI,313.0
NIESZAWSKI,6167.0
PŁOCKI,2784.0
PŁOŃSKI,1069.0
PRZASNYCKI,324.0
PUŁTUSKI,391.0
RADZYMIŃSKI,0.0
RAWSKI (RAWA MAZOWIECKA),122.0
RYPIŃSKI,987.0
SIERPECKI,497.5983778995341
SKIERNIEWICKI,1.0
SOCHACZEWSKI,1650.0
WARSZAWSKI,251.0
WŁOCŁAWSKI,4178.0
DUBIEŃSKI,713.0
HOROCHOWSKI,56.0
KOWELSKI,0.0
KRZEMIENIECKI,1395.0
LUBOMELSKI,0.0
ŁUCKI,672.0
RÓWIEŃSKI,3196.0
WŁODZIMIERSKI,1044.0
KOSTOPOLSKI,0.0
ZDOŁBUNOWSKI,2323.0
SARNEŃSKI,0.0
OSZMIAŃSKI,0.0
ŚWIĘCIAŃSKI,0.0
WILNO (MIASTO),0.0
DZIŚNIEŃSKI,0.0
WILEJSKI,0.0
WILEŃSKO-TROCKI,0.0
POSTAWSKI,0.0
MOŁODECZAŃSKI,0.0
