District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Proso,Kukurydza,Mieszanki zbóż na ziarno (jęczmień i owies),Mieszanki zbóż na ziarno (inne),Groch,"Fasola, Bób, Soczewica","Peluszka, wyka, bobik",Łubin,Seradela,Koniczyna,Pozostałe pastawne oraz mieszanki,Ziemniaki,Buraki Cukrowe,Len,Konopie,Rzepak i rzepik ozimy i jary,Chmiel,Cykoria
AUGUSTOWSKI,1564.0,14500.0,3181.0,11125.0,774.0,0.0,0.0,61.0,90.0,1533.0,158.0,370.0,1481.0,121.0,960.0,404.0,6913.0,0.0,565.0,37.0,3.0,0.0,0.0
BIAŁOSTOCKI,3055.0,27591.0,5185.0,10128.0,798.0,21.0,1.0,328.0,169.0,3442.0,165.0,1490.0,4545.0,2181.0,2253.0,884.0,15525.0,0.0,1496.0,162.0,175.0,1.0,0.0
BIELSKI (BIELSK PODLASKI),6737.0,51043.0,6117.0,15366.0,1885.0,69.0,0.0,349.0,451.0,4915.0,97.0,3130.0,4646.0,2902.0,1404.0,727.0,17908.0,0.0,2147.0,120.0,126.0,1.0,0.0
GRODZIEŃSKI,3631.7736319374276,44121.355372385464,9177.502193017206,13113.240498014151,2134.2596004423685,8.36600017595005,5.577333450633367,229.6002270510736,145.9402252915731,3139.10917713148,156.16533661773428,553.0855671878089,6722.545919163418,2150.062045219163,2937.395617333573,466.63689870299174,15966.046558013119,0.0,1130.3395793283623,138.5037806907286,33.4640007038002,0.0,0.0
ŁOMŻYŃSKI,6556.7118193708575,44226.2797211001,3947.960554159205,14924.259283028641,1926.9674650079246,213.29530475139967,1.0,275.2887764256309,327.79413517048494,3674.6014336292765,8.0,1684.9813933421328,3575.8319442827074,2854.844022614806,1752.7033344062102,773.6800494246841,19130.149217197366,0.0,1048.4932804127557,764.1252923952287,202.77085018895886,0.0,0.0
OSTROŁĘCKI,3973.2881806291425,32686.720278899906,3035.0394458407955,6443.740716971359,2135.0325349920754,646.7046952486003,0.0,169.71122357436911,222.20586482951506,2972.398566370724,11.0,973.0186066578672,2685.1680557172926,3085.155977385194,1289.2966655937898,367.319950575316,16979.850782802634,229.0,1282.5067195872443,89.87470760477132,106.22914981104114,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),3267.0,25036.0,1996.0,4614.0,1445.0,104.0,0.0,324.0,281.0,1131.0,64.0,959.0,1882.0,2840.0,1666.0,180.0,8762.0,272.0,536.0,19.0,100.0,0.0,0.0
SOKÓLSKI,1094.0,33028.0,3708.0,13716.0,1116.0,10.0,4.0,108.0,98.0,2406.0,243.0,805.0,4351.0,1760.0,1406.0,562.0,10433.0,0.0,1217.0,112.0,98.0,0.0,0.0
SUWALSKI,1645.0,25735.0,4122.0,21684.0,750.0,1.0,0.0,151.0,142.0,3182.0,898.0,487.0,1256.0,516.0,2590.0,46.0,10046.0,0.0,1146.0,109.0,2.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),3134.0,18922.0,2646.0,8392.0,1315.0,63.0,0.0,475.0,219.0,2887.0,1.0,459.0,1714.0,878.0,824.0,120.0,8940.0,0.0,351.0,15.0,98.0,0.0,0.0
WOŁKOWYSKI,3927.0,57181.0,12480.0,20669.0,2910.0,3.0,0.0,193.0,361.0,2956.0,77.0,944.0,7096.0,3028.0,2655.0,310.0,21644.0,0.0,1512.0,288.0,21.0,0.0,0.0
WYSOKOMAZOWIECKI,6182.0,28494.0,3117.0,9191.0,47.0,17.0,0.0,502.0,544.0,1913.0,40.0,1996.0,2062.0,841.0,2689.0,613.0,9422.0,115.0,786.0,30.0,105.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,334.0,9074.0,1014.0,1218.0,2.0,0.0,0.0,84.0,55.0,1.0,0.0,31.0,549.0,74.0,183.0,123.0,6613.0,0.0,0.0,0.0,10.0,0.0,0.0
CZĘSTOCHOWSKI,978.0,41441.0,2345.0,6866.0,71.0,52.0,1.0,177.0,339.0,67.0,6.0,392.0,6901.0,3827.0,1133.0,268.0,20357.0,47.0,15.0,0.0,88.0,10.0,0.0
IŁŻECKI,3932.0,33386.0,12073.0,17659.0,1885.0,430.0,0.0,428.0,227.0,471.0,152.0,651.0,4578.0,1954.0,3908.0,121.0,14954.0,252.0,216.0,68.0,464.0,22.0,0.0
JĘDRZEJOWSKI,11155.15197818722,20361.45751831507,7238.768411912441,7904.320884988002,6.103552526459237,301.6887027391814,3.669108632505835,233.61701252855576,176.57718463376375,321.7965578958403,42.493865895420974,2437.2179187593083,4164.48892358378,2263.8198149512746,4736.662011258551,805.1946617038737,12781.646369502301,12.059886543021832,11.334554316252918,2.2071050529184726,138.04349084355076,1.0,0.023896736875208387
KIELECKI,4177.0,27813.0,6508.0,6400.0,143.0,105.0,0.0,49.0,31.0,166.0,5.0,129.0,2107.0,619.0,1377.0,61.0,21863.0,0.0,213.0,23.0,10.0,0.0,0.0
KONECKI,895.0,25157.0,2696.0,4810.0,108.0,125.0,0.0,49.0,91.0,46.0,3.0,136.0,2868.0,1406.0,316.0,45.0,17905.0,0.0,142.0,2.0,17.0,0.0,0.0
KOZIENICKI,3014.0,34337.0,7925.0,11811.0,2892.0,620.0,0.0,179.0,96.0,141.0,59.0,382.0,5029.0,4463.0,1791.0,63.0,11719.0,978.0,207.0,32.0,121.0,35.0,0.0
MIECHOWSKI,16831.84802181278,18862.54248168493,11055.23158808756,13116.679115011999,12.896447473540764,210.3112972608186,83.33089136749416,201.38298747144424,196.42281536623625,99.20344210415972,61.506134104579026,2019.782081240692,434.51107641621957,351.18018504872543,9049.33798874145,1767.8053382961264,12036.353630497699,1501.9401134569782,41.66544568374708,25.79289494708153,129.95650915644924,0.0,2.9761032631247915
OLKUSKI,3513.0,22085.0,7507.0,8554.0,172.0,0.0,1.0,276.0,117.0,48.0,3.0,725.0,2699.0,332.0,3444.0,127.0,15945.0,0.0,6.0,5.0,18.0,0.0,0.0
OPATOWSKI,10913.0,23015.0,11788.0,19220.0,239.0,503.0,0.0,218.0,184.0,470.0,40.0,1704.0,3034.0,1496.0,7226.0,1106.0,14972.0,1386.0,120.0,35.0,426.0,16.0,0.0
OPOCZYŃSKI,1817.0,39152.0,4129.0,9675.0,435.0,374.0,7.0,64.0,20.0,162.0,16.0,34.0,5473.0,2655.0,977.0,62.0,16209.0,0.0,308.0,5.0,129.0,6.0,0.0
PIŃCZOWSKI,11610.0,18931.0,9683.0,7571.0,72.0,1078.0,7.0,187.0,212.0,180.0,86.0,1949.0,462.0,124.0,5283.0,1080.0,10510.0,2998.0,3.0,8.0,126.0,11.0,44.0
RADOMSKI,2383.3789953055743,47284.818709845524,9364.824835445288,14893.159226874279,1331.772203502701,812.8742931009078,0.0,115.42025763690074,45.37890471194388,653.0616286805837,84.83882185276465,744.805936032992,8784.764053475223,5687.1605579207935,2840.127536210575,183.48861470481657,17009.19728355079,40.446415069341285,320.6118267691687,34.527427498218174,393.61267347968715,38.47341921230025,0.0
SANDOMIERSKI,8847.0,16122.0,8938.0,10399.0,74.0,1021.0,4.0,157.0,99.0,315.0,102.0,1387.0,1836.0,591.0,4396.0,293.0,11151.0,1125.0,36.0,45.0,155.0,16.0,0.0
STOPNICKI,9396.0,26993.0,9263.0,10416.0,43.0,1722.0,1.0,299.0,205.0,519.0,152.0,1202.0,3213.0,870.0,4324.0,271.0,15328.0,330.0,2.0,4.0,78.0,0.0,0.0
WŁOSZCZOWSKI,6356.0,18607.0,3430.0,5272.0,22.0,129.0,3.0,185.0,124.0,136.0,11.0,1192.0,4016.0,1964.0,2087.0,410.0,11715.0,0.0,96.0,6.0,29.0,19.0,0.0
ZAWIERCIAŃSKI,998.0,17751.0,2454.0,3078.0,56.0,5.0,1.0,63.0,79.0,71.0,14.0,177.0,2069.0,137.0,412.0,123.0,11069.0,0.0,1.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
