District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Ogółem R,Ogółem PR,Handel jarmarczny - hurt R,Handel jarmarczny - hurt PR,Handel jarmarczny - detal R,Handel jarmarczny - detal PR,Karty rejestracyjne R,Karty rejestracyjne PR
AUGUSTOWSKI,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,108.0,6.0
BIAŁOSTOCKI,8.872416798448333,1.9716481774329628,17.744833596896665,2.9574722661494444,9.858240887164815,1.9716481774329628,0.0,0.0,36.475491282509815,6.90076862101537,0.0,0.0,0.0,0.0,353.91084784921685,24.645602217912035
BIELSKI (BIELSK PODLASKI),0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,83.0,5.0
GRODZIEŃSKI,0.0,0.0,9.295555751055613,2.7886667253166837,5.577333450633367,1.8591111502111224,10.225111326161173,0.0,25.098000527850154,4.647777875527806,0.0,0.0,0.0,0.0,231.45933820128474,52.05511220591143
ŁOMŻYŃSKI,0.0,0.0,10.581742015201103,0.0,3.0,0.0,1.0,0.0,14.581742015201103,0.0,0.0,0.0,0.0,0.0,121.32277889686509,4.74522604560331
OSTROŁĘCKI,0.0,0.0,1.4182579847988968,0.0,1.0,0.0,0.0,0.0,2.4182579847988968,0.0,0.0,0.0,0.0,0.0,72.67722110313491,1.2547739543966905
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,7.0
SOKÓLSKI,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0
SUWALSKI,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,120.0,5.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,126.0,14.0
WOŁKOWYSKI,0.0,0.0,16.0,1.0,3.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,196.0,15.0
WYSOKOMAZOWIECKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
BIAŁYSTOK (MIASTO),0.12758320155166747,0.028351822567037218,0.25516640310333494,0.042527733850555825,0.14175911283518608,0.028351822567037218,0.0,0.0,0.5245087174901886,0.09923137898463026,0.0,0.0,0.0,0.0,5.089152150783181,0.35439778208796524
BĘDZIŃSKI,0.0,0.0,25.337743878639873,0.9384349584681435,6.569044709277005,0.0,30.968353629448735,2.8153048754044305,62.875142217365614,3.753739833872574,0.0,0.0,0.0,0.0,289.9764021666563,1.876869916936287
CZĘSTOCHOWSKI,0.0,0.0,19.488006879590227,0.0,3.8976013759180455,0.0,10.718403783774624,0.9744003439795114,34.1040120392829,0.9744003439795114,0.0,0.0,0.0,0.0,223.1376787713081,2.923201031938534
IŁŻECKI,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0
JĘDRZEJOWSKI,0.0,0.0,3.039827894792014,0.0,1.0238967368752083,0.0,0.0,0.0,4.063724631667222,0.0,0.0,0.0,0.0,0.0,38.41421010583694,1.0
KIELECKI,0.0,0.0,5.0,2.0,5.0,0.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,57.0,4.0
KONECKI,0.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,89.0,3.0
KOZIENICKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MIECHOWSKI,0.0,0.0,4.960172105207986,0.0,2.9761032631247915,0.0,0.0,0.0,7.936275368332778,0.0,0.0,0.0,0.0,0.0,51.58578989416306,0.0
OLKUSKI,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,84.0,7.0
OPATOWSKI,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
OPOCZYŃSKI,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0
PIŃCZOWSKI,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,144.0,10.0
RADOMSKI,0.0,0.0,9.864979285205193,1.9729958570410384,2.9594937855615577,0.0,5.9189875711231155,0.9864979285205192,18.743460641889865,2.9594937855615577,0.0,0.0,0.0,0.0,103.58228249465452,0.0
SANDOMIERSKI,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0
STOPNICKI,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,28.0,3.0
WŁOSZCZOWSKI,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0
ZAWIERCIAŃSKI,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,27.0,1.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.5119931204097736,0.0,0.10239862408195471,0.0,0.28159621622537545,0.02559965602048868,0.8959879607171037,0.02559965602048868,0.0,0.0,0.0,0.0,5.862321228691908,0.07679896806146604
SOSNOWIEC,0.0,0.0,1.6622561213601261,0.061565041531856525,0.43095529072299565,0.0,2.0316463705512655,0.18469512459556958,4.124857782634387,0.2462601661274261,0.0,0.0,0.0,0.0,19.023597833343665,0.12313008306371305
