District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
AUGUSTOWSKI,30725.0,173227.0,37480.0,152079.0,910705.0,0.0
BIAŁOSTOCKI,35228.0,362994.0,38960.0,142142.0,1140186.0,0.0
BIELSKI (BIELSK PODLASKI),103710.0,510034.0,70917.0,186060.0,1511626.0,0.0
GRODZIEŃSKI,54596.168025288156,517748.0751236178,75552.81604976783,131000.65395491091,2466802.75660788,0.0
ŁOMŻYŃSKI,115649.44106065368,630311.6808438116,34589.15023954093,142940.65479606285,2610309.032721816,22572.0
OSTROŁĘCKI,89618.55893934632,503196.3191561884,33441.849760459074,100001.34520393716,1737935.9672781841,20373.0
OSTROWSKI (OSTRÓW MAZOWIECKA),58950.0,311233.0,18616.0,55590.0,1099107.0,12186.0
SOKÓLSKI,25765.0,392282.0,44940.0,137890.0,1220723.0,0.0
SUWALSKI,28738.0,275724.0,36269.0,269505.0,818629.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),59462.0,260162.0,29881.0,91662.0,1052737.0,0.0
WOŁKOWYSKI,42327.0,540900.0,84919.0,131141.0,2230286.0,0.0
WYSOKOMAZOWIECKI,91457.0,301598.0,40336.0,92760.0,1279241.0,16791.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,7776.0,114408.0,15807.0,14212.0,594576.0,0.0
CZĘSTOCHOWSKI,18011.0,517951.0,21161.0,64347.0,2247101.0,8650.0
IŁŻECKI,69423.0,435227.0,146125.0,206978.0,1707216.0,28284.0
JĘDRZEJOWSKI,220471.44684412173,349670.33195996366,111593.35651794261,121282.99694018319,1877879.2594819153,1440.4315742058943
KIELECKI,64426.0,298425.0,52891.0,66634.0,2296402.0,13824.0
KONECKI,20543.0,268976.0,27757.0,68773.0,1619117.0,0.0
KOZIENICKI,48973.0,488500.0,111820.0,141312.0,1749574.0,69506.0
MIECHOWSKI,361097.55315587827,346885.66804003634,165184.6434820574,215205.0030598168,2008117.740518085,179391.5684257941
OLKUSKI,70633.0,296695.0,81703.0,92149.0,1621692.0,0.0
OPATOWSKI,220236.0,352275.0,184184.0,327954.0,2359235.0,310457.0
OPOCZYŃSKI,35144.0,523846.0,43385.0,92503.0,2360190.0,0.0
PIŃCZOWSKI,243354.0,303099.0,134421.0,107833.0,1100096.0,400260.0
RADOMSKI,52260.71426130302,658235.8103156738,104035.08504384544,155798.60434917413,2341244.6822805344,2596.4625478660064
SANDOMIERSKI,156752.0,212787.0,120822.0,131942.0,1428777.0,265987.0
STOPNICKI,147631.0,331801.0,92254.0,108012.0,1850564.0,26341.0
WŁOSZCZOWSKI,107834.0,280445.0,31070.0,73391.0,1530245.0,0.0
ZAWIERCIAŃSKI,13720.0,202716.0,20479.0,21477.0,1009144.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),715.2857386969733,9009.189684326147,1423.9149561545628,2132.395650825878,32044.31771946544,35.53745213399339
BIALSKI (BIAŁA KRAKOWSKA),22867.936918749518,118351.84503151709,10115.191014447164,97110.8124091147,714753.5684576366,0.0
BOCHEŃSKI,87326.0,114578.0,32276.0,66096.0,653957.0,0.0
BRZESKI (BRZESKO),101734.0,165366.0,48597.0,87681.0,937667.0,0.0
CHRZANOWSKI,14369.0,97865.0,9040.0,34695.0,677729.0,0.0
DĄBROWSKI,80851.0,106831.0,30236.0,51420.0,600672.0,13738.0
GORLICKI,86170.19488667688,110668.38307059096,53034.45512937392,116173.35718764555,804492.7628185824,0.0
JASIELSKI,87914.69116658295,115882.78150342924,41304.16171166771,77224.68468095532,844997.4403147325,4397.575416946665
KRAKOWSKI,138852.31023253332,217302.26922863678,35719.793767139534,107396.49598418802,898429.0312138257,23328.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,45724.0,54491.0,28380.0,70707.0,585117.0,0.0
MIELECKI,81142.4965776633,132637.0984736036,35448.548102154724,58880.95957844856,670908.0909793732,1217.62987251045
MYŚLENICKI,68344.7270336573,121176.2009619463,28080.031222978574,101255.84188612754,713600.9250458075,0.0
NOWOSĄDECKI,65242.29632767577,109484.11363950337,61795.302051690895,137714.32700341364,987263.3813827442,0.0
NOWOTARSKI,4403.3050068664,49091.417287984674,67969.46919713955,236856.07858384823,937700.2433887491,0.0
ROPCZYCKI,121037.30883341706,217022.21849657077,62374.8382883323,93095.31531904468,1373747.5596852677,35836.42458305334
TARNOWSKI,87198.50878564734,157293.50328990567,44515.24281893519,105967.31580894082,939422.8557986734,20106.0
WADOWICKI,79714.73516721383,193373.91845189643,24319.663660943886,164166.17588305657,1275390.4336334644,13392.0
ŻYWIECKI,14918.985640979636,64875.34903801871,28040.851137351296,110330.59525366494,706424.7982605167,0.0
BIALSKI (BIAŁA PODLASKA),65996.07267029243,398013.9251877972,33388.182298231935,137327.29716784836,1970919.3416689069,105898.88078903452
BIŁGORAJSKI,41891.0,166101.0,48285.0,103631.0,750923.0,2800.0
CHEŁMSKI,221993.0,358128.0,125879.0,96777.0,1235285.0,125090.0
GARWOLIŃSKI,84660.0,567149.0,122856.0,155975.0,1954040.0,6845.0
HRUBIESZOWSKI,374482.58766600944,275052.9579845604,146050.2368544558,231265.68243657044,1047138.244387128,411873.8281120454
JANOWSKI,99688.0,251967.0,118053.0,181984.0,1390570.0,111016.0
KRASNOSTAWSKI,332651.0,280118.0,153671.0,182926.0,1445079.0,117620.0
LUBARTOWSKI,59038.0,382830.0,41059.0,97493.0,1484503.0,46963.0
LUBELSKI,484263.1147465309,565516.5461289918,266486.85378622793,320145.45722825936,2375374.032778515,700230.22194611
ŁUKOWSKI,51447.0,514343.0,35441.0,163450.0,2061913.0,1860.0
PUŁAWSKI,124903.0,325457.0,149304.0,136381.0,2046518.0,375823.0
RADZYŃSKI,94667.67089106402,266744.6353626457,25192.07317453023,146858.00753847623,1663181.6467633524,50400.0774652532
SIEDLECKI,61644.162418939595,427138.84638511983,29200.728929536126,138001.53840141153,2435415.3968308046,95968.52957711717
SOKOŁOWSKI,79179.0,298891.0,39958.0,104271.0,1736223.0,109366.0
TOMASZOWSKI,211630.4123339906,246539.04201543963,142240.7631455442,162545.31756342956,1403887.755612872,341890.1718879546
WĘGROWSKI,49179.0,285737.0,29950.0,90888.0,1916383.0,14177.0
WŁODAWSKI,65851.0,337287.0,32803.0,96694.0,1319610.0,16041.0
ZAMOJSKI,242744.0,214802.0,144385.0,184931.0,1076988.0,252623.0
LUBLIN (MIASTO),1564.8852534691243,1827.4538710082309,861.1462137720828,1034.5427717406435,7675.9672214849625,2262.77805389003
BÓBRECKI,124932.0,91855.0,39179.0,70190.0,984926.0,180864.0
BRZOZOWSKI,60308.0,108755.0,42590.0,67932.0,648804.0,11261.0
DOBROMILSKI,53031.002504209515,82191.08180093257,23655.56979574386,101357.229601751,366474.3321152812,7906.0
DROHOBYCKI,51111.8675223557,126145.88082158915,29085.469185232727,92574.72191974333,1049286.9059084295,397.49819681421855
GRÓDECKI,65347.00723658821,94772.83890204693,33245.61879073426,77467.90828822038,648679.2774616578,20822.049918300505
JAROSŁAWSKI,166638.12786908145,327191.00286647485,69779.57844531456,95522.0224105398,427843.9848061377,409337.67668819684
JAWOROWSKI,52570.20533821931,210843.4746477134,48036.257705129115,108535.59042032112,904387.276947357,2826.727868058486
KOLBUSZOWSKI,27062.5034223367,166921.9015263964,29115.45189784528,45017.04042155145,640829.9090206269,6.370127489549943
KROŚNIEŃSKI,79468.08395055764,135659.6175567602,44779.57889728838,85740.65755529172,817735.9072074154,4095.471713698589
LESKI,19087.0,56220.0,15038.0,140956.0,660470.0,0.0
LWOWSKI,163479.0,177519.0,50842.0,153166.0,1250921.0,74974.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,76831.4004061313,150617.96880273958,58810.16605191008,67091.05570782293,644996.8369017722,89560.28709206491
MOŚCISKI,84833.0,153283.0,42453.0,64302.0,803752.0,13547.0
NIŻAŃSKI,29108.0,90792.0,24385.0,29947.0,465767.0,5201.0
PRZEMYSKI,158470.0,186346.0,57371.0,92884.0,1086237.0,131637.0
PRZEWORSKI,72730.0,103004.0,19829.0,46337.0,426922.0,365557.0
RAWSKI (RAWA RUSKA),147994.0,195291.0,89105.0,95099.0,896972.0,42302.0
RUDECKI,84066.99276341179,95776.16109795307,54979.38120926574,54463.09171177962,821511.7225383422,35845.95008169949
RZESZOWSKI,143058.51564331105,228205.41364050022,62747.25505080154,97869.28673688535,975970.2558908124,32169.241194236496
SAMBORSKI,96373.69175497217,170905.4907939488,51954.88866933681,83721.42366159229,1191842.458750848,6621.501803185781
SANOCKI,67379.0,113938.0,48567.0,106035.0,893698.0,14457.0
SOKALSKI,238180.2057821746,163776.6432255363,117550.93855206406,118049.72337344223,1131494.8606640964,179321.60570257955
TARNOBRZESKI,33727.0,90995.0,39282.0,40093.0,606206.0,39827.0
ŻÓŁKIEWSKI,100957.0,130746.0,43605.0,71711.0,646737.0,2115.0
LUBACZOWSKI,58768.66679269923,147136.52248581176,39629.16384955633,83396.38716913907,785075.7382465053,10864.595443744678
TURCZAŃSKI,9452.438218462605,44822.54658352947,12208.072349686592,269861.6248169134,458645.30322544114,0.0
BRZEZIŃSKI,40970.0,462904.0,10435.0,77839.0,1910878.0,4397.0
KALISKI,143111.0,477913.0,26889.0,119127.0,1895247.0,352933.0
KOLSKI,110991.0,518774.0,44143.0,67371.0,2160750.0,266124.0
KONIŃSKI,104135.0,922381.0,66819.0,132815.0,4138518.0,242482.0
ŁASKI,37939.0,588560.0,25593.0,93404.0,2092793.0,15181.0
ŁĘCZYCKI,149836.0,480747.0,42417.0,88552.0,1939404.0,572252.0
ŁÓDZKI,13213.0,313735.0,6819.0,50043.0,1467160.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,73245.0,700771.0,30713.0,105431.0,2774517.0,18830.0
RADOMSZCZAŃSKI,52447.0,686676.0,49236.0,82629.0,3235745.0,8500.0
SIERADZKI,69552.0,789221.0,23038.0,134108.0,2732466.0,91959.0
TURECKI,69231.0,465358.0,16424.0,98282.0,1975193.0,153781.0
WIELUŃSKI,41232.0,713892.0,22388.0,151030.0,2719355.0,99790.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,39680.0,309694.0,72229.0,156872.0,1579256.0,0.0
BRASŁAWSKI,29765.0,355865.0,79278.0,138501.0,759753.0,0.0
LIDZKI,7744.0,538172.0,121310.0,192146.0,2027799.0,0.0
NIEŚWIESKI,40656.0,349903.0,39325.0,148242.0,1551263.0,0.0
NOWOGRÓDZKI,83780.57060083972,460437.3001711526,114000.93782338304,234951.67285587182,1951685.5884555685,0.0
SŁONIMSKI,23425.0,337631.0,31454.0,88775.0,1015392.0,0.0
STOŁPECKI,18423.429399160268,338683.69982884737,41618.062176616964,110042.3271441282,1180071.4115444312,0.0
WOŁOŻYŃSKI,12824.0,217470.0,73406.0,115333.0,1278009.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),6814.831974711842,249418.9248763822,49540.18395023216,69237.34604508909,1208990.2433921199,0.0
BRZESKI (BRZEŚĆ N.BUG.),65116.09401970397,600989.5930644373,75514.01559770171,122238.1568922639,2362222.614736936,4778.512168595132
DROHICKI,20916.0,764029.0,30509.0,68618.0,1112657.0,0.0
KOBRYŃSKI,26013.0,337129.0,32190.0,69253.0,1081532.0,4590.0
KOSZYRSKI,6018.0,171948.0,28010.0,51804.0,814910.0,0.0
ŁUNINIECKI,7070.0,148009.0,19303.0,27681.0,957234.0,0.0
PIŃSKI,19774.0,499490.0,38073.0,114133.0,1601709.0,0.0
PRUŻAŃSKI,12294.0,321290.0,37111.0,59131.0,1127383.0,1760.0
STOLIŃSKI,16457.0,252754.0,19556.0,50327.0,1202577.0,0.0
IWACEWICKI,6107.0,216615.0,21473.0,53268.0,949024.0,0.0
BRODNICKI,61018.72593189192,362266.8472600356,75572.83339065446,44880.05992575304,1667682.961608375,202435.24870542088
CHEŁMIŃSKI,178849.06685215016,170421.31424674863,90469.73368802883,39561.85810530976,990009.7958168808,1053609.2249938594
CHOJNICKI,22120.857075711338,462537.66984061856,29171.613156467778,77823.47335166765,1108654.0610234644,16758.33345288465
DZIAŁDOWSKI,8503.0,155373.0,20251.0,14371.0,818713.0,7641.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,186984.11234196034,211818.78067227043,95767.09966459605,60569.97516336462,1032589.8912890599,559456.1901434128
KARTUSKI,6705.5838588172555,221151.93881415442,15876.607717230441,102879.32934743266,1157436.3300425082,1126.200228212835
KOŚCIERSKI,10527.226540244726,222948.26695562687,13714.729863785566,68024.77723583466,870106.771901188,28.21754035228814
LUBAWSKI,40692.090466174675,323674.811999414,77880.3666499709,57547.291390234845,1308283.133420894,61229.80308323089
SĘPOLEŃSKI,19204.0,165611.0,35576.0,41685.0,787243.0,51295.0
STAROGARDZKI,62083.81820463516,261851.7074093605,46595.04663738495,64767.69323544929,1253691.0464804387,244969.4648195973
ŚWIECKI,87647.22877125464,358129.7249355287,84754.92796198165,64566.775167096355,1803742.8989657033,379840.4608288705
TCZEWSKI,129022.13038742497,128276.62423902216,66976.07561029447,58366.707665074355,865290.8809930657,621861.2251969418
TORUŃ (MIASTO),1169.2400030560425,1555.574185170567,555.3103412051163,267.6540821184998,7099.377863644922,8790.542164365343
TORUŃSKI,151943.46004307206,199644.08134259906,72358.6626395096,34718.200769810195,918923.5848492094,1131997.393246832
TUCHOLSKI,31661.89185640955,256032.90325284426,49572.24795695851,45011.35862360383,984264.6701264109,103255.91627872938
WĄBRZESKI,103846.1634641954,195757.77205973954,68596.14921427851,27273.871110481407,958331.1030102413,428657.1970858552
MORSKI,11915.491428053045,216691.3613600312,18561.08799886715,85732.23748832129,1188891.647999941,4847.575170044625
GDYNIA (MIASTO),67.91277494878484,1211.6214268355952,104.5075087860271,475.737338447584,6660.8446089753115,28.00706139025195
BYDGOSKI,95631.05888797996,373327.8864489319,102702.87180990887,70720.12408894266,1387645.2951154308,319532.2365009328
BYDGOSZCZ (MIASTO),245.94111202002856,960.1135510680606,264.1281900911197,181.87591105733455,3568.7048845691043,821.7634990671821
CHODZIESKI,22490.0,270084.0,44520.0,59683.0,1217868.0,108706.0
CZARNKOWSKI,24221.272730819157,189570.3213081599,24884.039338687304,35556.52277826412,940673.2783260206,135786.12793929077
GNIEŹNIEŃSKI,97880.89164852456,445556.7324793721,101365.03910533778,80794.58877547868,2020132.4298819888,689567.6176392682
GOSTYŃSKI,186936.59880400842,208393.873967313,71574.21335110776,104780.44617425796,1330085.359515725,1375379.327830026
INOWROCŁAWSKI,216395.408054747,284019.59197821,139305.42278226683,41284.51972401663,1131761.867433672,2596937.005189416
JAROCIŃSKI,179860.52278069587,401313.7809623545,62025.736901340904,113908.7491168968,2116050.942054352,1215188.1707099436
KĘPIŃSKI,49872.18040283617,403380.2853749333,23282.59997683553,96328.93561694023,2042994.1287281231,263941.1370727339
KOŚCIAŃSKI,144030.4039697231,346372.77277355327,80327.5717596978,96768.33921582066,2324310.033955374,1250213.65366884
KROTOSZYŃSKI,187158.2859832319,307810.1526027082,65257.73787445272,154483.86182407913,1448137.4701624583,983192.2162557889
LESZCZYŃSKI,102458.26210405756,273211.39611451665,44441.05920396531,87925.40602974017,1524829.678374814,677062.2642026871
MIĘDZYCHODZKI,30435.0,184224.0,19142.0,27899.0,968140.0,252100.0
MOGILEŃSKI,213093.2484627087,494295.06204465625,189924.06166793592,72671.3043679655,2159343.642591292,2138479.226998821
NOWOTOMYSKI,113108.79414018958,404985.8443335132,64883.56538078894,63822.79443465236,2074653.2757329168,2519293.233161372
OBORNICKI,66839.88147725146,317750.88213128154,56273.27494662908,65545.09394472171,1617224.6370347198,606498.4217337223
