District,Total population
AUGUSTOWSKI,74751.0
BIAŁOSTOCKI,140078.0
BIELSKI (BIELSK PODLASKI),202410.0
GRODZIEŃSKI,213105.0
ŁOMŻYŃSKI,168167.0
OSTROŁĘCKI,112587.0
OSTROWSKI (OSTRÓW MAZOWIECKA),99741.0
SOKÓLSKI,103135.0
SUWALSKI,110124.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),68215.0
WOŁKOWYSKI,171327.0
WYSOKOMAZOWIECKI,89103.0
BIAŁYSTOK (MIASTO),91101.0
BĘDZIŃSKI,231310.0
CZĘSTOCHOWSKI,182466.0
IŁŻECKI,159718.0
JĘDRZEJOWSKI,109764.27140191616
KIELECKI,219297.0
KONECKI,179174.0
KOZIENICKI,143107.0
MIECHOWSKI,153342.72859808384
OLKUSKI,151729.0
OPATOWSKI,186547.0
OPOCZYŃSKI,130524.0
PIŃCZOWSKI,126098.0
RADOMSKI,150447.0
SANDOMIERSKI,123362.0
STOPNICKI,153091.0
WŁOSZCZOWSKI,100607.0
ZAWIERCIAŃSKI,131073.0
CZĘSTOCHOWA (MIASTO),117179.0
SOSNOWIEC,108959.0
RADOM (MIASTO),77902.0
BIALSKI (BIAŁA KRAKOWSKA),139127.0
BOCHEŃSKI,113790.0
BRZESKI (BRZESKO),102226.0
CHRZANOWSKI,138061.0
DĄBROWSKI,66678.0
GORLICKI,104805.0
JASIELSKI,116146.0
KRAKOWSKI,187509.0
KRAKÓW (MIASTO),219286.0
LIMANOWSKI,87279.0
MIELECKI,77465.0
MYŚLENICKI,102692.0
NOWOSĄDECKI,183867.0
NOWOTARSKI,129489.0
ROPCZYCKI,110925.0
TARNOWSKI,142365.0
WADOWICKI,145143.0
ŻYWIECKI,130949.0
BIALSKI (BIAŁA PODLASKA),115934.071186443
BIŁGORAJSKI,116951.0
CHEŁMSKI,162340.0
GARWOLIŃSKI,159942.0
HRUBIESZOWSKI,129957.0
JANOWSKI,152718.0
KRASNOSTAWSKI,134159.0
LUBARTOWSKI,107991.0
LUBELSKI,163502.0
ŁUKOWSKI,129083.0
PUŁAWSKI,172267.0
RADZYŃSKI,98662.39827639326
SIEDLECKI,151411.0
SOKOŁOWSKI,83949.0
TOMASZOWSKI,121124.0
WĘGROWSKI,88788.0
WŁODAWSKI,113566.0
