District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza,Mieszanki na ziarno: Jęczmień,Mieszanki na ziarno: Inne mieszanki zbóż,Groch,"Fasola, bób, soczewica",Len,Konopie,Rzepak i rzepik,Chmiel,Tytoń
AUGUSTOWSKI,2631.0,14996.0,3796.0,11266.0,8783.0,0.0,1131.0,8.0,1.0,119.0,199.0,1640.0,136.0,612.0,44.0,5.0,0.0,111.0
BIAŁOSTOCKI,4102.0,33264.0,5050.0,15048.0,15554.0,0.0,1210.0,7.0,0.0,186.0,407.0,2782.0,49.0,1073.0,43.0,144.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),11461.0,51681.0,7542.0,22566.0,23801.0,0.0,1598.0,253.0,0.0,150.0,1001.0,4119.0,199.0,2169.0,150.0,243.0,0.0,0.0
GRODZIEŃSKI,6144.0,49277.0,10146.0,22642.0,19449.0,0.0,4480.0,24.0,3.0,398.0,373.0,3408.0,81.0,1219.0,135.0,9.0,0.0,38.0
ŁOMŻYŃSKI,11135.0,56747.0,4158.0,19432.0,23525.0,61.0,2331.0,217.0,0.0,316.0,718.0,3627.0,68.0,783.0,53.0,270.0,0.0,0.0
OSTROŁĘCKI,4372.0,33935.0,2111.0,5232.0,15237.0,90.0,2509.0,288.0,3.0,198.0,100.0,2114.0,19.0,1442.0,43.0,53.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),5305.0,26289.0,1985.0,5136.0,9780.0,37.0,1825.0,150.0,0.0,352.0,238.0,1492.0,45.0,563.0,14.0,86.0,0.0,0.0
SOKÓLSKI,2540.0,36508.0,5111.0,21236.0,12896.0,0.0,1914.0,0.0,0.0,151.0,290.0,2520.0,142.0,1463.0,123.0,46.0,0.0,0.0
SUWALSKI,3650.0,26995.0,5026.0,26711.0,10032.0,0.0,545.0,0.0,0.0,160.0,107.0,3781.0,488.0,1165.0,99.0,19.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),47131.0,20607.0,2500.0,8164.0,9979.0,0.0,643.0,29.0,0.0,312.0,660.0,2195.0,6.0,285.0,18.0,58.0,0.0,0.0
WOŁKOWYSKI,65891.0,61615.0,11561.0,28735.0,21419.0,0.0,5249.0,10.0,1.0,199.0,528.0,1975.0,102.0,914.0,172.0,110.0,0.0,158.0
WYSOKOMAZOWIECKI,8502.0,24080.0,3472.0,8513.0,10117.0,39.0,106.0,32.0,2.0,662.0,1110.0,1848.0,16.0,711.0,67.0,31.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,670.0,9393.0,1428.0,1400.0,7295.0,0.0,7.0,0.0,0.0,58.0,15.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0
CZĘSTOCHOWSKI,2114.0,50754.0,3047.0,8021.0,20818.0,34.0,160.0,188.0,8.0,217.0,158.0,130.0,77.0,54.0,0.0,62.0,4.0,0.0
IŁŻECKI,5667.0,35873.0,13976.0,18022.0,16293.0,47.0,2360.0,768.0,0.0,302.0,66.0,402.0,180.0,223.0,76.0,372.0,18.0,0.0
JĘDRZEJOWSKI,14168.668575718415,24059.007607804753,7317.13674758885,7774.222099633296,13602.278673507333,22.480318323381123,17.270829684585696,363.9588927423262,9.59741842188021,179.96383505396673,136.00732589751752,412.43746716127123,69.8762136854243,16.25489852666889,4.14338042125125,82.55328789688855,0.0,0.8602825275075019
KIELECKI,6251.0,31191.0,6259.0,7270.0,20422.0,0.0,311.0,253.0,0.0,83.0,70.0,204.0,31.0,245.0,28.0,6.0,0.0,0.0
KONECKI,1899.0,29375.0,2743.0,5440.0,18665.0,0.0,163.0,252.0,1.0,11.0,34.0,102.0,9.0,106.0,8.0,31.0,0.0,0.0
KOZIENICKI,3790.0,38388.0,8918.0,12332.0,13695.0,113.0,2824.0,921.0,1.0,153.0,216.0,189.0,110.0,234.0,47.0,132.0,23.0,0.0
MIECHOWSKI,22002.331424281583,20300.992392195247,10353.86325241115,14349.777900366704,12488.721326492667,682.5196816766189,33.72917031541431,493.04110725767384,74.4025815781198,120.03616494603327,249.9926741024825,303.56253283872877,109.1237863145757,31.74510147333111,17.85661957874875,193.44671210311145,0.0,107.1397174724925
OLKUSKI,5132.0,25144.0,7097.0,8999.0,17188.0,0.0,149.0,3.0,0.0,151.0,95.0,87.0,19.0,16.0,10.0,34.0,0.0,0.0
OPATOWSKI,14605.0,25294.0,12329.0,19787.0,16071.0,1133.0,451.0,570.0,0.0,248.0,192.0,645.0,66.0,64.0,19.0,452.0,21.0,0.0
OPOCZYŃSKI,2904.0,46617.0,4355.0,11128.0,17787.0,0.0,822.0,669.0,3.0,75.0,71.0,241.0,60.0,280.0,31.0,129.0,1.0,0.0
PIŃCZOWSKI,15103.0,17404.0,8575.0,8174.0,9845.0,1147.0,53.0,1594.0,13.0,353.0,181.0,236.0,121.0,10.0,12.0,259.0,0.0,0.0
RADOMSKI,5046.0,56022.0,10418.0,15980.0,21910.0,5.0,1232.0,1126.0,4.0,170.0,63.0,725.0,519.0,587.0,56.0,532.0,17.0,0.0
SANDOMIERSKI,10540.0,16554.0,9106.0,10486.0,11700.0,826.0,72.0,1310.0,6.0,124.0,97.0,481.0,135.0,57.0,70.0,251.0,14.0,0.0
STOPNICKI,12866.0,30792.0,9015.0,11361.0,17374.0,46.0,126.0,1974.0,15.0,251.0,374.0,395.0,210.0,26.0,23.0,114.0,2.0,0.0
WŁOSZCZOWSKI,8806.0,21929.0,3004.0,5236.0,12150.0,0.0,33.0,139.0,4.0,198.0,110.0,196.0,41.0,106.0,9.0,63.0,10.0,0.0
ZAWIERCIAŃSKI,1912.0,18923.0,2565.0,3177.0,11429.0,0.0,112.0,11.0,1.0,138.0,42.0,94.0,48.0,18.0,3.0,7.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),1318.0,7327.0,536.0,7186.0,6534.0,31.0,3.0,0.0,3.0,199.0,32.0,3.0,22.0,0.0,0.0,13.0,0.0,0.0
BOCHEŃSKI,8452.0,10345.0,3450.0,6245.0,7343.0,0.0,0.0,202.0,41.0,75.0,13.0,73.0,62.0,1.0,3.0,15.0,5.0,0.0
BRZESKI (BRZESKO),8035.0,12439.0,4199.0,7041.0,8702.0,15.0,21.0,455.0,44.0,74.0,37.0,96.0,95.0,13.0,11.0,6.0,0.0,0.0
CHRZANOWSKI,1706.0,10797.0,1064.0,3858.0,8525.0,0.0,1.0,46.0,5.0,48.0,25.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0
DĄBROWSKI,7800.0,10858.0,3494.0,5597.0,6063.0,44.0,10.0,504.0,263.0,62.0,122.0,106.0,158.0,10.0,23.0,45.0,0.0,0.0
GORLICKI,7204.0,9017.0,4378.0,12908.0,7607.0,0.0,4.0,4.0,2.0,498.0,125.0,87.0,167.0,189.0,2.0,2.0,0.0,0.0
JASIELSKI,9457.12003519985,11181.431108612944,4804.134666263401,8630.819991057337,8894.075972938926,15.080446617920693,59.05580531153057,123.25728422848509,16.008696931667103,490.2181480359831,88.06450224319767,144.05580531153058,419.086969316671,53.03623721527959,35.034787726668405,5.0094216759726935,0.0,0.0
KRAKOWSKI,9901.0,15428.0,2681.0,9735.0,9491.0,90.0,23.0,51.0,7.0,111.0,182.0,106.0,63.0,1.0,0.0,49.0,0.0,0.0
