District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,610.0,68.0,41.0,4.0,3.0,138.0,92.0,56.0,86.0,13.0,14.0,13.0,10.0,21.0,10.0,2.0,9.0,10.0,0.0,2.0,3.0,5.0,7.0,2.0,0.0,2.0,1.0,7.0,4.0,0.0,6.0,1.0,1.0,0.0,7.0,8.0,5.0,2.0,0.0,2.0,0.0,3.0,2.0
BIAŁOSTOCKI,871.0,65.0,29.0,1.0,12.0,218.0,149.0,110.0,87.0,23.0,24.0,34.0,19.0,14.0,4.0,6.0,7.0,11.0,0.0,6.0,2.0,16.0,5.0,5.0,0.0,0.0,0.0,10.0,9.0,0.0,5.0,2.0,1.0,1.0,32.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
BIELSKI (BIELSK PODLASKI),1613.0,161.0,92.0,4.0,38.0,494.0,135.0,175.0,114.0,34.0,23.0,59.0,39.0,66.0,42.0,28.0,12.0,21.0,5.0,9.0,8.0,32.0,23.0,16.0,1.0,2.0,1.0,14.0,13.0,0.0,19.0,6.0,0.0,3.0,10.0,21.0,7.0,2.0,0.0,6.0,4.0,8.0,2.0
GRODZIEŃSKI,2146.0,182.0,113.0,3.0,12.0,556.0,280.0,140.0,219.0,36.0,24.0,80.0,12.0,104.0,28.0,27.0,4.0,39.0,7.0,29.0,11.0,39.0,32.0,38.0,3.0,8.0,5.0,16.0,35.0,16.0,41.0,8.0,7.0,4.0,23.0,37.0,9.0,3.0,0.0,22.0,13.0,9.0,19.0
ŁOMŻYŃSKI,1640.6311402998024,117.74103688166399,80.01490665364744,3.4904520912066195,17.163484030402206,402.95343003694785,137.01071748970813,215.12110323128937,132.6157444864353,34.65393612160882,12.163484030402206,73.96180836482648,19.49045209120662,89.98090418241324,55.88961425841875,62.23567813680993,14.74522604560331,17.49045209120662,8.581742015201103,25.74522604560331,13.49045209120662,30.72613022801655,16.163484030402206,19.163484030402206,0.0,10.581742015201103,3.5817420152011032,11.326968060804413,10.163484030402206,0.0,21.74522604560331,3.1634840304022065,1.5817420152011032,4.0,19.74522604560331,23.32696806080441,7.581742015201103,4.0,0.0,6.1634840304022065,13.163484030402206,0.5817420152011032,6.581742015201103
OSTROŁĘCKI,1149.3688597001976,65.25896311833601,41.98509334635256,4.509547908793381,11.836515969597794,335.04656996305215,94.98928251029189,175.87889676871063,105.3842555135647,14.346063878391174,6.8365159695977935,28.038191635173526,24.50954790879338,53.01909581758676,40.11038574158125,34.76432186319007,9.25477395439669,14.509547908793381,1.4182579847988968,17.25477395439669,4.509547908793381,27.273869771983453,14.836515969597794,4.8365159695977935,1.0,5.418257984798897,1.4182579847988968,7.673031939195587,3.8365159695977935,0.0,15.25477395439669,4.8365159695977935,2.4182579847988968,2.0,5.254773954396691,7.673031939195587,2.4182579847988968,2.0,0.0,2.8365159695977935,1.8365159695977935,11.418257984798897,1.4182579847988968
OSTROWSKI (OSTRÓW MAZOWIECKA),917.0,30.0,12.0,1.0,12.0,278.0,103.0,132.0,64.0,14.0,11.0,32.0,14.0,51.0,11.0,19.0,10.0,6.0,3.0,17.0,9.0,21.0,11.0,12.0,0.0,4.0,1.0,9.0,3.0,0.0,10.0,2.0,2.0,3.0,3.0,9.0,1.0,1.0,1.0,3.0,0.0,17.0,1.0
SOKÓLSKI,709.0,47.0,32.0,0.0,6.0,134.0,151.0,54.0,86.0,21.0,19.0,18.0,21.0,19.0,11.0,12.0,7.0,16.0,0.0,9.0,2.0,12.0,6.0,7.0,0.0,1.0,1.0,7.0,7.0,0.0,9.0,0.0,1.0,0.0,6.0,17.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
SUWALSKI,964.0,79.0,36.0,5.0,15.0,207.0,137.0,69.0,121.0,22.0,24.0,26.0,16.0,54.0,26.0,23.0,2.0,17.0,3.0,6.0,2.0,21.0,11.0,14.0,1.0,5.0,2.0,5.0,6.0,0.0,10.0,4.0,0.0,5.0,4.0,12.0,2.0,2.0,0.0,5.0,10.0,11.0,4.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),734.0,71.0,59.0,1.0,6.0,148.0,118.0,114.0,47.0,18.0,7.0,22.0,18.0,15.0,20.0,12.0,9.0,10.0,2.0,10.0,7.0,9.0,5.0,7.0,0.0,2.0,1.0,3.0,3.0,0.0,9.0,5.0,0.0,1.0,14.0,11.0,2.0,1.0,0.0,0.0,8.0,5.0,2.0
