District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
AUGUSTOWSKI,12799.0,22282.0,14284.0,20382.0
BIAŁOSTOCKI,31955.0,52589.0,40448.0,26883.0
BIELSKI (BIELSK PODLASKI),45823.0,72110.0,39543.0,78405.0
GRODZIEŃSKI,35718.28582931569,51038.74197696518,37331.36970547833,40499.92731936924
ŁOMŻYŃSKI,33219.262262011085,59452.03745202487,31918.60403008877,18523.392508616154
OSTROŁĘCKI,25011.73773798892,45914.96254797513,21159.395969911235,14775.607491383847
OSTROWSKI (OSTRÓW MAZOWIECKA),14814.0,31257.0,15957.0,5834.0
SOKÓLSKI,28335.0,41382.0,35389.0,45010.0
SUWALSKI,22355.0,36583.0,33742.0,23455.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16412.0,25705.0,17688.0,10808.0
WOŁKOWYSKI,30316.0,52434.0,39896.0,54077.0
WYSOKOMAZOWIECKI,18097.0,36511.0,17335.0,6487.0
BIAŁYSTOK (MIASTO),893.0,989.0,1550.0,165.0
BĘDZIŃSKI,4910.0,10159.0,1676.0,1818.0
CZĘSTOCHOWSKI,14878.0,42283.0,12828.0,2674.0
IŁŻECKI,18826.0,47059.0,24119.0,2665.0
JĘDRZEJOWSKI,16778.6354340397,33973.03143616909,8659.98266772299,2908.544507496603
KIELECKI,15505.0,47580.0,9497.0,1772.0
KONECKI,11106.0,38863.0,8996.0,2494.0
KOZIENICKI,18564.0,40914.0,25135.0,2073.0
MIECHOWSKI,22496.3645659603,43592.96856383091,12950.01733227701,2060.4554925033976
OLKUSKI,12344.0,34390.0,7589.0,3359.0
OPATOWSKI,20127.0,51571.0,24331.0,2070.0
OPOCZYŃSKI,15680.0,36847.0,14239.0,11238.0
PIŃCZOWSKI,20833.0,42918.0,11634.0,1152.0
RADOMSKI,24332.957904887127,51571.15220926718,24461.202635594793,3428.0803016088043
SANDOMIERSKI,16650.0,37347.0,18931.0,1977.0
STOPNICKI,23052.0,54620.0,15289.0,948.0
WŁOSZCZOWSKI,15476.0,30972.0,9843.0,1632.0
ZAWIERCIAŃSKI,6284.0,23564.0,2381.0,1354.0
CZĘSTOCHOWA (MIASTO),1183.0,1228.0,1112.0,272.0
SOSNOWIEC,1186.0,789.0,357.0,1020.0
RADOM (MIASTO),333.04209511287274,705.8477907328163,334.7973644052052,46.91969839119568
BIALSKI (BIAŁA KRAKOWSKA),4284.835072258216,28492.8499957798,11245.595734526329,1910.0719377012147
BOCHEŃSKI,8573.0,38454.0,13680.0,2081.0
BRZESKI (BRZESKO),9130.0,37731.0,11794.0,1007.0
CHRZANOWSKI,4362.0,19109.0,5041.0,3430.0
DĄBROWSKI,10435.0,33639.0,13075.0,304.0
GORLICKI,8742.249020422078,47316.81858738908,10797.051059202524,2923.247749480795
JASIELSKI,12066.694191292492,47955.59149157727,13295.994488921748,2006.9803375363451
KRAKOWSKI,11065.282985909833,41350.643438641106,12105.345696943768,1761.2797671632154
KRAKÓW (MIASTO),2022.0,1663.0,946.0,553.0
LIMANOWSKI,4691.0,41273.0,7455.0,3897.0
MIELECKI,11516.749210828008,35935.99796941789,12611.02442305145,151.2089384163304
MYŚLENICKI,7083.878201165839,41363.701226318866,9981.897874670236,2592.8367096949637
NOWOSĄDECKI,9923.772287525248,61945.00616155612,16885.913648600515,7322.740688504342
NOWOTARSKI,13848.939567499263,62307.925764374726,14721.244759486217,25576.790252166396
